RunId,min_priority,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,1,2,0.11,600.0,0.0,0.0,150.0,0,0,
1,1,5,0.10433333333333333,600.0,0.0,0.0,162.0,0,0,
2,1,8,0.11366666666666667,600.0,0.0,0.0,117.0,0,0,
3,1,0,0.12100000000000001,600.0,0.0,0.0,100.0,0,0,
4,1,9,0.14100000000000001,600.0,0.0,0.0,132.0,0,0,
5,1,14,0.19266666666666668,600.0,0.0,0.0,175.0,0,0,
6,1,10,0.16,600.0,0.0,0.0,131.0,0,0,
7,1,3,0.11099999999999999,600.0,0.0,0.0,111.0,0,0,
8,1,7,0.16266666666666668,600.0,0.0,0.0,244.0,0,0,
9,1,1,0.106,600.0,0.0,0.0,106.0,0,0,
10,1,4,0.19466666666666665,600.0,0.0,0.0,144.0,0,0,
11,1,6,0.15533333333333335,600.0,0.0,0.0,149.0,0,0,
12,1,11,0.114,600.0,0.0,0.0,176.0,0,0,
13,1,12,0.125,600.0,0.0,0.0,123.0,0,0,
14,1,13,0.25633333333333336,600.0,0.0,0.0,386.0,0,0,
15,1,15,0.126,600.0,0.0,0.0,111.0,0,0,
16,1,19,0.09866666666666667,600.0,0.0,0.0,109.0,0,0,
17,1,21,0.146,600.0,0.0,0.0,122.0,0,0,
18,1,16,0.11900000000000001,600.0,0.0,0.0,150.0,0,0,
19,1,22,0.10300000000000001,600.0,0.0,0.0,136.0,0,0,
20,1,17,0.16433333333333336,600.0,0.0,0.0,218.0,0,0,
21,1,18,0.139,600.0,0.0,0.0,137.0,0,0,
22,1,20,0.13066666666666668,600.0,0.0,0.0,125.0,0,0,
23,1,24,0.129,600.0,0.0,0.0,107.0,0,0,
24,1,23,0.10666666666666667,600.0,0.0,0.0,92.0,0,0,
25,1,27,0.11600000000000002,600.0,0.0,0.0,171.0,0,0,
26,1,28,0.125,600.0,0.0,0.0,104.0,0,0,
27,1,26,0.17900000000000002,600.0,0.0,0.0,270.0,0,0,
28,1,25,0.07233333333333333,600.0,0.0,0.0,119.0,0,0,
29,1,29,0.07166666666666667,600.0,0.0,0.0,76.0,0,0,
30,1,31,0.14366666666666666,600.0,0.0,0.0,144.0,0,0,
31,1,30,0.094,600.0,0.0,0.0,113.0,0,0,
32,1,35,0.162,600.0,0.0,0.0,187.0,0,0,
33,1,33,0.18733333333333335,600.0,0.0,0.0,279.0,0,0,
34,1,32,0.12966666666666665,600.0,0.0,0.0,126.0,0,0,
35,1,36,0.117,600.0,0.0,0.0,126.0,0,0,
36,1,38,0.21766666666666665,600.0,0.0,0.0,241.0,0,0,
37,1,37,0.11833333333333333,600.0,0.0,0.0,141.0,0,0,
38,1,34,0.11366666666666667,600.0,0.0,0.0,161.0,0,0,
39,1,41,0.12966666666666665,600.0,0.0,0.0,115.0,0,0,
40,1,39,0.11466666666666667,600.0,0.0,0.0,127.0,0,0,
41,1,43,0.108,600.0,0.0,0.0,104.0,0,0,
42,1,40,0.189,600.0,0.0,0.0,217.0,0,0,
43,1,44,0.095,600.0,0.0,0.0,107.0,0,0,
44,1,42,0.14133333333333334,600.0,0.0,0.0,176.0,0,0,
45,1,49,0.19166666666666668,600.0,0.0,0.0,227.0,0,0,
46,1,48,0.13366666666666668,600.0,0.0,0.0,93.0,0,0,
47,1,45,0.16766666666666669,600.0,0.0,0.0,202.0,0,0,
48,1,50,0.09366666666666668,600.0,0.0,0.0,112.0,0,0,
49,1,47,0.19266666666666668,600.0,0.0,0.0,317.0,0,0,
50,1,53,0.12,600.0,0.0,0.0,148.0,0,0,
51,1,51,0.14133333333333334,600.0,0.0,0.0,130.0,0,0,
52,1,46,0.195,600.0,0.0,0.0,151.0,0,0,
53,1,54,0.09533333333333334,600.0,0.0,0.0,109.0,0,0,
54,1,52,0.1406666666666667,600.0,0.0,0.0,173.0,0,0,
55,1,55,0.19633333333333336,600.0,0.0,0.0,253.0,0,0,
56,1,57,0.11733333333333335,600.0,0.0,0.0,114.0,0,0,
57,1,56,0.19666666666666666,600.0,0.0,0.0,212.0,0,0,
58,1,58,0.10033333333333334,600.0,0.0,0.0,110.0,0,0,
59,1,60,0.11966666666666666,600.0,0.0,0.0,141.0,0,0,
60,1,59,0.13266666666666668,600.0,0.0,0.0,314.0,0,0,
61,1,61,0.152,600.0,0.0,0.0,210.0,0,0,
62,1,62,0.18600000000000003,600.0,0.0,0.0,206.0,0,0,
63,1,64,0.15066666666666667,600.0,0.0,0.0,162.0,0,0,
64,1,66,0.11233333333333334,600.0,0.0,0.0,190.0,0,0,
65,1,70,0.10200000000000001,600.0,0.0,0.0,97.0,0,0,
66,1,69,0.15600000000000003,600.0,0.0,0.0,188.0,0,0,
67,1,63,0.11366666666666667,600.0,0.0,0.0,150.0,0,0,
68,1,67,0.089,600.0,0.0,0.0,91.0,0,0,
69,1,65,0.11033333333333334,600.0,0.0,0.0,138.0,0,0,
70,1,68,0.15033333333333335,600.0,0.0,0.0,159.0,0,0,
71,1,71,0.137,600.0,0.0,0.0,144.0,0,0,
72,1,72,0.12666666666666668,600.0,0.0,0.0,127.0,0,0,
73,1,76,0.13066666666666668,600.0,0.0,0.0,153.0,0,0,
74,1,77,0.11266666666666665,600.0,0.0,0.0,104.0,0,0,
75,1,75,0.18133333333333332,600.0,0.0,0.0,180.0,0,0,
76,1,80,0.17566666666666667,600.0,0.0,0.0,177.0,0,0,
77,1,73,0.14533333333333334,600.0,0.0,0.0,132.0,0,0,
78,1,81,0.14100000000000001,600.0,0.0,0.0,157.0,0,0,
79,1,82,0.154,600.0,0.0,0.0,149.0,0,0,
80,1,74,0.15666666666666668,600.0,0.0,0.0,154.0,0,0,
81,1,78,0.115,600.0,0.0,0.0,94.0,0,0,
82,1,84,0.14566666666666667,600.0,0.0,0.0,138.0,0,0,
83,1,79,0.16033333333333333,600.0,0.0,0.0,188.0,0,0,
84,1,87,0.14966666666666667,600.0,0.0,0.0,207.0,0,0,
85,1,83,0.14333333333333334,600.0,0.0,0.0,197.0,0,0,
86,1,88,0.085,600.0,0.0,0.0,88.0,0,0,
87,1,85,0.08966666666666667,600.0,0.0,0.0,105.0,0,0,
88,1,86,0.12533333333333332,600.0,0.0,0.0,133.0,0,0,
89,1,89,0.14433333333333334,600.0,0.0,0.0,125.0,0,0,
90,1,90,0.11933333333333332,600.0,0.0,0.0,99.0,0,0,
91,1,92,0.10933333333333335,600.0,0.0,0.0,123.0,0,0,
92,1,91,0.14433333333333334,600.0,0.0,0.0,209.0,0,0,
93,1,95,0.11233333333333334,600.0,0.0,0.0,114.0,0,0,
94,1,97,0.07966666666666666,600.0,0.0,0.0,87.0,0,0,
95,1,94,0.12933333333333336,600.0,0.0,0.0,148.0,0,0,
96,1,96,0.11633333333333333,600.0,0.0,0.0,110.0,0,0,
97,1,98,0.08033333333333334,600.0,0.0,0.0,119.0,0,0,
98,1,99,0.114,600.0,0.0,0.0,88.0,0,0,
99,1,93,0.18866666666666668,600.0,0.0,0.0,179.0,0,0,
100,2,3,0.18016666666666667,600.0,0.0,0.0,186.0,0,0,
101,2,4,0.285,600.0,0.0,0.0,315.0,0,0,
102,2,8,0.108,600.0,0.0,0.0,129.0,0,0,
103,2,0,0.20616666666666666,600.0,0.0,0.0,194.0,0,0,
104,2,9,0.13933333333333334,600.0,0.0,0.0,108.0,0,0,
105,2,12,0.17616666666666667,600.0,0.0,0.0,256.0,0,0,
106,2,13,0.19316666666666668,600.0,0.0,0.0,141.0,0,0,
107,2,2,0.20833333333333334,600.0,0.0,0.0,381.0,0,0,
108,2,1,0.13166666666666665,600.0,0.0,0.0,142.0,0,0,
109,2,5,0.15283333333333335,600.0,0.0,0.0,183.0,0,0,
110,2,7,0.17183333333333334,600.0,0.0,0.0,196.0,0,0,
111,2,6,0.2343333333333333,600.0,0.0,0.0,194.0,0,0,
112,2,18,0.16866666666666666,600.0,0.0,0.0,178.0,0,0,
113,2,19,0.2031666666666667,600.0,0.0,0.0,244.0,0,0,
114,2,21,0.17533333333333334,600.0,0.0,0.0,151.0,0,0,
115,2,10,0.21133333333333332,600.0,0.0,0.0,222.0,0,0,
116,2,23,0.12333333333333334,600.0,0.0,0.0,103.0,0,0,
117,2,20,0.13783333333333334,600.0,0.0,0.0,187.0,0,0,
118,2,17,0.15266666666666664,600.0,0.0,0.0,110.0,0,0,
119,2,24,0.14933333333333332,600.0,0.0,0.0,112.0,0,0,
120,2,14,0.15016666666666667,600.0,0.0,0.0,111.0,0,0,
121,2,11,0.21433333333333332,600.0,0.0,0.0,290.0,0,0,
122,2,15,0.14666666666666667,600.0,0.0,0.0,106.0,0,0,
123,2,25,0.07816666666666666,600.0,0.0,0.0,120.0,0,0,
124,2,16,0.16466666666666666,600.0,0.0,0.0,264.0,0,0,
125,2,22,0.1565,600.0,0.0,0.0,190.0,0,0,
126,2,26,0.253,600.0,0.0,0.0,373.0,0,0,
127,2,28,0.16133333333333333,600.0,0.0,0.0,143.0,0,0,
128,2,30,0.16633333333333333,600.0,0.0,0.0,219.0,0,0,
129,2,27,0.15033333333333335,600.0,0.0,0.0,155.0,0,0,
130,2,32,0.13316666666666668,600.0,0.0,0.0,126.0,0,0,
131,2,35,0.22583333333333333,600.0,0.0,0.0,330.0,0,0,
132,2,34,0.1895,600.0,0.0,0.0,281.0,0,0,
133,2,29,0.09516666666666666,600.0,0.0,0.0,97.0,0,0,
134,2,33,0.16433333333333336,600.0,0.0,0.0,154.0,0,0,
135,2,31,0.2786666666666667,600.0,0.0,0.0,380.0,0,0,
136,2,39,0.12466666666666666,600.0,0.0,0.0,120.0,0,0,
137,2,36,0.16133333333333333,600.0,0.0,0.0,185.0,0,0,
138,2,37,0.12066666666666667,600.0,0.0,0.0,169.0,0,0,
139,2,43,0.13383333333333333,600.0,0.0,0.0,112.0,0,0,
140,2,44,0.1185,600.0,0.0,0.0,174.0,0,0,
141,2,38,0.20450000000000002,600.0,0.0,0.0,218.0,0,0,
142,2,40,0.17666666666666667,600.0,0.0,0.0,153.0,0,0,
143,2,46,0.20733333333333334,600.0,0.0,0.0,212.0,0,0,
144,2,48,0.1425,600.0,0.0,0.0,92.0,0,0,
145,2,47,0.1825,600.0,0.0,0.0,188.0,0,0,
146,2,45,0.20966666666666667,600.0,0.0,0.0,196.0,0,0,
147,2,42,0.17933333333333332,600.0,0.0,0.0,216.0,0,0,
148,2,50,0.09433333333333334,600.0,0.0,0.0,111.0,0,0,
149,2,52,0.20633333333333334,600.0,0.0,0.0,190.0,0,0,
150,2,41,0.3085,600.0,0.0,0.0,304.0,0,0,
151,2,49,0.16783333333333333,600.0,0.0,0.0,167.0,0,0,
152,2,51,0.23,600.0,0.0,0.0,309.0,0,0,
153,2,53,0.15816666666666668,600.0,0.0,0.0,170.0,0,0,
154,2,54,0.14866666666666667,600.0,0.0,0.0,222.0,0,0,
155,2,55,0.15916666666666668,600.0,0.0,0.0,171.0,0,0,
156,2,56,0.29433333333333334,600.0,0.0,0.0,365.0,0,0,
157,2,59,0.07033333333333334,600.0,0.0,0.0,117.0,0,0,
158,2,60,0.13133333333333333,600.0,0.0,0.0,170.0,0,0,
159,2,57,0.12166666666666667,600.0,0.0,0.0,111.0,0,0,
160,2,61,0.17650000000000002,600.0,0.0,0.0,190.0,0,0,
161,2,64,0.17316666666666666,600.0,0.0,0.0,194.0,0,0,
162,2,65,0.17116666666666666,600.0,0.0,0.0,249.0,0,0,
163,2,58,0.12183333333333332,600.0,0.0,0.0,159.0,0,0,
164,2,67,0.1455,600.0,0.0,0.0,199.0,0,0,
165,2,63,0.23700000000000002,600.0,0.0,0.0,237.0,0,0,
166,2,62,0.22033333333333333,600.0,0.0,0.0,196.0,0,0,
167,2,66,0.09916666666666667,600.0,0.0,0.0,135.0,0,0,
168,2,71,0.19349999999999998,600.0,0.0,0.0,212.0,0,0,
169,2,72,0.16266666666666665,600.0,0.0,0.0,233.0,0,0,
170,2,73,0.16783333333333333,600.0,0.0,0.0,206.0,0,0,
171,2,69,0.1855,600.0,0.0,0.0,171.0,0,0,
172,2,74,0.20833333333333334,600.0,0.0,0.0,203.0,0,0,
173,2,70,0.13716666666666666,600.0,0.0,0.0,141.0,0,0,
174,2,68,0.17450000000000002,600.0,0.0,0.0,157.0,0,0,
175,2,76,0.19283333333333333,600.0,0.0,0.0,187.0,0,0,
176,2,77,0.11666666666666667,600.0,0.0,0.0,109.0,0,0,
177,2,75,0.19966666666666666,600.0,0.0,0.0,232.0,0,0,
178,2,78,0.1505,600.0,0.0,0.0,161.0,0,0,
179,2,80,0.208,600.0,0.0,0.0,259.0,0,0,
180,2,79,0.12349999999999998,600.0,0.0,0.0,118.0,0,0,
181,2,83,0.18466666666666667,600.0,0.0,0.0,242.0,0,0,
182,2,81,0.15566666666666668,600.0,0.0,0.0,211.0,0,0,
183,2,82,0.16149999999999998,600.0,0.0,0.0,153.0,0,0,
184,2,84,0.13416666666666666,600.0,0.0,0.0,101.0,0,0,
185,2,85,0.12866666666666668,600.0,0.0,0.0,129.0,0,0,
186,2,86,0.16683333333333333,600.0,0.0,0.0,202.0,0,0,
187,2,88,0.10816666666666667,600.0,0.0,0.0,105.0,0,0,
188,2,91,0.17616666666666667,600.0,0.0,0.0,180.0,0,0,
189,2,92,0.10633333333333334,600.0,0.0,0.0,135.0,0,0,
190,2,90,0.15783333333333333,600.0,0.0,0.0,113.0,0,0,
191,2,95,0.10683333333333332,600.0,0.0,0.0,119.0,0,0,
192,2,89,0.13866666666666666,600.0,0.0,0.0,126.0,0,0,
193,2,94,0.11483333333333334,600.0,0.0,0.0,106.0,0,0,
194,2,93,0.195,600.0,0.0,0.0,160.0,0,0,
195,2,87,0.15183333333333335,600.0,0.0,0.0,168.0,0,0,
196,2,97,0.11216666666666666,600.0,0.0,0.0,120.0,0,0,
197,2,96,0.20900000000000002,600.0,0.0,0.0,237.0,0,0,
198,2,98,0.07933333333333334,600.0,0.0,0.0,113.0,0,0,
199,2,99,0.12683333333333333,600.0,0.0,0.0,111.0,0,0,
200,4,5,0.2319166666666667,600.0,3.0,0.15,,0,0,
201,4,7,0.30183333333333334,600.0,1.0,0.05,331.0,0,0,
202,4,9,0.26625,600.0,0.0,0.0,325.0,0,0,
203,4,0,0.34291666666666665,600.0,3.0,0.15,,0,0,
204,4,10,0.3284166666666667,600.0,1.0,0.05,421.0,0,0,
205,4,1,0.2634166666666667,600.0,2.0,0.1,337.0,0,0,
206,4,11,0.18591666666666667,600.0,0.0,0.0,381.0,0,0,
207,4,2,0.19541666666666666,600.0,0.0,0.0,266.0,0,0,
208,4,12,0.3060833333333333,600.0,2.0,0.1,519.0,0,0,
209,4,4,0.33791666666666664,600.0,1.0,0.05,448.0,0,0,
210,4,6,0.3268333333333333,600.0,1.0,0.05,515.0,0,0,
211,4,8,0.3193333333333333,600.0,3.0,0.15,,0,0,
212,4,3,0.3665,600.0,1.0,0.05,543.0,0,0,
213,4,16,0.29133333333333333,600.0,2.0,0.1,463.0,0,0,
214,4,13,0.322,600.0,3.0,0.15,,0,0,
215,4,14,0.3259166666666667,600.0,3.0,0.15,,0,0,
216,4,15,0.3369166666666667,600.0,2.0,0.1,600.0,0,0,
217,4,18,0.30266666666666664,600.0,1.0,0.05,287.0,0,0,
218,4,19,0.26125,600.0,2.0,0.1,356.0,0,0,
219,4,21,0.3715833333333333,600.0,3.0,0.15,,0,0,
220,4,23,0.22599999999999998,600.0,0.0,0.0,334.0,0,0,
221,4,24,0.23566666666666666,600.0,1.0,0.05,258.0,0,0,
222,4,17,0.32016666666666665,600.0,2.0,0.1,498.0,0,0,
223,4,22,0.3053333333333333,600.0,2.0,0.1,466.0,0,0,
224,4,20,0.35425,600.0,3.0,0.15,,0,0,
225,4,26,0.4245833333333333,600.0,3.0,0.15,,0,0,
226,4,28,0.3411666666666667,600.0,2.0,0.1,506.0,0,0,
227,4,25,0.33516666666666667,600.0,1.0,0.05,567.0,0,0,
228,4,27,0.28825,600.0,3.0,0.15,,0,0,
229,4,29,0.307,600.0,2.0,0.1,498.0,0,0,
230,4,34,0.42725,600.0,2.0,0.1,569.0,0,0,
231,4,33,0.33758333333333335,600.0,4.0,0.2,,0,0,
232,4,30,0.3125,600.0,3.0,0.15,,0,0,
233,4,35,0.35866666666666663,600.0,5.0,0.25,,0,0,
234,4,36,0.2565,600.0,2.0,0.1,360.0,0,0,
235,4,32,0.327,600.0,3.0,0.15,,0,0,
236,4,31,0.41458333333333336,600.0,3.0,0.15,,0,0,
237,4,37,0.24183333333333332,600.0,1.0,0.05,459.0,0,0,
238,4,38,0.287,600.0,2.0,0.1,224.0,0,0,
239,4,42,0.32483333333333336,600.0,4.0,0.2,,0,0,
240,4,40,0.2809166666666667,600.0,2.0,0.1,241.0,0,0,
241,4,39,0.22699999999999998,600.0,0.0,0.0,284.0,0,0,
242,4,43,0.306,600.0,1.0,0.05,378.0,0,0,
243,4,45,0.329,600.0,1.0,0.05,300.0,0,0,
244,4,41,0.4269166666666666,600.0,5.0,0.25,,0,0,
245,4,46,0.32716666666666666,600.0,1.0,0.05,296.0,0,0,
246,4,44,0.224,600.0,0.0,0.0,469.0,0,0,
247,4,50,0.20416666666666666,600.0,1.0,0.05,301.0,0,0,
248,4,49,0.27958333333333335,600.0,0.0,0.0,327.0,0,0,
249,4,47,0.25666666666666665,600.0,0.0,0.0,324.0,0,0,
250,4,48,0.36108333333333337,600.0,0.0,0.0,358.0,0,0,
251,4,51,0.4760833333333333,600.0,7.0,0.35,,0,0,
252,4,55,0.3448333333333333,600.0,2.0,0.1,380.0,0,0,
253,4,52,0.23800000000000002,600.0,0.0,0.0,264.0,0,0,
254,4,53,0.3625,600.0,4.0,0.2,,0,0,
255,4,58,0.3225,600.0,2.0,0.1,581.0,0,0,
256,4,54,0.28675,600.0,2.0,0.1,472.0,0,0,
257,4,59,0.1605,600.0,1.0,0.05,264.0,0,0,
258,4,57,0.21833333333333332,600.0,2.0,0.1,172.0,0,0,
259,4,56,0.39383333333333337,600.0,1.0,0.05,452.0,0,0,
260,4,60,0.32983333333333337,600.0,3.0,0.15,,0,0,
261,4,63,0.26966666666666667,600.0,2.0,0.1,338.0,0,0,
262,4,65,0.2564166666666667,600.0,1.0,0.05,420.0,0,0,
263,4,64,0.43175,600.0,5.0,0.25,,0,0,
264,4,61,0.4048333333333333,600.0,3.0,0.15,,0,0,
265,4,62,0.32316666666666666,600.0,1.0,0.05,276.0,0,0,
266,4,68,0.22733333333333333,600.0,2.0,0.1,164.0,0,0,
267,4,67,0.31625,600.0,2.0,0.1,487.0,0,0,
268,4,66,0.22466666666666668,600.0,0.0,0.0,332.0,0,0,
269,4,71,0.26325,600.0,1.0,0.05,385.0,0,0,
270,4,73,0.3505,600.0,3.0,0.15,,0,0,
271,4,69,0.36983333333333335,600.0,2.0,0.1,571.0,0,0,
272,4,70,0.20358333333333334,600.0,1.0,0.05,224.0,0,0,
273,4,75,0.3416666666666667,600.0,2.0,0.1,553.0,0,0,
274,4,78,0.3189166666666667,600.0,3.0,0.15,,0,0,
275,4,76,0.3645,600.0,1.0,0.05,387.0,0,0,
276,4,79,0.2635,600.0,1.0,0.05,487.0,0,0,
277,4,72,0.3819166666666667,600.0,5.0,0.25,,0,0,
278,4,80,0.38233333333333336,600.0,5.0,0.25,,0,0,
279,4,74,0.30258333333333337,600.0,2.0,0.1,260.0,0,0,
280,4,82,0.265,600.0,2.0,0.1,277.0,0,0,
281,4,81,0.2574166666666666,600.0,0.0,0.0,555.0,0,0,
282,4,85,0.16008333333333333,600.0,0.0,0.0,193.0,0,0,
283,4,77,0.2255,600.0,0.0,0.0,211.0,0,0,
284,4,86,0.355,600.0,1.0,0.05,540.0,0,0,
285,4,83,0.3369166666666667,600.0,3.0,0.15,,0,0,
286,4,90,0.32641666666666663,600.0,2.0,0.1,419.0,0,0,
287,4,91,0.15283333333333335,600.0,0.0,0.0,197.0,0,0,
288,4,92,0.24449999999999997,600.0,0.0,0.0,327.0,0,0,
289,4,84,0.22483333333333333,600.0,0.0,0.0,272.0,0,0,
290,4,88,0.21441666666666667,600.0,2.0,0.1,421.0,0,0,
291,4,94,0.29275,600.0,2.0,0.1,370.0,0,0,
292,4,87,0.2744166666666667,600.0,1.0,0.05,372.0,0,0,
293,4,89,0.24691666666666667,600.0,1.0,0.05,292.0,0,0,
294,4,93,0.35491666666666666,600.0,2.0,0.1,475.0,0,0,
295,4,96,0.294,600.0,1.0,0.05,270.0,0,0,
296,4,95,0.19441666666666668,600.0,0.0,0.0,210.0,0,0,
297,4,98,0.1535,600.0,0.0,0.0,281.0,0,0,
298,4,99,0.24925000000000003,600.0,1.0,0.05,285.0,0,0,
299,4,97,0.25866666666666666,600.0,1.0,0.05,393.0,0,0,
300,6,0,0.4503333333333333,600.0,11.0,0.3666666666666666,244.0,0,0,
301,6,4,0.5381111111111111,600.0,9.0,0.3,353.0,0,0,
302,6,7,0.5072222222222222,600.0,11.0,0.3666666666666666,289.0,0,0,
303,6,9,0.45683333333333326,600.0,10.0,0.3333333333333333,200.0,0,0,
304,6,3,0.5323333333333333,600.0,10.0,0.3333333333333333,320.0,0,0,
