min_priority,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
1,0.0,0.0,100,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,1.0,1.0,100,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.92,0.3387439663632029,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,2.0,2.0,100,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.85,0.5751591786697672,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,3.0,3.0,100,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.8,0.7521014330903549,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,4.0,4.0,100,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.7,0.937436866561092,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,5.0,5.0,100,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.46,1.2586669234719823,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,6.0,6.0,100,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.34,1.4440403475154449,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,7.0,7.0,100,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.24,1.5382004440451207,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,8.0,8.0,100,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.03,1.708298225803337,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,9.0,9.0,100,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,18.91,1.8262673750720415,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,10.0,10.0,100,4.98,0.14070529413628974,0.996,0.028141058827257946,0.004,0.028141058827257943,0.0,0.0,0.003999999999999999,0.028141058827257936,0.02,0.1407052941362897,4.98,0.14070529413628974,0.02,0.1407052941362897,0.0,0.0,19.98,0.14070529413629038,18.82,1.871530459978214,0.02,0.1407052941362897,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,11.0,11.0,100,4.94,0.23868325657594208,0.988,0.04773665131518838,0.012000000000000002,0.04773665131518841,0.0,0.0,0.007999999999999998,0.03938927711338646,0.06,0.23868325657594203,4.94,0.23868325657594208,0.05,0.21904291355759034,0.01,0.09999999999999998,19.93,0.29318866956210254,18.7,1.8882946183412603,0.07,0.2931886695621029,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,12.0,12.0,100,4.92,0.27265992434429076,0.9840000000000001,0.054531984868858144,0.016,0.05453198486885815,0.0,0.0,0.003999999999999999,0.028141058827257932,0.08,0.2726599243442907,4.92,0.27265992434429076,0.08,0.2726599243442907,0.0,0.0,19.92,0.27265992434429065,18.5,2.1996326598738807,0.08,0.2726599243442907,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,13.0,13.0,100,4.9,0.30151134457776363,0.98,0.0603022689155527,0.02,0.06030226891555273,0.0,0.0,0.003999999999999999,0.02814105882725793,0.1,0.30151134457776363,4.9,0.30151134457776363,0.07,0.2564323999762428,0.03,0.1714466079977653,19.87,0.41814887880811624,18.39,2.373655919513699,0.13,0.4181488788081164,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,14.0,14.0,100,4.87,0.3379976689896312,0.9740000000000001,0.06759953379792621,0.026000000000000002,0.06759953379792623,0.0,0.0,0.005999999999999998,0.03428932159955306,0.13,0.33799766898963113,4.87,0.3379976689896312,0.1,0.30151134457776363,0.03,0.17144660799776532,19.83,0.4934930126509933,18.25,2.487849259781213,0.17,0.4934930126509935,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,15.0,15.0,100,4.8,0.40201512610368473,0.96,0.08040302522073695,0.04,0.08040302522073697,0.0,0.0,0.013999999999999997,0.05128647999524856,0.2,0.4020151261036849,4.8,0.40201512610368473,0.16,0.3684529491774707,0.04,0.19694638556693236,19.76,0.5148305595538255,18.11,2.561939763838204,0.24,0.5148305595538257,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,16.0,16.0,100,4.77,0.4461960433384737,0.9540000000000001,0.08923920866769473,0.046000000000000006,0.08923920866769476,0.0,0.0,0.006,0.03428932159955305,0.23,0.4461960433384737,4.77,0.4461960433384737,0.17,0.3775251680686368,0.06,0.238683256575942,19.69,0.6771150924952481,18.01,2.649547321732716,0.31,0.677115092495248,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,17.0,17.0,100,4.73,0.489382212074519,0.946,0.09787644241490379,0.054000000000000006,0.09787644241490381,0.0,0.0,0.008,0.03938927711338647,0.27,0.489382212074519,4.73,0.489382212074519,0.2,0.4264014327112208,0.07,0.25643239997624273,19.63,0.7869516689688946,17.86,2.799783541416707,0.37,0.786951668968895,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,18.0,18.0,100,4.66,0.535978289926679,0.932,0.10719565798533581,0.068,0.10719565798533581,0.0,0.0,0.013999999999999999,0.058637733912420574,0.34,0.5359782899266791,4.66,0.535978289926679,0.24,0.45215533220835136,0.1,0.3623715376697394,19.55,0.8211226608993466,17.84,2.848781415896199,0.45,0.821122660899347,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,19.0,19.0,100,4.61,0.5842201051942079,0.922,0.11684402103884156,0.07800000000000001,0.11684402103884158,0.0,0.0,0.01,0.043808582711518065,0.39,0.5842201051942079,4.61,0.5842201051942079,0.26,0.48450745582237925,0.13,0.3666666666666667,19.45,0.9252354327740616,17.8,2.831996119383291,0.55,0.9252354327740623,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,20.0,20.0,100,4.58,0.6224746962525848,0.9159999999999999,0.12449493925051687,0.084,0.12449493925051694,0.0,0.0,0.006000000000000001,0.03428932159955306,0.42,0.6224746962525848,4.58,0.6224746962525848,0.24,0.4739688435398098,0.18,0.43531017619043716,19.37,1.0313764461812054,17.72,2.853599534452988,0.63,1.0313764461812058,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,21.0,21.0,100,4.52,0.6432242017658957,0.904,0.12864484035317914,0.09600000000000002,0.12864484035317916,0.0,0.0,0.011999999999999997,0.055559595812682855,0.48,0.6432242017658957,4.52,0.6432242017658957,0.34,0.5359782899266791,0.14,0.3765875486765088,19.31,1.0889249633273979,17.66,2.8256401795420496,0.69,1.0889249633273983,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,22.0,22.0,100,4.48,0.6887259501016603,0.8959999999999999,0.13774519002033195,0.10400000000000001,0.13774519002033203,0.0,0.0,0.008000000000000002,0.039389277113386474,0.52,0.6887259501016599,4.48,0.6887259501016603,0.4,0.6030226891555274,0.12,0.3561863092100633,19.33,0.9852959356498334,17.72,2.770989685723107,0.67,0.9852959356498335,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,23.0,23.0,100,4.47,0.7028800779936818,0.894,0.1405760155987363,0.10600000000000001,0.14057601559873636,0.0,0.0,0.0020000000000000005,0.020000000000000004,0.53,0.7028800779936815,4.47,0.7028800779936818,0.37,0.5623723199648311,0.16,0.3949172013974524,19.26,1.1247446399296623,17.75,2.713136766016618,0.74,1.124744639929662,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,24.0,24.0,100,4.4,0.7247430753394788,0.88,0.14494861506789575,0.12,0.14494861506789575,0.0,0.0,0.013999999999999999,0.058637733912420574,0.6,0.7247430753394788,4.4,0.7247430753394788,0.49,0.6741249472052228,0.11,0.3450955072018601,19.25,1.0286305498481025,17.78,2.6460567192742035,0.75,1.0286305498481016,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,25.0,25.0,100,4.35,0.7703468981143127,0.87,0.1540693796228626,0.13,0.15406937962286257,0.0,0.0,0.01,0.04380858271151806,0.65,0.7703468981143127,4.35,0.7703468981143127,0.49,0.6589707309451794,0.16,0.4431293675255978,19.18,1.0766577539738047,17.75,2.629955639676584,0.82,1.0766577539738054,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,26.0,26.0,100,4.31,0.8001893715259095,0.862,0.1600378743051819,0.138,0.16003787430518193,0.0,0.0,0.008,0.03938927711338648,0.69,0.8001893715259096,4.31,0.8001893715259095,0.57,0.7142842712828138,0.12,0.3834979883528818,19.21,1.0079983164969104,17.75,2.4633679826980424,0.79,1.0079983164969109,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,27.0,27.0,100,4.26,0.836297757616233,0.852,0.16725955152324656,0.14800000000000002,0.1672595515232466,0.0,0.0,0.010000000000000002,0.04380858271151807,0.74,0.8362977576162326,4.26,0.836297757616233,0.61,0.723278171336114,0.13,0.4181488788081164,19.12,1.1395551143256994,17.72,2.322833518691245,0.88,1.1395551143256997,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,28.0,28.0,100,4.23,0.8391313449880266,0.846,0.16782626899760525,0.154,0.16782626899760528,0.0,0.0,0.006,0.03428932159955306,0.77,0.8391313449880264,4.23,0.8391313449880266,0.65,0.7703468981143127,0.12,0.38349798835288174,19.12,1.0567722918243438,17.78,2.2091636517931494,0.88,1.056772291824344,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,29.0,29.0,100,4.2,0.828775414010748,0.84,0.16575508280214965,0.16,0.16575508280214968,0.0,0.0,0.005999999999999998,0.034289321599553044,0.8,0.828775414010748,4.2,0.828775414010748,0.66,0.7278028371042322,0.14,0.4025173313289777,19.09,1.0258773037864923,17.77,2.178197753773852,0.91,1.0258773037864921,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,30.0,30.0,100,4.17,0.8652085636341442,0.8340000000000001,0.1730417127268288,0.166,0.17304171272682883,0.0,0.0,0.006000000000000001,0.03428932159955306,0.83,0.865208563634144,4.17,0.8652085636341442,0.68,0.8273115763993902,0.15,0.4113294533484312,19.03,1.0488570017409475,17.76,2.132575623015228,0.97,1.0488570017409475,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,31.0,31.0,100,4.11,0.897752524897366,0.8220000000000001,0.1795505049794732,0.17800000000000002,0.17955050497947317,0.0,0.0,0.011999999999999997,0.0477366513151884,0.89,0.8977525248973661,4.11,0.897752524897366,0.82,0.8805416147766871,0.07,0.3258245174347937,19.07,0.9666666666666667,17.78,2.0771970235746715,0.93,0.9666666666666665,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,32.0,32.0,100,4.1,0.8932971498777984,0.82,0.17865942997555967,0.18,0.17865942997555967,0.0,0.0,0.0019999999999999996,0.019999999999999993,0.9,0.8932971498777984,4.1,0.8932971498777984,0.77,0.8270062840990957,0.13,0.4181488788081166,19.01,1.049242150749334,17.84,2.0236979852125985,0.99,1.0492421507493352,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,33.0,33.0,100,4.07,0.8791065253018446,0.8140000000000001,0.17582130506036892,0.18600000000000003,0.17582130506036892,0.0,0.0,0.005999999999999998,0.034289321599553044,0.93,0.8791065253018446,4.07,0.8791065253018446,0.82,0.8211841659112983,0.11,0.3732196796699355,18.99,1.0199524647271703,17.77,2.0833878780738484,1.01,1.0199524647271707,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,34.0,34.0,100,4.03,0.9151364638537508,0.8059999999999999,0.18302729277075017,0.19400000000000003,0.18302729277075014,0.0,0.0,0.007999999999999998,0.03938927711338646,0.97,0.9151364638537508,4.03,0.9151364638537508,0.87,0.8605260312768293,0.1,0.36237153766973934,18.95,1.0576799462440747,17.62,2.1824830636759414,1.05,1.0576799462440747,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,35.0,35.0,100,4.01,0.9155778657672041,0.802,0.1831155731534408,0.198,0.18311557315344076,0.0,0.0,0.004,0.02814105882725794,0.99,0.915577865767204,4.01,0.9155778657672041,0.88,0.9241977137720123,0.11,0.3732196796699355,18.91,1.0258773037864921,17.67,2.0550750189064475,1.09,1.025877303786492,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,36.0,36.0,100,3.95,0.925235432774062,0.79,0.18504708655481245,0.21,0.18504708655481242,0.0,0.0,0.012000000000000002,0.0477366513151884,1.05,0.925235432774062,3.95,0.925235432774062,0.94,0.8969082698049139,0.11,0.3732196796699355,18.87,1.031376446181206,17.59,2.0601804373266517,1.13,1.0313764461812058,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,37.0,37.0,100,3.89,0.941683427043121,0.778,0.18833668540862417,0.22200000000000003,0.18833668540862417,0.0,0.0,0.012000000000000002,0.0477366513151884,1.11,0.941683427043121,3.89,0.941683427043121,1.0,0.9320337272260422,0.11,0.3732196796699355,18.79,1.0664298979645719,17.54,2.1481493091834793,1.21,1.0664298979645719,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,38.0,38.0,100,3.86,0.932250454057765,0.772,0.186450090811553,0.228,0.186450090811553,0.0,0.0,0.006,0.03428932159955306,1.14,0.9322504540577653,3.86,0.932250454057765,1.0,0.9534625892455922,0.14,0.40251733132897766,18.72,1.0738395192631498,17.49,2.153198231994126,1.28,1.07383951926315,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,39.0,39.0,100,3.83,0.9326296048260423,0.7659999999999999,0.1865259209652085,0.234,0.1865259209652085,0.0,0.0,0.006000000000000001,0.04454030067072273,1.17,0.9326296048260425,3.83,0.9326296048260423,1.06,0.9515537533185108,0.11,0.3993681878855018,18.75,1.0286305498481016,17.47,2.2583403220287703,1.25,1.0286305498481019,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
