RunId,priority_range_width,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,0,0,0.34291666666666665,600.0,3.0,0.15,,0,0,
1,0,5,0.2319166666666667,600.0,3.0,0.15,,0,0,
2,0,4,0.33791666666666664,600.0,1.0,0.05,448.0,0,0,
3,0,8,0.3193333333333333,600.0,3.0,0.15,,0,0,
4,0,9,0.26625,600.0,0.0,0.0,325.0,0,0,
5,0,2,0.19541666666666666,600.0,0.0,0.0,266.0,0,0,
6,0,1,0.2634166666666667,600.0,2.0,0.1,337.0,0,0,
7,0,12,0.3060833333333333,600.0,2.0,0.1,519.0,0,0,
8,0,3,0.3665,600.0,1.0,0.05,543.0,0,0,
9,0,10,0.3284166666666667,600.0,1.0,0.05,421.0,0,0,
10,0,7,0.30183333333333334,600.0,1.0,0.05,331.0,0,0,
11,0,6,0.3268333333333333,600.0,1.0,0.05,515.0,0,0,
12,0,17,0.32016666666666665,600.0,2.0,0.1,498.0,0,0,
13,0,18,0.30266666666666664,600.0,1.0,0.05,287.0,0,0,
14,0,13,0.322,600.0,3.0,0.15,,0,0,
15,0,19,0.26125,600.0,2.0,0.1,356.0,0,0,
16,0,11,0.18591666666666667,600.0,0.0,0.0,381.0,0,0,
17,0,22,0.3053333333333333,600.0,2.0,0.1,466.0,0,0,
18,0,15,0.3369166666666667,600.0,2.0,0.1,600.0,0,0,
19,0,20,0.35425,600.0,3.0,0.15,,0,0,
20,0,14,0.3259166666666667,600.0,3.0,0.15,,0,0,
21,0,23,0.22599999999999998,600.0,0.0,0.0,334.0,0,0,
22,0,16,0.29133333333333333,600.0,2.0,0.1,463.0,0,0,
23,0,24,0.23566666666666666,600.0,1.0,0.05,258.0,0,0,
24,0,21,0.3715833333333333,600.0,3.0,0.15,,0,0,
25,0,27,0.28825,600.0,3.0,0.15,,0,0,
26,0,26,0.4245833333333333,600.0,3.0,0.15,,0,0,
27,0,25,0.33516666666666667,600.0,1.0,0.05,567.0,0,0,
28,0,29,0.307,600.0,2.0,0.1,498.0,0,0,
29,0,30,0.3125,600.0,3.0,0.15,,0,0,
30,0,33,0.33758333333333335,600.0,4.0,0.2,,0,0,
31,0,35,0.35866666666666663,600.0,5.0,0.25,,0,0,
32,0,34,0.42725,600.0,2.0,0.1,569.0,0,0,
33,0,31,0.41458333333333336,600.0,3.0,0.15,,0,0,
34,0,32,0.327,600.0,3.0,0.15,,0,0,
35,0,39,0.22699999999999998,600.0,0.0,0.0,284.0,0,0,
36,0,40,0.2809166666666667,600.0,2.0,0.1,241.0,0,0,
37,0,38,0.287,600.0,2.0,0.1,224.0,0,0,
38,0,28,0.3411666666666667,600.0,2.0,0.1,506.0,0,0,
