priority_range_width,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
0,0.0,0.0,100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,1.0,1.0,100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.92,0.3387439663632028,0.0,0.0,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,2.0,2.0,100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.85,0.5751591786697672,0.0,0.0,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,3.0,3.0,100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.8,0.7521014330903548,0.0,0.0,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,4.0,4.0,100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.7,0.9374368665610916,0.0,0.0,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,5.0,5.0,100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.46,1.258666923471982,0.0,0.0,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,6.0,6.0,100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.34,1.4440403475154442,0.0,0.0,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,7.0,7.0,100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.24,1.5382004440451205,0.0,0.0,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,8.0,8.0,100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.03,1.7082982258033368,0.0,0.0,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,9.0,9.0,100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,18.91,1.8262673750720413,0.0,0.0,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,10.0,10.0,100,19.98,0.14070529413629018,0.9990000000000001,0.00703526470681449,0.001,0.0070352647068144866,0.0,0.0,0.0010000000000000009,0.007035264706814492,0.02,0.1407052941362897,5.0,0.0,0.0,0.0,0.0,0.0,19.98,0.14070529413629018,18.82,1.8715304599782137,0.02,0.1407052941362897,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
