n_points,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
5,0.0,0.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,1.0,1.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,39.78,0.7859884081701056,0.0,0.0,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,2.0,2.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,39.69,1.0889249633273996,0.0,0.0,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,3.0,3.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,39.57,1.379906306290906,0.0,0.0,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,4.0,4.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,39.31,1.7848690640373532,0.0,0.0,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,5.0,5.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,38.95,2.3500483554019205,0.0,0.0,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,6.0,6.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,38.69,2.6426761764804585,0.0,0.0,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,7.0,7.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,38.49,2.8832326134098696,0.0,0.0,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,8.0,8.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,38.22,3.122353424756864,0.0,0.0,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,9.0,9.0,100,9.98,0.14070529413628963,0.998,0.014070529413628964,0.002,0.01407052941362897,0.0,0.0,0.0019999999999999996,0.014070529413628964,0.02,0.1407052941362897,5.0,0.0,0.0,0.0,0.0,0.0,39.98,0.14070529413628988,37.89,3.4403869878638114,0.02,0.1407052941362897,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,10.0,10.0,100,9.92,0.338743966363203,0.992,0.03387439663632027,0.008,0.033874396636320296,0.0,0.0,0.005999999999999998,0.0238683256575942,0.06,0.23868325657594203,4.98,0.14070529413628974,0.01,0.1,0.01,0.09999999999999999,39.91,0.40439504637835616,37.57,3.6577163488833975,0.09,0.4043950463783571,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,11.0,11.0,100,9.86,0.4499158170416355,0.986,0.044991581704163564,0.014000000000000002,0.04499158170416356,0.0,0.0,0.005999999999999998,0.023868325657594197,0.1,0.30151134457776363,4.96,0.1969463855669324,0.04,0.19694638556693236,0.0,0.0,39.86,0.4499158170416351,37.34,3.872253017862268,0.14,0.4499158170416354,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,12.0,12.0,100,9.82,0.5389852043470679,0.982,0.053898520434706776,0.018000000000000002,0.05389852043470681,0.0,0.0,0.003999999999999999,0.01969463855669323,0.11,0.3144660377352201,4.93,0.2564323999762428,0.04,0.19694638556693236,0.03,0.17144660799776532,39.76,0.8302366706505618,37.04,4.143682059485381,0.24,0.8302366706505617,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,13.0,13.0,100,9.78,0.6126610281008054,0.978,0.06126610281008048,0.022000000000000002,0.0612661028100805,0.0,0.0,0.003999999999999999,0.01969463855669323,0.12,0.3265986323710904,4.9,0.3015113445777637,0.04,0.19694638556693236,0.06,0.23868325657594205,39.68,0.9627401969735588,36.78,4.402891611822229,0.32,0.962740196973559,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,14.0,14.0,100,9.69,0.6918720031095844,0.9690000000000001,0.06918720031095843,0.031,0.06918720031095846,0.0,0.0,0.009,0.028762349126466143,0.2,0.4264014327112209,4.89,0.3144660377352202,0.05,0.21904291355759034,0.06,0.23868325657594203,39.59,1.0258773037864926,36.51,4.615509646066109,0.41,1.0258773037864917,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,15.0,15.0,100,9.59,0.8299324543526894,0.9590000000000001,0.08299324543526891,0.04100000000000001,0.08299324543526893,0.0,0.0,0.009999999999999998,0.03333333333333333,0.26,0.5049252369900865,4.85,0.3859920970562727,0.06,0.23868325657594203,0.09,0.28762349126466136,39.42,1.3040728739629788,36.34,4.7123735682206505,0.58,1.304072873962978,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,16.0,16.0,100,9.49,0.9691712590109807,0.9490000000000001,0.09691712590109805,0.051000000000000004,0.09691712590109805,0.0,0.0,0.009999999999999998,0.03333333333333333,0.29,0.5182526976156117,4.78,0.48367281703584886,0.11,0.3450955072018601,0.11,0.3450955072018601,39.22,1.703116572817627,36.16,4.90252460215627,0.78,1.703116572817627,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,17.0,17.0,100,9.43,0.9975221827360556,0.943,0.0997522182736056,0.057,0.09975221827360554,0.0,0.0,0.005999999999999998,0.0238683256575942,0.32,0.5295319068800675,4.75,0.5,0.12,0.3561863092100633,0.13,0.36666666666666675,39.16,1.6497321484459724,36.03,4.926643703559065,0.84,1.6497321484459715,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,18.0,18.0,100,9.31,1.060731594302496,0.9309999999999999,0.10607315943024959,0.069,0.10607315943024961,0.0,0.0,0.011999999999999997,0.035618630921006325,0.39,0.5842201051942079,4.7,0.5222329678670936,0.17,0.4033946860424325,0.13,0.36666666666666664,39.06,1.6442123778375912,35.86,4.978783267855999,0.94,1.6442123778375906,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,19.0,19.0,100,9.18,1.1492641475344476,0.9179999999999999,0.11492641475344477,0.08200000000000002,0.11492641475344474,0.0,0.0,0.012999999999999998,0.03932511470376973,0.47,0.6269212893420537,4.65,0.575159178669767,0.15,0.38599209705627263,0.2,0.4494665749754948,38.89,1.687116959894493,35.76,5.0294486313465345,1.11,1.687116959894493,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,20.0,20.0,100,9.09,1.1814645935696022,0.909,0.11814645935696026,0.091,0.11814645935696023,0.0,0.0,0.009,0.02876234912646614,0.52,0.6587407638361193,4.61,0.5842201051942079,0.2,0.4264014327112209,0.19,0.442559132612339,38.65,2.226448002328082,35.61,5.1735438101513695,1.35,2.226448002328082,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,21.0,21.0,100,9.01,1.2431224941064882,0.9009999999999999,0.12431224941064879,0.099,0.12431224941064883,0.0,0.0,0.008,0.027265992434429072,0.54,0.6878454136877797,4.55,0.6092717958449426,0.26,0.4845074558223792,0.19,0.4191140246479061,38.58,2.1186044577704553,35.41,5.181737550320744,1.42,2.1186044577704566,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,22.0,22.0,100,8.94,1.3243637694906167,0.894,0.13243637694906163,0.106,0.13243637694906163,0.0,0.0,0.007000000000000003,0.029318866956210304,0.57,0.7142842712828139,4.51,0.6434597143880916,0.31,0.5259911279353167,0.18,0.4114522199392407,38.54,2.086125401772192,35.41,4.982991272338535,1.46,2.086125401772193,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,23.0,23.0,100,8.82,1.402594997592936,0.882,0.14025949975929358,0.11800000000000001,0.14025949975929358,0.0,0.0,0.012000000000000002,0.03561863092100633,0.65,0.7703468981143128,4.47,0.6735253251633259,0.33,0.5328596381218923,0.2,0.4264014327112209,38.42,2.0752509888364505,35.36,4.989929251942748,1.58,2.0752509888364505,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,24.0,24.0,100,8.73,1.4829332112711315,0.873,0.14829332112711313,0.127,0.14829332112711313,0.0,0.0,0.009,0.03208259542638234,0.68,0.7769403861535089,4.41,0.739847104051734,0.33,0.4934930126509934,0.26,0.4845074558223793,38.25,2.2713632270270883,35.29,4.963085957569365,1.75,2.2713632270270883,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,25.0,25.0,100,8.66,1.5454070105583284,0.866,0.15454070105583279,0.134,0.15454070105583276,0.0,0.0,0.007000000000000002,0.03258245174347937,0.71,0.8201379534116578,4.37,0.747453589654146,0.35,0.5388914922357193,0.28,0.5140451577852128,38.04,2.5777603621842924,35.26,4.900257672054117,1.96,2.57776036218429,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,26.0,26.0,100,8.62,1.574929852534404,0.862,0.1574929852534404,0.138,0.15749298525344044,0.0,0.0,0.003999999999999999,0.01969463855669323,0.71,0.8201379534116578,4.33,0.7661394761854379,0.39,0.6012613005301035,0.28,0.569954809479212,38.15,2.362907813126303,35.14,4.8534482170885065,1.85,2.362907813126304,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,27.0,27.0,100,8.56,1.6472812005044415,0.856,0.1647281200504441,0.14400000000000002,0.1647281200504441,0.0,0.0,0.006,0.0238683256575942,0.75,0.868936421753919,4.31,0.8001893715259095,0.49,0.6434597143880914,0.2,0.40201512610368473,38.16,2.33860875502742,35.1,4.723677731718297,1.84,2.3386087550274217,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,28.0,28.0,100,8.52,1.6359595460657441,0.852,0.1635959546065745,0.14800000000000002,0.16359595460657445,0.0,0.0,0.004,0.019694638556693237,0.79,0.8680059581790572,4.31,0.8001893715259095,0.51,0.6741249472052228,0.18,0.38612291966536905,38.16,2.2906044370141005,35.19,4.639956025566613,1.84,2.290604437014101,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,29.0,29.0,100,8.45,1.6840007677725644,0.845,0.1684000767772564,0.155,0.1684000767772564,0.0,0.0,0.007000000000000002,0.02564323999762428,0.83,0.9107106782035331,4.28,0.8050346626579554,0.56,0.7009373233842889,0.16,0.3684529491774707,38.13,2.2322475877306465,35.19,4.5918130923141325,1.87,2.2322475877306474,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,30.0,30.0,100,8.32,1.8083979181316898,0.8320000000000001,0.18083979181316898,0.168,0.18083979181316898,0.0,0.0,0.012999999999999998,0.03932511470376973,0.88,0.9350633317286238,4.2,0.8989331499509894,0.63,0.7608474807008885,0.17,0.45070091316893646,38.04,2.3264834520205073,35.13,4.661588145729311,1.96,2.326483452020507,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,31.0,31.0,100,8.2,1.83126605208947,0.82,0.18312660520894705,0.18,0.183126605208947,0.0,0.0,0.012,0.04329835418058608,0.94,0.9408785921958926,4.14,0.9103223982122316,0.69,0.7745314647572361,0.17,0.42770234150550646,37.99,2.190406078305752,35.16,4.653053738235687,2.01,2.190406078305753,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,32.0,32.0,100,8.14,1.8533071722592216,0.8140000000000001,0.18533071722592218,0.18600000000000003,0.18533071722592223,0.0,0.0,0.006,0.0238683256575942,0.96,0.9419515525082631,4.1,0.9265990819042824,0.71,0.844411216783803,0.19,0.4860685407045248,37.93,2.180051894480096,35.1,4.582575694955839,2.07,2.1800518944800973,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,33.0,33.0,100,8.07,1.8381754238616315,0.807,0.18381754238616313,0.193,0.18381754238616316,0.0,0.0,0.006999999999999998,0.02564323999762427,1.01,0.9480975102218593,4.08,0.9176165876989157,0.73,0.8270062840990957,0.19,0.4648231987117318,37.76,2.3746132061428185,34.97,4.567020556957979,2.24,2.374613206142819,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,34.0,34.0,100,7.94,1.8192017341391662,0.794,0.18192017341391664,0.20600000000000002,0.18192017341391656,0.0,0.0,0.013000000000000003,0.036666666666666674,1.08,0.9500664516897027,4.02,0.8987083885648157,0.78,0.7987363757710036,0.2,0.4714045207910316,37.62,2.4691224466529924,34.93,4.515416913086753,2.38,2.4691224466529924,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,35.0,35.0,100,7.83,1.8805490279343018,0.7829999999999999,0.18805490279343015,0.217,0.18805490279343015,0.0,0.0,0.011,0.03450955072018601,1.11,0.9416834270431209,3.94,0.9515537533185108,0.92,0.9500664516897028,0.14,0.42687494916218993,37.54,2.4138489320308887,34.93,4.32809706943181,2.46,2.4138489320308896,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,36.0,36.0,100,7.75,1.8768929838238704,0.775,0.18768929838238713,0.225,0.1876892983823871,0.0,0.0,0.008000000000000002,0.02726599243442908,1.16,0.9398044069019486,3.91,0.954468491365797,0.84,0.9289942427325928,0.25,0.5388914922357194,37.35,2.396862427205512,34.95,4.193248541803042,2.65,2.3968624272055115,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,37.0,37.0,100,7.69,1.8786143614887865,0.769,0.1878614361488786,0.231,0.18786143614887862,0.0,0.0,0.006,0.023868325657594197,1.19,0.9502259167846838,3.88,0.9458041311738145,0.91,0.9544684913657971,0.21,0.47768380565162366,37.31,2.329845878632709,34.97,4.164435766406449,2.69,2.3298458786327085,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,38.0,38.0,100,7.66,1.8706667098641436,0.7659999999999999,0.18706667098641436,0.234,0.18706667098641436,0.0,0.0,0.002999999999999999,0.01714466079977652,1.2,0.9428090415820632,3.86,0.9430232920203664,0.96,0.9311663154725406,0.18,0.41145221993924064,37.4,2.136739704703539,34.93,4.013248262462916,2.6,2.1367397047035386,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,39.0,39.0,100,7.6,1.8694784018408697,0.76,0.18694784018408706,0.24,0.186947840184087,0.0,0.0,0.006,0.023868325657594197,1.24,0.9547330263037682,3.84,0.9398044069019486,1.0,0.9744203145947592,0.16,0.3684529491774706,37.35,2.0859075005881973,34.9,4.0539293820124,2.65,2.0859075005881973,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,40.0,40.0,100,7.48,1.8448946754859377,0.748,0.18448946754859377,0.252,0.1844894675485938,0.0,0.0,0.012000000000000002,0.03561863092100633,1.32,0.9521904571390467,3.8,0.9320337272260424,1.07,0.934793230526614,0.13,0.33799766898963113,37.24,2.127833820503089,34.86,4.042751338363315,2.76,2.127833820503088,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
