RunId,point_layout,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,random,0,0.22337500000000002,600.0,1.0,0.025,277.0,0,0,
1,clusters,0,0.12104166666666667,600.0,0.0,0.0,109.0,0,0,
2,dispersed,0,0.3192083333333333,600.0,1.0,0.025,402.0,0,0,
3,circle,0,0.3287083333333333,600.0,4.0,0.1,591.0,0,0,
4,edges,0,0.2919583333333334,600.0,2.0,0.05,476.0,0,0,
5,central,0,0.154,600.0,0.0,0.0,183.0,0,0,
6,random,1,0.21325,600.0,0.0,0.0,315.0,0,0,
7,clusters,1,0.12637500000000002,600.0,0.0,0.0,142.0,0,0,
8,dispersed,1,0.33233333333333337,600.0,6.0,0.15,,0,0,
9,circle,1,0.30995833333333334,600.0,5.0,0.125,,0,0,
10,edges,1,0.18241666666666667,600.0,0.0,0.0,216.0,0,0,
11,central,1,0.20045833333333335,600.0,0.0,0.0,229.0,0,0,
12,random,2,0.2522083333333333,600.0,3.0,0.075,352.0,0,0,
13,clusters,2,0.16041666666666668,600.0,0.0,0.0,182.0,0,0,
14,dispersed,2,0.26375,600.0,1.0,0.025,436.0,0,0,
15,circle,2,0.29420833333333335,600.0,2.0,0.05,377.0,0,0,
16,edges,2,0.24245833333333333,600.0,0.0,0.0,410.0,0,0,
17,central,2,0.23324999999999999,600.0,2.0,0.05,388.0,0,0,
18,random,3,0.21525,600.0,0.0,0.0,230.0,0,0,
19,clusters,3,0.1365,600.0,0.0,0.0,173.0,0,0,
20,dispersed,3,0.29133333333333333,600.0,5.0,0.125,,0,0,
21,circle,3,0.24208333333333334,600.0,2.0,0.05,264.0,0,0,
22,edges,3,0.19025,600.0,1.0,0.025,217.0,0,0,
23,central,3,0.2778333333333333,600.0,0.0,0.0,353.0,0,0,
24,random,4,0.24787499999999998,600.0,0.0,0.0,279.0,0,0,
25,clusters,4,0.19020833333333334,600.0,0.0,0.0,174.0,0,0,
26,dispersed,4,0.2465416666666667,600.0,2.0,0.05,336.0,0,0,
27,circle,4,0.27283333333333337,600.0,2.0,0.05,386.0,0,0,
28,edges,4,0.23354166666666668,600.0,0.0,0.0,348.0,0,0,
29,central,4,0.3319166666666667,600.0,6.0,0.15,,0,0,
30,random,5,0.22845833333333332,600.0,0.0,0.0,277.0,0,0,
31,clusters,5,0.15429166666666666,600.0,0.0,0.0,213.0,0,0,
32,dispersed,5,0.260625,600.0,1.0,0.025,312.0,0,0,
33,circle,5,0.32929166666666665,600.0,3.0,0.075,510.0,0,0,
34,edges,5,0.20795833333333336,600.0,1.0,0.025,321.0,0,0,
35,central,5,0.17454166666666665,600.0,0.0,0.0,236.0,0,0,
36,random,6,0.29783333333333334,600.0,4.0,0.1,444.0,0,0,
37,clusters,6,0.21058333333333332,600.0,0.0,0.0,228.0,0,0,
38,dispersed,6,0.2602083333333333,600.0,2.0,0.05,352.0,0,0,
39,circle,6,0.31475,600.0,3.0,0.075,446.0,0,0,
40,edges,6,0.21895833333333334,600.0,2.0,0.05,232.0,0,0,
41,central,6,0.27849999999999997,600.0,1.0,0.025,335.0,0,0,
42,random,7,0.2615416666666667,600.0,2.0,0.05,377.0,0,0,
