RunId,priority_range_width,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,0,0,0.26958333333333334,600.0,1.0,0.05,347.0,0,0,
1,0,1,0.2885,600.0,2.0,0.1,557.0,0,0,
2,0,2,0.07200000000000001,600.0,0.0,0.0,120.0,0,0,
3,0,3,0.18941666666666668,600.0,0.0,0.0,294.0,0,0,
4,0,4,0.23141666666666666,600.0,1.0,0.05,374.0,0,0,
5,0,5,0.24949999999999997,600.0,0.0,0.0,321.0,0,0,
6,0,6,0.30883333333333335,600.0,3.0,0.15,,0,0,
7,0,7,0.24408333333333337,600.0,0.0,0.0,322.0,0,0,
8,0,8,0.199,600.0,1.0,0.05,341.0,0,0,
9,0,9,0.26425000000000004,600.0,0.0,0.0,478.0,0,0,
10,0,10,0.23074999999999998,600.0,1.0,0.05,352.0,0,0,
11,0,11,0.33741666666666664,600.0,4.0,0.2,,0,0,
12,0,12,0.29191666666666666,600.0,1.0,0.05,572.0,0,0,
13,0,13,0.23349999999999999,600.0,0.0,0.0,296.0,0,0,
14,0,14,0.33416666666666667,600.0,2.0,0.1,443.0,0,0,
15,0,15,0.37675000000000003,600.0,2.0,0.1,526.0,0,0,
16,0,16,0.26525,600.0,1.0,0.05,456.0,0,0,
17,0,17,0.3135833333333333,600.0,2.0,0.1,551.0,0,0,
18,0,18,0.22866666666666666,600.0,1.0,0.05,429.0,0,0,
19,0,19,0.27775,600.0,2.0,0.1,477.0,0,0,
20,0,20,0.37275,600.0,3.0,0.15,,0,0,
21,0,21,0.38316666666666666,600.0,5.0,0.25,,0,0,
22,0,22,0.24108333333333334,600.0,1.0,0.05,477.0,0,0,
23,0,23,0.28141666666666665,600.0,2.0,0.1,560.0,0,0,
24,0,24,0.17525000000000002,600.0,1.0,0.05,327.0,0,0,
25,0,25,0.24,600.0,1.0,0.05,310.0,0,0,
26,0,26,0.21933333333333332,600.0,3.0,0.15,,0,0,
27,0,27,0.27708333333333335,600.0,2.0,0.1,504.0,0,0,
28,0,28,0.24575000000000002,600.0,2.0,0.1,333.0,0,0,
29,0,29,0.2816666666666667,600.0,2.0,0.1,467.0,0,0,
30,0,30,0.21891666666666665,600.0,2.0,0.1,182.0,0,0,
31,0,31,0.37133333333333335,600.0,4.0,0.2,,0,0,
32,0,32,0.19541666666666666,600.0,2.0,0.1,197.0,0,0,
33,0,33,0.21824999999999997,600.0,2.0,0.1,302.0,0,0,
34,0,34,0.24391666666666667,600.0,1.0,0.05,294.0,0,0,
