RunId,point_layout,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,random,0,0.3015833333333333,600.0,0.0,0.0,351.0,0,0,
1,clusters,0,0.205,600.0,0.0,0.0,433.0,0,0,
2,dispersed,0,0.24550000000000002,600.0,1.0,0.05,293.0,0,0,
3,circle,0,0.16841666666666666,600.0,1.0,0.05,336.0,0,0,
4,edges,0,0.30141666666666667,600.0,3.0,0.15,,0,0,
5,central,0,0.04558333333333334,600.0,0.0,0.0,50.0,0,0,
6,random,1,0.24966666666666668,600.0,2.0,0.1,493.0,0,0,
7,clusters,1,0.3415833333333333,600.0,1.0,0.05,490.0,0,0,
8,dispersed,1,0.22025,600.0,1.0,0.05,262.0,0,0,
9,circle,1,0.14141666666666666,600.0,0.0,0.0,182.0,0,0,
10,edges,1,0.2719166666666667,600.0,2.0,0.1,350.0,0,0,
11,central,1,0.03158333333333333,600.0,0.0,0.0,41.0,0,0,
12,random,2,0.17708333333333334,600.0,0.0,0.0,169.0,0,0,
13,clusters,2,0.10258333333333333,600.0,0.0,0.0,183.0,0,0,
14,dispersed,2,0.2185,600.0,1.0,0.05,312.0,0,0,
15,circle,2,0.11891666666666666,600.0,0.0,0.0,120.0,0,0,
16,edges,2,0.2801666666666667,600.0,2.0,0.1,383.0,0,0,
17,central,2,0.02891666666666667,600.0,0.0,0.0,37.0,0,0,
18,random,3,0.14900000000000002,600.0,0.0,0.0,244.0,0,0,
19,clusters,3,0.16266666666666665,600.0,0.0,0.0,206.0,0,0,
20,dispersed,3,0.28058333333333335,600.0,2.0,0.1,393.0,0,0,
21,circle,3,0.16475,600.0,0.0,0.0,168.0,0,0,
22,edges,3,0.20383333333333334,600.0,0.0,0.0,239.0,0,0,
23,central,3,0.02525,600.0,0.0,0.0,38.0,0,0,
24,random,4,0.28633333333333333,600.0,0.0,0.0,301.0,0,0,
25,clusters,4,0.28825,600.0,0.0,0.0,361.0,0,0,
26,dispersed,4,0.23708333333333334,600.0,2.0,0.1,358.0,0,0,
27,circle,4,0.15141666666666667,600.0,1.0,0.05,167.0,0,0,
28,edges,4,0.24266666666666667,600.0,0.0,0.0,284.0,0,0,
29,central,4,0.16466666666666666,600.0,0.0,0.0,269.0,0,0,
30,random,5,0.3159166666666667,600.0,3.0,0.15,,0,0,
31,clusters,5,0.22583333333333333,600.0,0.0,0.0,373.0,0,0,
32,dispersed,5,0.33808333333333335,600.0,3.0,0.15,,0,0,
33,circle,5,0.10966666666666666,600.0,0.0,0.0,118.0,0,0,
34,edges,5,0.30291666666666667,600.0,3.0,0.15,,0,0,
35,central,5,0.11233333333333334,600.0,0.0,0.0,244.0,0,0,
36,random,6,0.3071666666666667,600.0,2.0,0.1,407.0,0,0,
37,clusters,6,0.1795,600.0,0.0,0.0,236.0,0,0,
38,dispersed,6,0.2485,600.0,1.0,0.05,412.0,0,0,
39,circle,6,0.10541666666666667,600.0,0.0,0.0,121.0,0,0,
40,edges,6,0.26666666666666666,600.0,1.0,0.05,313.0,0,0,
41,central,6,0.032916666666666664,600.0,0.0,0.0,32.0,0,0,
42,random,7,0.3611666666666667,600.0,1.0,0.05,376.0,0,0,
43,clusters,7,0.19716666666666666,600.0,0.0,0.0,318.0,0,0,
44,dispersed,7,0.237,600.0,0.0,0.0,358.0,0,0,
45,circle,7,0.16716666666666666,600.0,1.0,0.05,192.0,0,0,
46,edges,7,0.13924999999999998,600.0,0.0,0.0,121.0,0,0,
47,central,7,0.13099999999999998,600.0,0.0,0.0,248.0,0,0,
48,random,8,0.21775,600.0,2.0,0.1,317.0,0,0,
49,clusters,8,0.21725,600.0,0.0,0.0,306.0,0,0,
50,dispersed,8,0.16833333333333333,600.0,1.0,0.05,155.0,0,0,
51,circle,8,0.10666666666666667,600.0,0.0,0.0,128.0,0,0,
52,edges,8,0.2784166666666667,600.0,2.0,0.1,418.0,0,0,
53,central,8,0.03175,600.0,0.0,0.0,35.0,0,0,
54,random,9,0.24383333333333335,600.0,1.0,0.05,437.0,0,0,
55,clusters,9,0.43633333333333335,600.0,3.0,0.15,,0,0,
56,dispersed,9,0.24966666666666668,600.0,1.0,0.05,320.0,0,0,
57,circle,9,0.10558333333333333,600.0,0.0,0.0,100.0,0,0,
58,edges,9,0.2603333333333333,600.0,0.0,0.0,312.0,0,0,
59,central,9,0.07133333333333333,600.0,0.0,0.0,61.0,0,0,
60,random,10,0.29441666666666666,600.0,2.0,0.1,546.0,0,0,
61,clusters,10,0.371,600.0,0.0,0.0,370.0,0,0,
62,dispersed,10,0.23675000000000002,600.0,2.0,0.1,312.0,0,0,
63,circle,10,0.1475,600.0,1.0,0.05,195.0,0,0,
64,edges,10,0.19033333333333333,600.0,0.0,0.0,275.0,0,0,
65,central,10,0.12491666666666668,600.0,0.0,0.0,302.0,0,0,
66,random,11,0.22375,600.0,1.0,0.05,298.0,0,0,
67,clusters,11,0.08358333333333333,600.0,0.0,0.0,93.0,0,0,
68,dispersed,11,0.20875,600.0,1.0,0.05,334.0,0,0,
69,circle,11,0.17900000000000002,600.0,1.0,0.05,261.0,0,0,
70,edges,11,0.16808333333333333,600.0,0.0,0.0,278.0,0,0,
71,central,11,0.033666666666666664,600.0,0.0,0.0,46.0,0,0,
72,random,12,0.4170833333333333,600.0,3.0,0.15,,0,0,
73,clusters,12,0.19991666666666666,600.0,0.0,0.0,231.0,0,0,
74,dispersed,12,0.2633333333333333,600.0,2.0,0.1,440.0,0,0,
75,circle,12,0.11599999999999999,600.0,0.0,0.0,126.0,0,0,
76,edges,12,0.23208333333333334,600.0,1.0,0.05,284.0,0,0,
77,central,12,0.162,600.0,0.0,0.0,217.0,0,0,
78,random,13,0.24358333333333335,600.0,1.0,0.05,468.0,0,0,
79,clusters,13,0.32816666666666666,600.0,3.0,0.15,,0,0,
80,dispersed,13,0.28241666666666665,600.0,3.0,0.15,,0,0,
81,circle,13,0.15191666666666667,600.0,1.0,0.05,135.0,0,0,
82,edges,13,0.28783333333333333,600.0,0.0,0.0,432.0,0,0,
83,central,13,0.05291666666666667,600.0,0.0,0.0,65.0,0,0,
84,random,14,0.39816666666666667,600.0,5.0,0.25,,0,0,
85,clusters,14,0.4736666666666666,600.0,1.0,0.05,550.0,0,0,
86,dispersed,14,0.27075,600.0,2.0,0.1,438.0,0,0,
87,circle,14,0.11575,600.0,0.0,0.0,133.0,0,0,
88,edges,14,0.29383333333333334,600.0,2.0,0.1,336.0,0,0,
89,central,14,0.014083333333333331,600.0,0.0,0.0,22.0,0,0,
90,random,15,0.24583333333333332,600.0,0.0,0.0,279.0,0,0,
91,clusters,15,0.26966666666666667,600.0,2.0,0.1,506.0,0,0,
92,dispersed,15,0.2500833333333334,600.0,2.0,0.1,377.0,0,0,
93,circle,15,0.17733333333333334,600.0,1.0,0.05,119.0,0,0,
94,edges,15,0.21583333333333332,600.0,0.0,0.0,245.0,0,0,
95,central,15,0.03858333333333333,600.0,0.0,0.0,36.0,0,0,
96,random,16,0.2608333333333333,600.0,1.0,0.05,395.0,0,0,
97,clusters,16,0.1525,600.0,0.0,0.0,244.0,0,0,
98,dispersed,16,0.20383333333333334,600.0,1.0,0.05,292.0,0,0,
99,circle,16,0.20700000000000002,600.0,2.0,0.1,330.0,0,0,
100,edges,16,0.21616666666666665,600.0,0.0,0.0,335.0,0,0,
101,central,16,0.21275,600.0,1.0,0.05,347.0,0,0,
102,random,17,0.28650000000000003,600.0,4.0,0.2,,0,0,
103,clusters,17,0.2518333333333333,600.0,0.0,0.0,351.0,0,0,
104,dispersed,17,0.23816666666666667,600.0,0.0,0.0,307.0,0,0,
105,circle,17,0.22458333333333333,600.0,1.0,0.05,504.0,0,0,
106,edges,17,0.29525,600.0,2.0,0.1,373.0,0,0,
107,central,17,0.05533333333333334,600.0,0.0,0.0,66.0,0,0,
108,random,18,0.2319166666666667,600.0,2.0,0.1,423.0,0,0,
109,clusters,18,0.07341666666666667,600.0,0.0,0.0,87.0,0,0,
110,dispersed,18,0.17658333333333334,600.0,1.0,0.05,135.0,0,0,
111,circle,18,0.17816666666666667,600.0,0.0,0.0,303.0,0,0,
112,edges,18,0.19641666666666666,600.0,0.0,0.0,230.0,0,0,
113,central,18,0.06916666666666667,600.0,0.0,0.0,70.0,0,0,
114,random,19,0.20333333333333334,600.0,0.0,0.0,196.0,0,0,
115,clusters,19,0.2759166666666667,600.0,1.0,0.05,362.0,0,0,
116,dispersed,19,0.24949999999999997,600.0,1.0,0.05,439.0,0,0,
117,circle,19,0.22241666666666665,600.0,1.0,0.05,300.0,0,0,
118,edges,19,0.2999166666666667,600.0,1.0,0.05,399.0,0,0,
119,central,19,0.023,600.0,0.0,0.0,30.0,0,0,
120,random,20,0.30091666666666667,600.0,2.0,0.1,418.0,0,0,
121,clusters,20,0.13616666666666666,600.0,0.0,0.0,185.0,0,0,
122,dispersed,20,0.18641666666666665,600.0,1.0,0.05,199.0,0,0,
123,circle,20,0.12183333333333332,600.0,0.0,0.0,203.0,0,0,
124,edges,20,0.3055833333333333,600.0,2.0,0.1,525.0,0,0,
125,central,20,0.09075000000000001,600.0,1.0,0.05,44.0,0,0,
126,random,21,0.24483333333333335,600.0,1.0,0.05,383.0,0,0,
127,clusters,21,0.34575,600.0,1.0,0.05,560.0,0,0,
128,dispersed,21,0.3286666666666667,600.0,1.0,0.05,527.0,0,0,
129,circle,21,0.15325,600.0,1.0,0.05,167.0,0,0,
130,edges,21,0.18266666666666664,600.0,0.0,0.0,222.0,0,0,
131,central,21,0.11900000000000001,600.0,0.0,0.0,178.0,0,0,
132,random,22,0.34933333333333333,600.0,2.0,0.1,486.0,0,0,
133,clusters,22,0.09708333333333333,600.0,0.0,0.0,65.0,0,0,
134,dispersed,22,0.20383333333333334,600.0,0.0,0.0,446.0,0,0,
135,circle,22,0.17133333333333334,600.0,1.0,0.05,246.0,0,0,
136,edges,22,0.29300000000000004,600.0,3.0,0.15,,0,0,
137,central,22,0.06141666666666667,600.0,0.0,0.0,50.0,0,0,
138,random,23,0.26375,600.0,2.0,0.1,484.0,0,0,
139,clusters,23,0.21233333333333335,600.0,0.0,0.0,306.0,0,0,
140,dispersed,23,0.2006666666666667,600.0,1.0,0.05,329.0,0,0,
141,circle,23,0.19933333333333333,600.0,1.0,0.05,387.0,0,0,
142,edges,23,0.30616666666666664,600.0,2.0,0.1,345.0,0,0,
143,central,23,0.014499999999999999,600.0,0.0,0.0,22.0,0,0,
144,random,24,0.24958333333333332,600.0,1.0,0.05,291.0,0,0,
145,clusters,24,0.030666666666666665,600.0,0.0,0.0,44.0,0,0,
146,dispersed,24,0.19683333333333336,600.0,2.0,0.1,226.0,0,0,
147,circle,24,0.14758333333333332,600.0,0.0,0.0,98.0,0,0,
148,edges,24,0.163,600.0,0.0,0.0,138.0,0,0,
149,central,24,0.04733333333333334,600.0,0.0,0.0,52.0,0,0,
150,random,25,0.25991666666666663,600.0,1.0,0.05,432.0,0,0,
151,clusters,25,0.23266666666666666,600.0,0.0,0.0,350.0,0,0,
152,dispersed,25,0.20675,600.0,1.0,0.05,283.0,0,0,
153,circle,25,0.17291666666666666,600.0,0.0,0.0,334.0,0,0,
154,edges,25,0.21925000000000003,600.0,1.0,0.05,183.0,0,0,
155,central,25,0.08524999999999999,600.0,0.0,0.0,148.0,0,0,
156,random,26,0.30141666666666667,600.0,4.0,0.2,,0,0,
157,clusters,26,0.16916666666666666,600.0,0.0,0.0,251.0,0,0,
158,dispersed,26,0.19975,600.0,1.0,0.05,248.0,0,0,
159,circle,26,0.14966666666666667,600.0,1.0,0.05,66.0,0,0,
160,edges,26,0.21800000000000003,600.0,0.0,0.0,182.0,0,0,
161,central,26,0.04016666666666667,600.0,0.0,0.0,42.0,0,0,
162,random,27,0.16441666666666668,600.0,0.0,0.0,193.0,0,0,
163,clusters,27,0.17133333333333334,600.0,0.0,0.0,302.0,0,0,
164,dispersed,27,0.1755,600.0,0.0,0.0,228.0,0,0,
165,circle,27,0.11166666666666666,600.0,0.0,0.0,119.0,0,0,
166,edges,27,0.30258333333333337,600.0,3.0,0.15,,0,0,
167,central,27,0.08075,600.0,0.0,0.0,77.0,0,0,
168,random,28,0.17125,600.0,0.0,0.0,213.0,0,0,
169,clusters,28,0.20975000000000002,600.0,0.0,0.0,265.0,0,0,
170,dispersed,28,0.37675000000000003,600.0,3.0,0.15,,0,0,
171,circle,28,0.19333333333333333,600.0,1.0,0.05,266.0,0,0,
172,edges,28,0.33891666666666664,600.0,2.0,0.1,524.0,0,0,
173,central,28,0.05366666666666667,600.0,0.0,0.0,57.0,0,0,
174,random,29,0.3149166666666666,600.0,3.0,0.15,,0,0,
175,clusters,29,0.39233333333333337,600.0,2.0,0.1,525.0,0,0,
176,dispersed,29,0.21883333333333335,600.0,1.0,0.05,257.0,0,0,
177,circle,29,0.14650000000000002,600.0,0.0,0.0,225.0,0,0,
178,edges,29,0.22091666666666668,600.0,1.0,0.05,221.0,0,0,
179,central,29,0.19866666666666666,600.0,0.0,0.0,359.0,0,0,
180,random,30,0.3179166666666667,600.0,2.0,0.1,504.0,0,0,
181,clusters,30,0.20325000000000001,600.0,0.0,0.0,411.0,0,0,
182,dispersed,30,0.19291666666666665,600.0,0.0,0.0,263.0,0,0,
183,circle,30,0.21625,600.0,2.0,0.1,325.0,0,0,
184,edges,30,0.23566666666666666,600.0,1.0,0.05,244.0,0,0,
185,central,30,0.026416666666666665,600.0,0.0,0.0,37.0,0,0,
186,random,31,0.2619166666666667,600.0,2.0,0.1,430.0,0,0,
187,clusters,31,0.4040833333333333,600.0,2.0,0.1,582.0,0,0,
188,dispersed,31,0.23691666666666666,600.0,2.0,0.1,494.0,0,0,
189,circle,31,0.20174999999999998,600.0,2.0,0.1,449.0,0,0,
190,edges,31,0.337,600.0,4.0,0.2,,0,0,
191,central,31,0.10883333333333332,600.0,0.0,0.0,133.0,0,0,
192,random,32,0.26616666666666666,600.0,1.0,0.05,383.0,0,0,
193,clusters,32,0.16908333333333334,600.0,0.0,0.0,152.0,0,0,
194,dispersed,32,0.23833333333333334,600.0,1.0,0.05,387.0,0,0,
195,circle,32,0.14516666666666667,600.0,1.0,0.05,103.0,0,0,
196,edges,32,0.27758333333333335,600.0,1.0,0.05,340.0,0,0,
197,central,32,0.06108333333333333,600.0,0.0,0.0,42.0,0,0,
198,random,33,0.30591666666666667,600.0,1.0,0.05,426.0,0,0,
199,clusters,33,0.12433333333333332,600.0,0.0,0.0,218.0,0,0,
200,dispersed,33,0.3021666666666667,600.0,2.0,0.1,539.0,0,0,
201,circle,33,0.24258333333333335,600.0,3.0,0.15,,0,0,
202,edges,33,0.35925,600.0,2.0,0.1,534.0,0,0,
203,central,33,0.02283333333333333,600.0,0.0,0.0,30.0,0,0,
204,random,34,0.23583333333333334,600.0,1.0,0.05,321.0,0,0,
