point_layout,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
central,0.0,0.0,100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,23.01,4.591373113863332
central,1.0,1.0,100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.08,0.5061241114209204,0.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,23.01,4.591373113863332
central,2.0,2.0,100,19.4,1.5439683882250905,0.97,0.0771984194112545,0.03,0.07719841941125452,0.0,0.0,0.03,0.07719841941125452,0.54,1.298172764023543,9.94,0.44540300670722743,0.06,0.4454030067072273,0.0,0.0,19.79,0.45604802157206775,0.01,0.09999999999999999,0.21,0.4560480215720687,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,23.01,4.591373113863332
central,3.0,3.0,100,18.64,2.2764494771951833,0.932,0.11382247385975916,0.068,0.11382247385975917,0.0,0.0,0.038,0.09104333522498441,1.12,1.6531573708904101,9.76,0.9002805398902334,0.24,0.9002805398902336,0.0,0.0,19.55,0.6256309946079572,0.0,0.0,0.45,0.625630994607957,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,23.01,4.591373113863332
central,4.0,4.0,100,17.91,2.708367132656229,0.8955,0.13541835663281146,0.1045,0.1354183566328115,0.0,0.0,0.036500000000000005,0.08313764903380831,1.64,1.8668831043352785,9.55,1.1135075167680677,0.38,0.9404490653110589,0.07,0.4323999271157397,19.23,0.8270062840990956,0.0,0.0,0.77,0.8270062840990956,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,23.01,4.591373113863332
central,5.0,5.0,100,16.97,2.8513863365745515,0.8484999999999999,0.14256931682872756,0.1515,0.1425693168287276,0.0,0.0,0.047,0.08611127403047476,2.31,1.910603056734716,9.28,1.2798358480601324,0.58,1.0558160231534066,0.14,0.5508487482370669,18.79,1.0664298979645714,0.0,0.0,1.21,1.066429897964572,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,23.01,4.591373113863332
central,6.0,6.0,100,15.96,3.2811675675071235,0.7979999999999999,0.16405837837535608,0.20199999999999999,0.1640583783753561,0.0,0.0,0.050499999999999996,0.09333739168665839,2.9,2.0865127254669105,8.86,1.5440992274599534,0.71,1.1485168301295847,0.43,1.0175728698498923,17.97,2.2040137857274775,0.0,0.0,2.03,2.204013785727478,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,23.01,4.591373113863332
central,7.0,7.0,100,14.9,3.5090071691478935,0.745,0.17545035845739468,0.255,0.1754503584573947,0.0,0.0,0.053,0.08433339322072374,3.4,2.0300768756902094,8.3,1.8340219092574563,0.78,1.1684402103884157,0.92,1.5353083459591164,16.17,4.16346543692204,0.01,0.1,3.83,4.16346543692204,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,23.01,4.591373113863332
central,8.0,8.0,100,13.65,3.7615143092895313,0.6825,0.18807571546447657,0.3175,0.18807571546447654,0.0,0.0,0.0625,0.09166666666666666,4.03,1.9666666666666668,7.68,2.159685723489051,0.64,1.0102504939895158,1.68,1.9585605928741636,12.96,6.460321785774884,0.1,0.33333333333333337,7.04,6.460321785774883,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,23.01,4.591373113863332
central,9.0,9.0,100,12.61,3.725139818405031,0.6305,0.18625699092025155,0.36950000000000005,0.18625699092025153,0.0,0.0,0.05199999999999999,0.08193370071668503,4.53,1.8719352056471972,7.14,2.2384157456793075,0.59,0.9221735413706253,2.27,1.9635825843739205,9.96,6.674117049006434,0.23,0.5290548080293664,10.04,6.674117049006436,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,23.01,4.591373113863332
