initial_fleet_load,drone_sensing_radius,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
0.25,10.0,100,0.13525,0.03435581216337584,100,152.42,54.82979725173773,0,0,0,,,0.0,0.0,0.0,0.0
0.25,15.0,100,0.13587,0.0335088944086393,100,154.93,51.691050941867545,0,0,0,,,0.0,0.0,0.0,0.0
0.25,20.0,100,0.13606333333333334,0.04227598106058855,99,153.92929292929293,70.21980831722053,0,0,0,,,0.01,0.09999999999999999,0.002,0.019999999999999993
0.25,25.0,100,0.14087333333333332,0.0468900804099649,97,155.2680412371134,63.472519556353014,0,0,0,,,0.03,0.1714466079977653,0.006000000000000001,0.03428932159955306
0.5,10.0,100,0.16568833333333333,0.045961602911558416,100,182.92,67.40510426375795,0,0,0,,,0.0,0.0,0.0,0.0
0.5,15.0,100,0.16580666666666666,0.04637052331059858,100,188.74,65.85270064179738,0,0,0,,,0.0,0.0,0.0,0.0
0.5,20.0,100,0.16375,0.04951113139926684,100,191.07,88.93832331191855,0,0,0,,,0.03,0.1714466079977653,0.0030000000000000005,0.01714466079977653
0.5,25.0,100,0.16879333333333335,0.05590159965506811,99,199.5050505050505,91.91892764793552,0,0,0,,,0.04,0.2428783625395622,0.004,0.02428783625395622
1.0,10.0,100,0.2984383333333333,0.0667147476237829,74,373.4864864864865,114.57966580019063,0,0,0,,,1.78,1.411210526999835,0.08900000000000001,0.07056052634999176
1.0,15.0,100,0.2826283333333333,0.06740117929426857,70,350.34285714285716,114.06238894319446,0,0,0,,,1.69,1.2447465362048367,0.08449999999999999,0.06223732681024184
1.0,20.0,100,0.2645633333333333,0.07202931903207517,79,318.32911392405066,111.92530951819282,0,0,0,,,1.42,1.4011539256028667,0.07100000000000001,0.07005769628014333
1.0,25.0,100,0.25771,0.06475804215361225,74,321.1621621621622,129.27342023332815,0,0,0,,,1.36,1.514375558880073,0.068,0.07571877794400365
1.5,10.0,100,0.47242111111111107,0.05019537845466213,98,258.0816326530612,95.41646894410088,0,0,0,,,10.06,1.3545285064359016,0.3353333333333333,0.04515095021453004
1.5,15.0,100,0.4572527777777778,0.047095745577124766,97,237.95876288659792,97.71364600259409,0,0,0,,,10.04,1.2785724362536035,0.3346666666666666,0.04261908120845345
1.5,20.0,100,0.4465694444444444,0.05389349221605796,99,222.41414141414143,108.24914668099453,0,0,0,,,9.8,1.5439683882250903,0.32666666666666666,0.051465612940836354
1.5,25.0,100,0.4344783333333333,0.05178258956016301,100,197.39,104.05786026450997,0,0,0,,,9.59,1.47774739848777,0.31966666666666665,0.049258246616259
2.0,10.0,100,0.5942895833333334,0.04000115974705867,99,228.54545454545453,103.13546399376719,0,0,0,,,19.9,1.344648953474775,0.4975,0.03361622383686937
2.0,15.0,100,0.5776741666666667,0.036777927680963406,99,187.63636363636363,84.63010205829265,0,0,0,,,19.79,1.2496059985111916,0.49475,0.031240149962779757
2.0,20.0,100,0.56692875,0.0386351649581751,100,167.51,78.74924979600974,0,0,0,,,19.61,1.270448898634024,0.49024999999999996,0.03176122246585059
2.0,25.0,100,0.5615591666666667,0.04065330649854781,100,152.85,77.61799424297841,0,0,0,,,19.54,1.5335968153068102,0.4885,0.03833992038267028
