initial_fleet_load,drone_sensing_radius,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
0.5,10.0,100,0.16568833333333333,0.045961602911558416,100,182.92,67.40510426375795,0,0,0,,,0.0,0.0,0.0,0.0
0.5,15.0,100,0.16580666666666666,0.04637052331059858,100,188.74,65.85270064179738,0,0,0,,,0.0,0.0,0.0,0.0
0.5,20.0,100,0.16375,0.04951113139926684,100,191.07,88.93832331191855,0,0,0,,,0.03,0.1714466079977653,0.0030000000000000005,0.01714466079977653
0.5,25.0,100,0.16879333333333335,0.05590159965506811,99,199.5050505050505,91.91892764793552,0,0,0,,,0.04,0.2428783625395622,0.004,0.02428783625395622
1.0,10.0,100,0.276995,0.05331300356955312,86,361.48837209302326,112.53775776167136,0,0,0,,,1.34,1.075155614764484,0.067,0.05375778073822421
1.0,15.0,100,0.2819391666666667,0.06488187796699574,74,360.0,110.6493907404504,0,0,0,,,1.57,1.4160337266998675,0.0785,0.07080168633499338
1.0,20.0,100,0.28554999999999997,0.0690521424187189,78,365.15384615384613,127.63463244981513,0,0,0,,,1.64,1.3891353316710975,0.08200000000000002,0.06945676658355487
1.0,25.0,100,0.3081541666666667,0.0723876644072271,63,340.95238095238096,110.04228345261396,0,0,0,,,2.19,1.5935159018010863,0.10950000000000001,0.0796757950900543
1.5,10.0,100,0.4218422222222222,0.04896044192432922,100,213.21,69.27988834642366,0,0,0,,,8.18,1.7255068059482517,0.2726666666666666,0.05751689353160838
1.5,15.0,100,0.43192888888888886,0.05463924590362519,99,237.6060606060606,89.28306489575705,0,0,0,,,8.52,1.8061622912192086,0.284,0.06020540970730697
1.5,20.0,100,0.43676499999999996,0.060294441031836135,98,247.1122448979592,96.69474581969428,0,0,0,,,8.59,2.1977720582903997,0.2863333333333333,0.07325906860967998
1.5,25.0,100,0.45082944444444445,0.0672514282284431,94,254.27659574468086,109.45794147400771,0,0,0,,,8.9,2.409996018270737,0.29666666666666663,0.08033320060902459
2.0,10.0,100,0.5242229166666666,0.043947514456462194,100,157.52,60.22004767030779,0,0,0,,,16.92,2.195863880530436,0.423,0.054896597013260884
2.0,15.0,100,0.53477875,0.04739350905241803,100,181.26,79.17932849302312,0,0,0,,,17.25,2.2264480023280817,0.43125,0.055661200058202055
2.0,20.0,100,0.53551375,0.047354622417190614,100,178.03,68.31395955957372,0,0,0,,,17.08,2.290428039921928,0.42700000000000005,0.057260700998048204
2.0,25.0,100,0.5516533333333333,0.06348386684510626,93,195.49462365591398,99.70964626222109,0,0,0,,,17.8,3.0284843027027843,0.445,0.07571210756756963
