priority_range_width,drone_sensing_radius,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
0,10.0,100,0.2984383333333333,0.0667147476237829,74,373.4864864864865,114.57966580019063,0,0,0,,,1.78,1.411210526999835,0.08900000000000001,0.07056052634999176
0,15.0,100,0.2826283333333333,0.06740117929426857,70,350.34285714285716,114.06238894319446,0,0,0,,,1.69,1.2447465362048367,0.08449999999999999,0.06223732681024184
0,20.0,100,0.2645633333333333,0.07202931903207517,79,318.32911392405066,111.92530951819282,0,0,0,,,1.42,1.4011539256028667,0.07100000000000001,0.07005769628014333
0,25.0,100,0.25771,0.06475804215361225,74,321.1621621621622,129.27342023332815,0,0,0,,,1.36,1.514375558880073,0.068,0.07571877794400365
2,10.0,100,0.30610206642020005,0.07489542274323256,69,371.7536231884058,115.04364974640526,0,0,0,,,2.17,1.7059314230654228,0.10403112234977893,0.07675499399130814
2,15.0,100,0.2756160448743536,0.08142287779500844,83,326.2168674698795,118.92506845548064,0,0,0,,,1.63,1.6676057960168795,0.07711955035810869,0.07674577248941862
2,20.0,100,0.2723866606585634,0.08264054054617855,84,327.67857142857144,128.6177825695783,0,0,0,,,1.75,1.8333333333333333,0.0827004089410537,0.08429043539709923
2,25.0,100,0.2657551869192699,0.08626419836598259,83,288.5301204819277,112.88288095809719,0,0,0,,,1.63,1.9982568160850356,0.07620232503097625,0.09118350200691906
4,10.0,100,0.2979759324270372,0.08813864170989602,87,336.60919540229884,111.29651954710259,0,0,0,,,2.13,2.2140734432536817,0.09556765653718809,0.09042852416703215
4,15.0,100,0.28837171880133805,0.09320035612824892,82,335.8414634146341,129.24123004486992,0,0,0,,,2.12,2.3106254345933914,0.09481276003190457,0.09486847288283695
4,20.0,100,0.26806436631592073,0.0889979590392035,85,289.8235294117647,119.03622662576177,0,0,0,,,1.96,2.21528209207648,0.0874075560839055,0.09128676842777111
4,25.0,100,0.2694212772883526,0.09497414073957929,85,288.88235294117646,128.13398974406087,0,0,0,,,2.01,2.3548574341886455,0.09054212319315966,0.09935233632910848
6,10.0,100,0.3206135605971728,0.10791619386931481,81,357.25925925925924,134.42328460666494,0,0,0,,,2.7,2.855085839605379,0.11693953766652891,0.11240472369110198
6,15.0,100,0.28873091181041965,0.09618715415802984,87,310.1609195402299,133.872281512209,0,0,0,,,2.24,2.6935013448946883,0.09457893236158724,0.10316898085224195
6,20.0,100,0.27498592315236914,0.10283910396683835,92,289.0869565217391,130.3585631741669,0,0,0,,,2.1,2.5564337533668926,0.08916889637186261,0.1015167834700664
6,25.0,100,0.27341193641982103,0.10615093683788804,87,272.1264367816092,129.94406709057387,0,0,0,,,2.28,2.6895983703778885,0.09764372583813287,0.10629898363038459
