RunId,priority_range_width,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,0,10.0,0,0.34291666666666665,600.0,3.0,0.15,,0,0,
1,0,15.0,0,0.3521666666666667,600.0,1.0,0.05,470.0,0,0,
2,0,20.0,0,0.1915,600.0,1.0,0.05,149.0,0,0,
3,0,25.0,0,0.21883333333333335,600.0,0.0,0.0,281.0,0,0,
4,0,10.0,1,0.2634166666666667,600.0,2.0,0.1,337.0,0,0,
5,0,15.0,1,0.2653333333333333,600.0,3.0,0.15,,0,0,
6,0,20.0,1,0.161,600.0,0.0,0.0,206.0,0,0,
7,0,25.0,1,0.24941666666666668,600.0,1.0,0.05,476.0,0,0,
8,0,10.0,2,0.19541666666666666,600.0,0.0,0.0,266.0,0,0,
9,0,15.0,2,0.18241666666666667,600.0,0.0,0.0,222.0,0,0,
10,0,20.0,2,0.27,600.0,3.0,0.15,,0,0,
11,0,25.0,2,0.20633333333333334,600.0,2.0,0.1,252.0,0,0,
12,0,10.0,3,0.3665,600.0,1.0,0.05,543.0,0,0,
13,0,15.0,3,0.3409166666666667,600.0,1.0,0.05,426.0,0,0,
14,0,20.0,3,0.2694166666666667,600.0,1.0,0.05,515.0,0,0,
15,0,25.0,3,0.22083333333333333,600.0,2.0,0.1,197.0,0,0,
16,0,10.0,4,0.33791666666666664,600.0,1.0,0.05,448.0,0,0,
17,0,15.0,4,0.46149999999999997,600.0,5.0,0.25,,0,0,
18,0,20.0,4,0.3586666666666667,600.0,2.0,0.1,496.0,0,0,
19,0,25.0,4,0.3441666666666667,600.0,3.0,0.15,,0,0,
20,0,10.0,5,0.2319166666666667,600.0,3.0,0.15,,0,0,
21,0,15.0,5,0.28150000000000003,600.0,3.0,0.15,,0,0,
22,0,20.0,5,0.18083333333333335,600.0,0.0,0.0,349.0,0,0,
23,0,25.0,5,0.17275000000000001,600.0,0.0,0.0,193.0,0,0,
24,0,10.0,6,0.3268333333333333,600.0,1.0,0.05,515.0,0,0,
25,0,15.0,6,0.39416666666666667,600.0,3.0,0.15,,0,0,
26,0,20.0,6,0.2503333333333333,600.0,0.0,0.0,250.0,0,0,
27,0,25.0,6,0.24541666666666667,600.0,1.0,0.05,345.0,0,0,
28,0,10.0,7,0.30183333333333334,600.0,1.0,0.05,331.0,0,0,
29,0,15.0,7,0.2961666666666667,600.0,1.0,0.05,420.0,0,0,
30,0,20.0,7,0.31708333333333333,600.0,1.0,0.05,384.0,0,0,
31,0,25.0,7,0.3115,600.0,0.0,0.0,520.0,0,0,
