drone_sensing_radius,point_layout,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
10.0,central,100,0.26661,0.07795789828955053,90,295.6111111111111,108.29036024663998,0,0,0,,,0.6,1.1101005505463153,0.03,0.05550502752731577
10.0,circle,100,0.2860425,0.03639365088549832,89,412.5056179775281,108.25182379268864,0,0,0,,,1.61,0.897752524897366,0.0805,0.044887626244868306
10.0,clusters,100,0.21667083333333334,0.05964687915474906,98,253.72448979591837,91.69860768735185,0,0,0,,,0.27,0.6644660649838724,0.013500000000000002,0.033223303249193606
10.0,dispersed,100,0.2720416666666667,0.037848289995131276,92,374.30434782608694,106.98348841795861,0,0,0,,,1.43,0.9561602502940731,0.07150000000000001,0.04780801251470364
10.0,edges,100,0.2570608333333333,0.0534498672344408,83,349.6385542168675,112.0418669911379,0,0,0,,,1.29,1.2085135706747567,0.0645,0.06042567853373784
10.0,random,100,0.276995,0.05331300356955312,86,361.48837209302326,112.53775776167136,0,0,0,,,1.34,1.075155614764484,0.067,0.05375778073822421
15.0,central,100,0.29002,0.09785260145008892,73,294.2191780821918,125.10265191426495,0,0,0,,,1.59,1.627385583807304,0.0795,0.08136927919036518
15.0,circle,100,0.2992075,0.04256002642699943,79,419.75949367088606,93.13351529677819,0,0,0,,,1.7,1.087114613009218,0.085,0.05435573065046089
15.0,clusters,100,0.22835916666666667,0.07502444298195814,94,272.47872340425533,129.41811283408356,0,0,0,,,0.7,1.1236664374387368,0.035,0.05618332187193685
15.0,dispersed,100,0.27953333333333336,0.040979074071829776,93,369.6774193548387,98.34601308095849,0,0,0,,,1.36,0.8470984344075709,0.068,0.04235492172037854
15.0,edges,100,0.25218666666666667,0.05904867083599081,90,340.24444444444447,122.54972034873464,0,0,0,,,1.07,1.1913408115618844,0.053500000000000006,0.05956704057809423
15.0,random,100,0.2819391666666667,0.06488187796699574,74,360.0,110.6493907404504,0,0,0,,,1.57,1.4160337266998675,0.0785,0.07080168633499338
20.0,central,100,0.296055,0.09310678766088831,60,271.71666666666664,118.10037266071123,0,0,0,,,2.28,2.0453445537205566,0.114,0.10226722768602783
20.0,circle,100,0.30476749999999997,0.04573192070237097,70,397.84285714285716,97.95823358937376,0,0,0,,,1.94,1.1876468542900496,0.09700000000000002,0.05938234271450248
20.0,clusters,100,0.25183333333333335,0.07971967669184221,81,285.12345679012344,141.4212132881812,0,0,0,,,1.17,1.3108328758018042,0.058499999999999996,0.06554164379009023
20.0,dispersed,100,0.3011166666666667,0.04078488846158333,85,390.38823529411764,94.57688911770188,0,0,0,,,1.5,1.0100505037878156,0.075,0.05050252518939078
20.0,edges,100,0.25102583333333334,0.051036335968457774,92,333.82608695652175,113.51357654150935,0,0,0,,,1.14,1.063821964295329,0.057,0.05319109821476643
20.0,random,100,0.28554999999999997,0.0690521424187189,78,365.15384615384613,127.63463244981513,0,0,0,,,1.64,1.3891353316710975,0.08200000000000002,0.06945676658355487
25.0,central,100,0.29121583333333334,0.11128014232133292,54,225.1851851851852,118.75677920257368,0,0,0,,,2.79,2.4753124483934785,0.1395,0.12376562241967393
25.0,circle,100,0.31933,0.05448085506876309,73,421.4657534246575,102.07365017908782,0,0,0,,,2.12,1.2083881910222474,0.106,0.06041940955111239
25.0,clusters,100,0.2617425,0.0933540276593295,70,239.61428571428573,137.64786967056455,0,0,0,,,1.92,1.9831614389477457,0.096,0.0991580719473873
25.0,dispersed,100,0.334675,0.05089727928603394,77,425.2207792207792,85.70660224163525,0,0,0,,,1.94,1.1618515352225474,0.09700000000000002,0.058092576761127356
25.0,edges,100,0.249035,0.06007968331609709,84,304.6309523809524,112.01116335952561,0,0,0,,,1.37,1.3607410340017534,0.0685,0.06803705170008768
25.0,random,100,0.3081541666666667,0.0723876644072271,63,340.95238095238096,110.04228345261396,0,0,0,,,2.19,1.5935159018010863,0.10950000000000001,0.0796757950900543
