match,drone_sensing_radius,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
0.0,10.0,100,0.49539722222222216,0.05406611915969327,96,309.7708333333333,99.58952377441129,0,0,0,,,10.3,1.218543591689885,0.34333333333333327,0.040618119722996164
0.0,25.0,100,0.4593688888888889,0.06651941065594474,100,243.37,109.59453785327408,0,0,0,,,9.84,1.6435979257148459,0.32799999999999996,0.054786597523828154
0.025,10.0,100,0.4871566666666666,0.05638732748442258,97,297.3298969072165,117.49323754028397,0,0,0,,,10.26,1.2840906856172145,0.34199999999999997,0.04280302285390717
0.025,25.0,100,0.4475105555555555,0.05776163316645069,97,213.62886597938143,106.648890405584,0,0,0,,,9.87,1.5417096636100736,0.32899999999999996,0.05139032212033578
0.05,10.0,100,0.47242111111111107,0.05019537845466213,98,258.0816326530612,95.41646894410088,0,0,0,,,10.06,1.3545285064359016,0.3353333333333333,0.04515095021453004
0.05,25.0,100,0.4344783333333333,0.05178258956016301,100,197.39,104.05786026450997,0,0,0,,,9.59,1.47774739848777,0.31966666666666665,0.049258246616259
0.1,10.0,100,0.4761538888888889,0.05360735107450833,99,260.2121212121212,121.48857951930218,0,0,0,,,10.17,1.3031042967010773,0.33899999999999997,0.04343680989003589
0.1,25.0,100,0.42993666666666663,0.05825507069991549,98,189.28571428571428,109.75370740280162,0,0,0,,,9.44,1.8219758394654852,0.31466666666666665,0.06073252798218283
0.2,10.0,100,0.4716744444444444,0.06457447745661875,97,266.7938144329897,118.28381635431033,0,0,0,,,9.93,1.8160618954432162,0.33099999999999996,0.060535396514773875
0.2,25.0,100,0.43554333333333334,0.06341021264720365,99,187.74747474747474,121.8955176080966,0,0,0,,,9.48,1.7949423895540997,0.316,0.059831412985136646
