RunId,match,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,0.0,10.0,0,0.48422222222222217,600.0,10.0,0.3333333333333333,322.0,0,0,
1,0.025,10.0,0,0.5083333333333333,600.0,10.0,0.3333333333333333,316.0,0,0,
2,0.05,10.0,0,0.4503333333333333,600.0,11.0,0.3666666666666666,244.0,0,0,
3,0.1,10.0,0,0.5045,600.0,10.0,0.3333333333333333,403.0,0,0,
4,0.2,10.0,0,0.47405555555555556,600.0,10.0,0.3333333333333333,256.0,0,0,
5,0.0,25.0,0,0.44850000000000007,600.0,10.0,0.3333333333333333,179.0,0,0,
6,0.025,25.0,0,0.4537777777777778,600.0,10.0,0.3333333333333333,221.0,0,0,
7,0.05,25.0,0,0.42116666666666663,600.0,10.0,0.3333333333333333,124.0,0,0,
8,0.1,25.0,0,0.4881111111111111,600.0,11.0,0.3666666666666666,366.0,0,0,
9,0.2,25.0,0,0.4459444444444444,600.0,10.0,0.3333333333333333,203.0,0,0,
10,0.0,10.0,1,0.4537777777777778,600.0,10.0,0.3333333333333333,229.0,0,0,
11,0.025,10.0,1,0.4525555555555555,600.0,10.0,0.3333333333333333,260.0,0,0,
12,0.05,10.0,1,0.4387222222222222,600.0,10.0,0.3333333333333333,201.0,0,0,
13,0.1,10.0,1,0.4418333333333333,600.0,10.0,0.3333333333333333,204.0,0,0,
14,0.2,10.0,1,0.45827777777777773,600.0,10.0,0.3333333333333333,217.0,0,0,
15,0.0,25.0,1,0.44622222222222213,600.0,10.0,0.3333333333333333,226.0,0,0,
16,0.025,25.0,1,0.4340555555555556,600.0,10.0,0.3333333333333333,207.0,0,0,
17,0.05,25.0,1,0.39994444444444444,600.0,10.0,0.3333333333333333,86.0,0,0,
18,0.1,25.0,1,0.43677777777777776,600.0,11.0,0.3666666666666666,81.0,0,0,
19,0.2,25.0,1,0.41477777777777775,600.0,10.0,0.3333333333333333,118.0,0,0,
20,0.0,10.0,2,0.46094444444444443,600.0,10.0,0.3333333333333333,220.0,0,0,
21,0.025,10.0,2,0.40549999999999997,600.0,10.0,0.3333333333333333,80.0,0,0,
22,0.05,10.0,2,0.4319444444444444,600.0,10.0,0.3333333333333333,260.0,0,0,
23,0.1,10.0,2,0.4109999999999999,600.0,10.0,0.3333333333333333,90.0,0,0,
24,0.2,10.0,2,0.40288888888888885,600.0,10.0,0.3333333333333333,84.0,0,0,
25,0.0,25.0,2,0.40605555555555556,600.0,10.0,0.3333333333333333,117.0,0,0,
26,0.025,25.0,2,0.41922222222222216,600.0,11.0,0.3666666666666666,60.0,0,0,
27,0.05,25.0,2,0.3894444444444444,600.0,10.0,0.3333333333333333,83.0,0,0,
28,0.1,25.0,2,0.3863333333333333,600.0,10.0,0.3333333333333333,84.0,0,0,
29,0.2,25.0,2,0.3898888888888889,600.0,10.0,0.3333333333333333,88.0,0,0,
30,0.0,10.0,3,0.4825,600.0,11.0,0.3666666666666666,229.0,0,0,
31,0.025,10.0,3,0.4990555555555556,600.0,10.0,0.3333333333333333,369.0,0,0,
32,0.05,10.0,3,0.5323333333333333,600.0,10.0,0.3333333333333333,320.0,0,0,
33,0.1,10.0,3,0.5892222222222223,600.0,12.0,0.4,502.0,0,0,
34,0.2,10.0,3,0.56,600.0,11.0,0.3666666666666666,361.0,0,0,
35,0.0,25.0,3,0.4493888888888889,600.0,11.0,0.3666666666666666,214.0,0,0,
