match,drone_sensing_radius,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
0.0,10.0,100,0.43161944444444444,0.05753222413139812,100,236.64,93.23073581716545,0,0,0,,,8.42,2.1517200073194904,0.2806666666666666,0.07172400024398304
0.0,25.0,100,0.45871833333333334,0.060863809510092355,91,261.6703296703297,98.57406182888919,0,0,0,,,9.51,2.409975061692506,0.317,0.08033250205641686
0.025,10.0,100,0.4260633333333333,0.05352397943781561,100,219.09,81.23057281341775,0,0,0,,,8.43,1.8762470600384775,0.28099999999999997,0.06254156866794924
0.025,25.0,100,0.45954611111111104,0.06929730407527596,90,256.1333333333333,107.93997499650995,0,0,0,,,9.55,2.4797156891446037,0.3183333333333333,0.08265718963815348
0.05,10.0,100,0.4218422222222222,0.04896044192432922,100,213.21,69.27988834642366,0,0,0,,,8.18,1.7255068059482517,0.2726666666666666,0.05751689353160838
0.05,25.0,100,0.45082944444444445,0.0672514282284431,94,254.27659574468086,109.45794147400771,0,0,0,,,8.9,2.409996018270737,0.29666666666666663,0.08033320060902459
0.1,10.0,100,0.4240561111111111,0.0555463418257514,99,220.5151515151515,75.05309190715428,0,0,0,,,8.17,1.923039471274786,0.2723333333333333,0.06410131570915951
0.1,25.0,100,0.43873166666666663,0.0759249659358708,96,233.35416666666666,104.46515200034959,0,0,0,,,8.57,2.6486321989382606,0.2856666666666666,0.08828773996460867
0.2,10.0,100,0.4106238888888889,0.05851849979488685,100,214.3,92.16076204440834,0,0,0,,,7.85,1.9662557351884864,0.26166666666666666,0.0655418578396162
0.2,25.0,100,0.42576611111111107,0.0660001442099004,100,231.79,118.21580121356727,0,0,0,,,8.17,2.0303505195712472,0.2723333333333333,0.06767835065237489
