RunId,match,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,0.0,10.0,0,0.1637222222222222,600.0,0.0,0.0,96.0,0,0,
1,0.025,10.0,0,0.17238888888888887,600.0,0.0,0.0,98.0,0,0,
2,0.05,10.0,0,0.183,600.0,0.0,0.0,88.0,0,0,
3,0.1,10.0,0,0.19383333333333333,600.0,0.0,0.0,95.0,0,0,
4,0.2,10.0,0,0.14549999999999996,600.0,0.0,0.0,82.0,0,0,
5,0.0,25.0,0,0.30794444444444447,600.0,6.0,0.2,98.0,0,0,
6,0.025,25.0,0,0.31655555555555553,600.0,6.0,0.2,102.0,0,0,
7,0.05,25.0,0,0.14899999999999997,600.0,1.0,0.0333333333333333,85.0,0,0,
8,0.1,25.0,0,0.2651666666666666,600.0,5.0,0.1666666666666666,86.0,0,0,
9,0.2,25.0,0,0.2341111111111111,600.0,0.0,0.0,87.0,0,0,
10,0.0,10.0,1,0.17566666666666667,600.0,0.0,0.0,107.0,0,0,
11,0.025,10.0,1,0.13194444444444442,600.0,0.0,0.0,77.0,0,0,
12,0.05,10.0,1,0.3393333333333333,600.0,6.0,0.2,148.0,0,0,
13,0.1,10.0,1,0.25466666666666665,600.0,2.0,0.0666666666666666,140.0,0,0,
14,0.2,10.0,1,0.29677777777777775,600.0,0.0,0.0,103.0,0,0,
15,0.0,25.0,1,0.38849999999999996,600.0,8.0,0.2666666666666666,214.0,0,0,
16,0.025,25.0,1,0.24055555555555552,600.0,2.0,0.0666666666666666,79.0,0,0,
17,0.05,25.0,1,0.3926111111111111,600.0,8.0,0.2666666666666666,217.0,0,0,
18,0.1,25.0,1,0.5215555555555556,600.0,14.0,0.4666666666666667,,0,0,
19,0.2,25.0,1,0.2554444444444444,600.0,0.0,0.0,221.0,0,0,
20,0.0,10.0,2,0.24061111111111108,600.0,0.0,0.0,133.0,0,0,
21,0.025,10.0,2,0.2505555555555556,600.0,2.0,0.0666666666666666,85.0,0,0,
22,0.05,10.0,2,0.16705555555555554,600.0,0.0,0.0,99.0,0,0,
23,0.1,10.0,2,0.21188888888888882,600.0,2.0,0.0666666666666666,86.0,0,0,
24,0.2,10.0,2,0.22305555555555553,600.0,2.0,0.0666666666666666,109.0,0,0,
25,0.0,25.0,2,0.3174444444444444,600.0,5.0,0.1666666666666666,133.0,0,0,
26,0.025,25.0,2,0.1962222222222222,600.0,1.0,0.0333333333333333,98.0,0,0,
27,0.05,25.0,2,0.25461111111111107,600.0,0.0,0.0,89.0,0,0,
28,0.1,25.0,2,0.31916666666666665,600.0,6.0,0.2,104.0,0,0,
29,0.2,25.0,2,0.28755555555555556,600.0,0.0,0.0,198.0,0,0,
30,0.0,10.0,3,0.15005555555555553,600.0,1.0,0.0333333333333333,78.0,0,0,
31,0.025,10.0,3,0.17116666666666663,600.0,1.0,0.0333333333333333,86.0,0,0,
32,0.05,10.0,3,0.20344444444444443,600.0,1.0,0.0333333333333333,91.0,0,0,
33,0.1,10.0,3,0.14888888888888885,600.0,1.0,0.0333333333333333,85.0,0,0,
34,0.2,10.0,3,0.3234444444444444,600.0,1.0,0.0333333333333333,177.0,0,0,
35,0.0,25.0,3,0.2822777777777778,600.0,6.0,0.2,92.0,0,0,
36,0.025,25.0,3,0.24649999999999997,600.0,5.0,0.1666666666666666,59.0,0,0,
37,0.05,25.0,3,0.16488888888888883,600.0,2.0,0.0666666666666666,57.0,0,0,
38,0.1,25.0,3,0.19799999999999995,600.0,2.0,0.0666666666666666,51.0,0,0,
39,0.2,25.0,3,0.21161111111111108,600.0,3.0,0.1,85.0,0,0,
40,0.0,10.0,4,0.40694444444444444,600.0,4.0,0.1333333333333333,198.0,0,0,
41,0.025,10.0,4,0.3095,600.0,1.0,0.0333333333333333,124.0,0,0,
42,0.05,10.0,4,0.3214444444444445,600.0,2.0,0.0666666666666666,169.0,0,0,
43,0.1,10.0,4,0.33388888888888885,600.0,1.0,0.0333333333333333,178.0,0,0,
44,0.2,10.0,4,0.42027777777777775,600.0,5.0,0.1666666666666666,225.0,0,0,
45,0.0,25.0,4,0.4744444444444444,600.0,11.0,0.3666666666666666,140.0,0,0,
46,0.025,25.0,4,0.36283333333333334,600.0,6.0,0.2,173.0,0,0,
47,0.05,25.0,4,0.39999999999999997,600.0,8.0,0.2666666666666666,178.0,0,0,
48,0.1,25.0,4,0.45666666666666655,600.0,11.0,0.3666666666666666,107.0,0,0,
49,0.2,25.0,4,0.27049999999999996,600.0,4.0,0.1333333333333333,108.0,0,0,
50,0.0,10.0,5,0.13516666666666666,600.0,0.0,0.0,97.0,0,0,
51,0.025,10.0,5,0.21166666666666664,600.0,0.0,0.0,124.0,0,0,
52,0.05,10.0,5,0.2758888888888889,600.0,0.0,0.0,210.0,0,0,
53,0.1,10.0,5,0.21699999999999994,600.0,0.0,0.0,114.0,0,0,
54,0.2,10.0,5,0.28822222222222216,600.0,0.0,0.0,127.0,0,0,
55,0.0,25.0,5,0.23461111111111108,600.0,3.0,0.1,122.0,0,0,
56,0.025,25.0,5,0.2537222222222222,600.0,4.0,0.1333333333333333,111.0,0,0,
57,0.05,25.0,5,0.3525555555555555,600.0,8.0,0.2666666666666666,103.0,0,0,
58,0.1,25.0,5,0.33,600.0,4.0,0.1333333333333333,225.0,0,0,
59,0.2,25.0,5,0.3376111111111111,600.0,2.0,0.0666666666666666,299.0,0,0,
60,0.0,10.0,6,0.23705555555555555,600.0,0.0,0.0,112.0,0,0,
61,0.025,10.0,6,0.1946111111111111,600.0,0.0,0.0,113.0,0,0,
62,0.05,10.0,6,0.21555555555555553,600.0,0.0,0.0,98.0,0,0,
63,0.1,10.0,6,0.2768333333333333,600.0,1.0,0.0333333333333333,140.0,0,0,
64,0.2,10.0,6,0.29,600.0,1.0,0.0333333333333333,174.0,0,0,
65,0.0,25.0,6,0.4896666666666666,600.0,11.0,0.3666666666666666,220.0,0,0,
66,0.025,25.0,6,0.2637777777777778,600.0,2.0,0.0666666666666666,96.0,0,0,
67,0.05,25.0,6,0.40855555555555556,600.0,9.0,0.3,143.0,0,0,
68,0.1,25.0,6,0.3782777777777777,600.0,7.0,0.2333333333333333,107.0,0,0,
