match,drone_sensing_radius,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
0.0,10.0,100,0.3707972222222222,0.06115547587414142,100,188.56,63.96184468695049,0,0,0,,,6.56,2.203394992948268,0.21866666666666665,0.07344649976494225
0.0,25.0,100,0.38394999999999996,0.06918930707301199,98,215.89795918367346,98.54670668192817,0,0,0,,,6.95,2.6869493798166295,0.23166666666666663,0.08956497932722098
0.025,10.0,100,0.36337277777777777,0.06361826659307271,100,185.04,71.64219737308763,0,0,0,,,6.34,2.4379988482028416,0.2113333333333333,0.08126662827342807
0.025,25.0,100,0.3783611111111111,0.08036969716082926,94,194.30851063829786,73.51103005463487,0,0,0,,,7.06,3.177636501768845,0.2353333333333333,0.10592121672562818
0.05,10.0,100,0.36958777777777774,0.06183763681689447,100,192.03,77.38170574391845,0,0,0,,,6.69,2.2504544995501363,0.22299999999999998,0.07501514998500454
0.05,25.0,100,0.3675777777777778,0.0681274933015963,98,194.85714285714286,82.442732388679,0,0,0,,,6.56,2.551767064509445,0.21866666666666665,0.08505890215031484
0.1,10.0,100,0.354955,0.06071959458582268,100,177.88,64.76816152612909,0,0,0,,,6.14,2.31821944909049,0.20466666666666666,0.07727398163634963
0.1,25.0,100,0.3612233333333333,0.07124947563159871,97,184.0721649484536,77.48739782252237,0,0,0,,,6.27,2.799188194004567,0.209,0.09330627313348554
0.2,10.0,100,0.35497666666666666,0.05987990598931696,100,173.11,63.490537750426896,0,0,0,,,6.16,2.2817678774285186,0.2053333333333333,0.07605892924761726
0.2,25.0,100,0.35753166666666664,0.06597788037878087,100,179.27,69.27953259342644,0,0,0,,,6.2,2.247332874877474,0.20666666666666664,0.07491109582924912
