RunId,point_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,10.0,0,0.3643888888888889,600.0,7.0,0.2333333333333333,114.0,0,0,
1,15.0,0,0.40594444444444444,600.0,9.0,0.3,142.0,0,0,
2,20.0,0,0.4473888888888889,600.0,7.0,0.2333333333333333,236.0,0,0,
3,25.0,0,0.4264444444444444,600.0,8.0,0.2666666666666666,258.0,0,0,
4,10.0,1,0.45088888888888884,600.0,6.0,0.2,364.0,0,0,
5,15.0,1,0.3063888888888889,600.0,6.0,0.2,91.0,0,0,
6,20.0,1,0.35627777777777775,600.0,4.0,0.1333333333333333,204.0,0,0,
7,25.0,1,0.41566666666666663,600.0,7.0,0.2333333333333333,208.0,0,0,
8,10.0,2,0.35716666666666663,600.0,7.0,0.2333333333333333,93.0,0,0,
9,15.0,2,0.5827222222222223,600.0,13.0,0.4333333333333333,,0,0,
10,20.0,2,0.4328888888888888,600.0,9.0,0.3,203.0,0,0,
11,25.0,2,0.2982222222222222,600.0,6.0,0.2,69.0,0,0,
12,10.0,3,0.4748333333333333,600.0,11.0,0.3666666666666666,242.0,0,0,
13,15.0,3,0.46872222222222226,600.0,10.0,0.3333333333333333,300.0,0,0,
14,20.0,3,0.4716111111111111,600.0,10.0,0.3333333333333333,332.0,0,0,
15,25.0,3,0.46127777777777773,600.0,10.0,0.3333333333333333,313.0,0,0,
16,10.0,4,0.5558888888888889,600.0,11.0,0.3666666666666666,547.0,0,0,
17,15.0,4,0.6428333333333334,600.0,16.0,0.5333333333333333,,0,0,
18,20.0,4,0.6107222222222223,600.0,14.0,0.4666666666666667,,0,0,
19,25.0,4,0.5477222222222222,600.0,12.0,0.4,270.0,0,0,
20,10.0,5,0.5080555555555555,600.0,9.0,0.3,299.0,0,0,
21,15.0,5,0.4895555555555556,600.0,9.0,0.3,288.0,0,0,
22,20.0,5,0.5284444444444444,600.0,10.0,0.3333333333333333,308.0,0,0,
23,25.0,5,0.43633333333333335,600.0,9.0,0.3,184.0,0,0,
24,10.0,6,0.3703888888888889,600.0,5.0,0.1666666666666666,210.0,0,0,
25,15.0,6,0.34299999999999997,600.0,5.0,0.1666666666666666,202.0,0,0,
26,20.0,6,0.37027777777777776,600.0,6.0,0.2,201.0,0,0,
27,25.0,6,0.32655555555555554,600.0,6.0,0.2,155.0,0,0,
28,10.0,7,0.4568888888888889,600.0,10.0,0.3333333333333333,254.0,0,0,
29,15.0,7,0.45149999999999996,600.0,10.0,0.3333333333333333,183.0,0,0,
30,20.0,7,0.4922777777777778,600.0,11.0,0.3666666666666666,338.0,0,0,
31,25.0,7,0.4355,600.0,10.0,0.3333333333333333,148.0,0,0,
32,10.0,8,0.3500555555555555,600.0,7.0,0.2333333333333333,105.0,0,0,
33,15.0,8,0.42283333333333334,600.0,9.0,0.3,209.0,0,0,
34,20.0,8,0.4147777777777778,600.0,9.0,0.3,227.0,0,0,
35,25.0,8,0.35577777777777775,600.0,8.0,0.2666666666666666,97.0,0,0,
36,10.0,9,0.4528888888888889,600.0,8.0,0.2666666666666666,241.0,0,0,
37,15.0,9,0.4181111111111111,600.0,7.0,0.2333333333333333,191.0,0,0,
38,20.0,9,0.40455555555555556,600.0,5.0,0.1666666666666666,264.0,0,0,
39,25.0,9,0.43711111111111106,600.0,6.0,0.2,250.0,0,0,
40,10.0,10,0.5827222222222223,600.0,14.0,0.4666666666666667,,0,0,
41,15.0,10,0.4948333333333333,600.0,11.0,0.3666666666666666,501.0,0,0,
42,20.0,10,0.479,600.0,11.0,0.3666666666666666,346.0,0,0,
43,25.0,10,0.39649999999999996,600.0,8.0,0.2666666666666666,109.0,0,0,
44,10.0,11,0.5639444444444445,600.0,11.0,0.3666666666666666,560.0,0,0,
45,15.0,11,0.5358888888888889,600.0,13.0,0.4333333333333333,,0,0,
46,20.0,11,0.4992222222222222,600.0,11.0,0.3666666666666666,489.0,0,0,
47,25.0,11,0.48899999999999993,600.0,7.0,0.2333333333333333,365.0,0,0,
48,10.0,12,0.3583888888888888,600.0,5.0,0.1666666666666666,150.0,0,0,
49,15.0,12,0.3316111111111111,600.0,5.0,0.1666666666666666,133.0,0,0,
50,20.0,12,0.27411111111111114,600.0,4.0,0.1333333333333333,111.0,0,0,
51,25.0,12,0.2923333333333333,600.0,4.0,0.1333333333333333,99.0,0,0,
52,10.0,13,0.45666666666666667,600.0,10.0,0.3333333333333333,247.0,0,0,
53,15.0,13,0.47183333333333327,600.0,9.0,0.3,290.0,0,0,
54,20.0,13,0.453,600.0,9.0,0.3,245.0,0,0,
55,25.0,13,0.43127777777777776,600.0,8.0,0.2666666666666666,247.0,0,0,
56,10.0,14,0.514,600.0,10.0,0.3333333333333333,302.0,0,0,
57,15.0,14,0.6304444444444445,600.0,11.0,0.3666666666666666,576.0,0,0,
58,20.0,14,0.521611111111111,600.0,12.0,0.4,323.0,0,0,
