RunId,coverage_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,8.0,0,0.43461111111111106,600.0,7.0,0.2333333333333333,188.0,0,0,
1,10.0,0,0.41855555555555557,600.0,7.0,0.2333333333333333,182.0,0,0,
2,12.0,0,0.3890555555555555,600.0,5.0,0.1666666666666666,152.0,0,0,
3,15.0,0,0.35533333333333333,600.0,3.0,0.1,182.0,0,0,
4,8.0,1,0.3885,600.0,7.0,0.2333333333333333,167.0,0,0,
5,10.0,1,0.3512222222222222,600.0,4.0,0.1333333333333333,153.0,0,0,
6,12.0,1,0.38216666666666665,600.0,6.0,0.2,263.0,0,0,
7,15.0,1,0.43077777777777776,600.0,6.0,0.2,183.0,0,0,
8,8.0,2,0.5182222222222223,600.0,12.0,0.4,454.0,0,0,
9,10.0,2,0.37166666666666665,600.0,5.0,0.1666666666666666,175.0,0,0,
10,12.0,2,0.40049999999999997,600.0,7.0,0.2333333333333333,200.0,0,0,
11,15.0,2,0.37566666666666665,600.0,6.0,0.2,155.0,0,0,
12,8.0,3,0.4726111111111111,600.0,10.0,0.3333333333333333,234.0,0,0,
13,10.0,3,0.4903333333333333,600.0,10.0,0.3333333333333333,240.0,0,0,
14,12.0,3,0.511,600.0,10.0,0.3333333333333333,240.0,0,0,
15,15.0,3,0.479,600.0,9.0,0.3,270.0,0,0,
16,8.0,4,0.6392222222222221,600.0,13.0,0.4333333333333333,,0,0,
17,10.0,4,0.5652222222222222,600.0,12.0,0.4,417.0,0,0,
18,12.0,4,0.6595,600.0,16.0,0.5333333333333333,,0,0,
19,15.0,4,0.6484444444444445,600.0,14.0,0.4666666666666667,,0,0,
20,8.0,5,0.44949999999999996,600.0,7.0,0.2333333333333333,298.0,0,0,
21,10.0,5,0.4828888888888888,600.0,8.0,0.2666666666666666,285.0,0,0,
22,12.0,5,0.45561111111111113,600.0,8.0,0.2666666666666666,201.0,0,0,
23,15.0,5,0.4475555555555555,600.0,6.0,0.2,240.0,0,0,
24,8.0,6,0.33,600.0,4.0,0.1333333333333333,159.0,0,0,
25,10.0,6,0.3591111111111111,600.0,4.0,0.1333333333333333,212.0,0,0,
26,12.0,6,0.37249999999999994,600.0,5.0,0.1666666666666666,233.0,0,0,
27,15.0,6,0.39644444444444443,600.0,3.0,0.1,258.0,0,0,
28,8.0,7,0.4935555555555555,600.0,12.0,0.4,258.0,0,0,
29,10.0,7,0.4797222222222222,600.0,8.0,0.2666666666666666,332.0,0,0,
30,12.0,7,0.5023333333333333,600.0,10.0,0.3333333333333333,277.0,0,0,
31,15.0,7,0.40388888888888885,600.0,5.0,0.1666666666666666,268.0,0,0,
32,8.0,8,0.3752222222222222,600.0,7.0,0.2333333333333333,134.0,0,0,
33,10.0,8,0.3476666666666667,600.0,6.0,0.2,133.0,0,0,
34,12.0,8,0.4522777777777778,600.0,5.0,0.1666666666666666,393.0,0,0,
35,15.0,8,0.4552777777777777,600.0,8.0,0.2666666666666666,318.0,0,0,
36,8.0,9,0.44322222222222224,600.0,7.0,0.2333333333333333,271.0,0,0,
37,10.0,9,0.4299444444444444,600.0,8.0,0.2666666666666666,221.0,0,0,
38,12.0,9,0.45344444444444443,600.0,9.0,0.3,222.0,0,0,
39,15.0,9,0.4417222222222222,600.0,7.0,0.2333333333333333,248.0,0,0,
