RunId,cohere,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,0.15,0,0.4297777777777778,600.0,10.0,0.3333333333333333,111.0,0,0,
1,0.25,0,0.42494444444444446,600.0,10.0,0.3333333333333333,142.0,0,0,
2,0.35,0,0.45649999999999996,600.0,10.0,0.3333333333333333,230.0,0,0,
3,0.45,0,0.4676111111111111,600.0,10.0,0.3333333333333333,252.0,0,0,
4,0.6,0,0.48,600.0,11.0,0.3666666666666666,255.0,0,0,
5,0.15,1,0.4239444444444444,600.0,10.0,0.3333333333333333,120.0,0,0,
6,0.25,1,0.4382777777777777,600.0,10.0,0.3333333333333333,123.0,0,0,
7,0.35,1,0.43899999999999995,600.0,11.0,0.3666666666666666,122.0,0,0,
8,0.45,1,0.41188888888888886,600.0,10.0,0.3333333333333333,122.0,0,0,
9,0.6,1,0.43666666666666665,600.0,10.0,0.3333333333333333,122.0,0,0,
10,0.15,2,0.40938888888888886,600.0,10.0,0.3333333333333333,100.0,0,0,
11,0.25,2,0.41244444444444445,600.0,10.0,0.3333333333333333,101.0,0,0,
12,0.35,2,0.4101111111111111,600.0,10.0,0.3333333333333333,101.0,0,0,
13,0.45,2,0.41005555555555556,600.0,10.0,0.3333333333333333,101.0,0,0,
14,0.6,2,0.40944444444444444,600.0,10.0,0.3333333333333333,101.0,0,0,
15,0.15,3,0.4677222222222222,600.0,10.0,0.3333333333333333,227.0,0,0,
16,0.25,3,0.4722777777777777,600.0,11.0,0.3666666666666666,225.0,0,0,
17,0.35,3,0.4613333333333334,600.0,10.0,0.3333333333333333,226.0,0,0,
18,0.45,3,0.46122222222222226,600.0,10.0,0.3333333333333333,315.0,0,0,
19,0.6,3,0.4903333333333333,600.0,11.0,0.3666666666666666,321.0,0,0,
20,0.15,4,0.5333888888888888,600.0,10.0,0.3333333333333333,244.0,0,0,
21,0.25,4,0.5293888888888889,600.0,9.0,0.3,248.0,0,0,
22,0.35,4,0.5248333333333333,600.0,8.0,0.2666666666666666,248.0,0,0,
23,0.45,4,0.5153888888888888,600.0,8.0,0.2666666666666666,248.0,0,0,
24,0.6,4,0.5372222222222222,600.0,9.0,0.3,248.0,0,0,
25,0.15,5,0.4056111111111111,600.0,10.0,0.3333333333333333,112.0,0,0,
26,0.25,5,0.3978333333333333,600.0,10.0,0.3333333333333333,102.0,0,0,
27,0.35,5,0.3977777777777778,600.0,10.0,0.3333333333333333,118.0,0,0,
28,0.45,5,0.39594444444444443,600.0,10.0,0.3333333333333333,119.0,0,0,
29,0.6,5,0.4168888888888888,600.0,11.0,0.3666666666666666,120.0,0,0,
30,0.15,6,0.4953888888888888,600.0,11.0,0.3666666666666666,243.0,0,0,
31,0.25,6,0.48066666666666663,600.0,10.0,0.3333333333333333,222.0,0,0,
32,0.35,6,0.48688888888888887,600.0,10.0,0.3333333333333333,225.0,0,0,
33,0.45,6,0.48677777777777775,600.0,11.0,0.3666666666666666,194.0,0,0,
34,0.6,6,0.4770555555555555,600.0,10.0,0.3333333333333333,237.0,0,0,
35,0.15,7,0.46983333333333327,600.0,11.0,0.3666666666666666,206.0,0,0,
36,0.25,7,0.4478888888888889,600.0,10.0,0.3333333333333333,213.0,0,0,
37,0.35,7,0.4475,600.0,10.0,0.3333333333333333,203.0,0,0,
38,0.45,7,0.4452222222222222,600.0,10.0,0.3333333333333333,211.0,0,0,
39,0.6,7,0.4452222222222222,600.0,10.0,0.3333333333333333,211.0,0,0,
40,0.15,8,0.4535,600.0,10.0,0.3333333333333333,202.0,0,0,
41,0.25,8,0.48144444444444445,600.0,10.0,0.3333333333333333,339.0,0,0,
42,0.35,8,0.4746666666666667,600.0,11.0,0.3666666666666666,175.0,0,0,
43,0.45,8,0.4449444444444444,600.0,10.0,0.3333333333333333,204.0,0,0,
44,0.6,8,0.4387222222222222,600.0,10.0,0.3333333333333333,153.0,0,0,
45,0.15,9,0.4475,600.0,10.0,0.3333333333333333,139.0,0,0,
46,0.25,9,0.45311111111111113,600.0,10.0,0.3333333333333333,161.0,0,0,
47,0.35,9,0.4528888888888889,600.0,10.0,0.3333333333333333,160.0,0,0,
48,0.45,9,0.4472777777777778,600.0,10.0,0.3333333333333333,139.0,0,0,
49,0.6,9,0.4542222222222222,600.0,10.0,0.3333333333333333,180.0,0,0,
50,0.15,10,0.4759999999999999,600.0,10.0,0.3333333333333333,236.0,0,0,
51,0.25,10,0.4945,600.0,11.0,0.3666666666666666,205.0,0,0,
52,0.35,10,0.4877222222222222,600.0,10.0,0.3333333333333333,248.0,0,0,
53,0.45,10,0.5167777777777778,600.0,10.0,0.3333333333333333,533.0,0,0,
54,0.6,10,0.465,600.0,10.0,0.3333333333333333,217.0,0,0,
55,0.15,11,0.4037222222222222,600.0,10.0,0.3333333333333333,127.0,0,0,
56,0.25,11,0.39577777777777773,600.0,10.0,0.3333333333333333,132.0,0,0,
57,0.35,11,0.3987222222222222,600.0,10.0,0.3333333333333333,130.0,0,0,
58,0.45,11,0.39549999999999996,600.0,10.0,0.3333333333333333,130.0,0,0,
59,0.6,11,0.3956111111111111,600.0,10.0,0.3333333333333333,130.0,0,0,
60,0.15,12,0.43127777777777776,600.0,10.0,0.3333333333333333,190.0,0,0,
61,0.25,12,0.4481666666666666,600.0,10.0,0.3333333333333333,229.0,0,0,
62,0.35,12,0.43394444444444447,600.0,10.0,0.3333333333333333,214.0,0,0,
63,0.45,12,0.4347222222222222,600.0,10.0,0.3333333333333333,212.0,0,0,
64,0.6,12,0.4345,600.0,10.0,0.3333333333333333,215.0,0,0,
65,0.15,13,0.443,600.0,10.0,0.3333333333333333,154.0,0,0,
66,0.25,13,0.492,600.0,11.0,0.3666666666666666,298.0,0,0,
67,0.35,13,0.43133333333333335,600.0,9.0,0.3,169.0,0,0,
68,0.45,13,0.4772777777777778,600.0,11.0,0.3666666666666666,173.0,0,0,
69,0.6,13,0.4832222222222222,600.0,10.0,0.3333333333333333,339.0,0,0,
