cohere,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
0.15,0.0,0.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,,,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,1.0,1.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,14.92,4.626843067111393,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,2.0,2.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,14.4,4.746077593682233,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,3.0,3.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,13.79,4.909884896509255,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,4.0,4.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,13.26,5.0264351686906785,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,5.0,5.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,12.72,5.021328247957642,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,6.0,6.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,12.1,5.064233865696237,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,7.0,7.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,11.61,4.935738561908964,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,8.0,8.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.97,4.997888443021601,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,9.0,9.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.47,4.997888443021601,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,10.0,10.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.1,5.014121472542737,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,11.0,11.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,9.66,4.909730598052663,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,12.0,12.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,9.36,4.812693653456471,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,13.0,13.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,9.01,4.749258315300878,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,14.0,14.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,8.66,4.5731318976753075,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,15.0,15.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,8.33,4.548404093523331,0.0,0.0,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,16.0,16.0,100,29.97,0.17144660799776576,0.9990000000000001,0.005714886933258828,0.0015000000000000002,0.008572330399888264,0.33333333333333326,0.0,0.0009999999999999966,0.005714886933258822,0.03,0.17144660799776532,15.0,0.0,0.0,0.0,0.0,0.0,19.97,0.17144660799776576,7.94,4.583280991436664,0.03,0.17144660799776532,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,17.0,17.0,100,29.85,0.45781651302236737,0.995,0.015260550434078915,0.0075,0.022890825651118375,0.33333333333333326,0.0,0.003999999999999999,0.012783266278429394,0.13,0.39325114703769726,14.98,0.14070529413628946,0.01,0.1,0.01,0.09999999999999999,19.85,0.4793724854411021,7.67,4.555061564741563,0.15,0.47937248544110217,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,18.0,18.0,100,29.74,0.5966234959835189,0.9913333333333334,0.01988744986611731,0.013000000000000001,0.029831174799175946,0.33333333333333326,0.0,0.00366666666666666,0.01150318357339532,0.22,0.48367281703584925,14.96,0.1969463855669322,0.02,0.14070529413628968,0.02,0.14070529413628968,19.72,0.739642283182017,7.41,4.588292083381816,0.28,0.739642283182017,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,19.0,19.0,100,29.5,0.8703882797784889,0.9833333333333333,0.029012942659282972,0.025,0.043519413988924456,0.33333333333333326,0.0,0.008000000000000004,0.01649405565814158,0.38,0.6321360293449182,14.88,0.3561863092100633,0.09,0.2876234912646614,0.03,0.17144660799776532,19.48,0.9690149116447592,7.19,4.609377792757243,0.52,0.9690149116447586,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,20.0,20.0,100,29.2,1.154700538379252,0.9733333333333333,0.038490017945975064,0.04,0.05773502691896257,0.33333333333333326,0.0,0.010000000000000014,0.0186527124369893,0.52,0.7450849046595397,14.72,0.4940044575106627,0.14,0.40251733132897766,0.14,0.348735088019777,19.06,1.4342139648496306,6.97,4.524802579542933,0.94,1.4342139648496304,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,21.0,21.0,100,29.03,1.2906423113154077,0.9676666666666667,0.043021410377180234,0.04850000000000001,0.06453211556577036,0.33333333333333326,0.0,0.0056666666666666575,0.012584172268954544,0.63,0.7869516689688948,14.66,0.5898125023079691,0.15,0.38599209705627263,0.19,0.4191140246479062,18.81,1.6799170253679836,6.67,4.572767435612927,1.19,1.6799170253679827,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,22.0,22.0,100,28.67,1.4774739567685422,0.9556666666666667,0.04924913189228478,0.0665,0.07387369783842712,0.33333333333333326,0.0,0.01200000000000001,0.021978461040742067,0.85,0.9360890055238478,14.52,0.673900151462673,0.22,0.46231739501923746,0.26,0.4845074558223792,18.33,2.079505574492031,6.38,4.473897358652473,1.67,2.079505574492031,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,23.0,23.0,100,28.51,1.579508937881798,0.9503333333333334,0.05265029792939324,0.0745,0.07897544689408989,0.33333333333333326,0.0,0.00533333333333333,0.013990537125802642,0.91,0.9438262980061959,14.42,0.7410066862659938,0.21,0.43333333333333324,0.37,0.5972157622389639,18.02,2.335410330999976,6.4,4.168181542799854,1.98,2.335410330999975,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,24.0,24.0,100,28.27,1.6688167949027521,0.9423333333333334,0.055627226496758435,0.08650000000000001,0.08344083974513761,0.33333333333333326,0.0,0.008000000000000005,0.017803012393428918,1.04,1.0241527663824808,14.31,0.7613783354528613,0.3,0.5025189076296059,0.39,0.6012613005301035,17.74,2.39367854351769,6.29,4.093095936260759,2.26,2.3936785435176895,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,25.0,25.0,100,28.04,1.7633760091072315,0.9346666666666666,0.0587792003035744,0.098,0.08816880045536163,0.33333333333333326,0.0,0.007666666666666666,0.015609574315959959,1.14,1.0542841891611348,14.18,0.7962031109832425,0.45,0.6092717958449424,0.37,0.580055727033745,17.62,2.330214365653725,6.27,4.057304175399864,2.38,2.330214365653724,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,26.0,26.0,100,27.73,1.8632815626786472,0.9243333333333333,0.06210938542262155,0.11349999999999999,0.09316407813393236,0.33333333333333326,0.0,0.010333333333333328,0.018161885819505716,1.34,1.1121005695384192,14.07,0.8675403521602113,0.57,0.7142842712828137,0.36,0.5226196639347902,17.35,2.3586291173330567,6.39,4.057403757641733,2.65,2.3586291173330567,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,27.0,27.0,100,27.44,2.061283311165374,0.9146666666666667,0.06870944370551245,0.128,0.10306416555826872,0.33333333333333326,0.0,0.009666666666666665,0.019703184722665728,1.45,1.1838560518556094,13.89,0.9628975631767462,0.67,0.7792122414154677,0.44,0.6247423711443225,17.05,2.520121048880411,6.46,4.14733698177566,2.95,2.5201210488804104,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,28.0,28.0,100,27.22,2.1252688481149096,0.9073333333333333,0.07084229493716367,0.139,0.1062634424057455,0.33333333333333326,0.0,0.007333333333333335,0.014664217732492529,1.56,1.217050582848602,13.78,0.9804142600003948,0.88,0.8793937305515279,0.34,0.5724305789148303,16.82,2.618427317334131,6.54,4.135141344548447,3.18,2.6184273173341315,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,29.0,29.0,100,26.98,2.1601533802632233,0.8993333333333333,0.07200511267544074,0.151,0.10800766901316111,0.33333333333333326,0.0,0.007999999999999998,0.015071844406945032,1.69,1.2366049972371613,13.67,1.005590434129184,0.97,0.915136463853751,0.36,0.5949280577846315,16.62,2.5732893700122776,6.68,4.25898930486916,3.38,2.573289370012278,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,30.0,30.0,100,26.74,2.2139137610607467,0.8913333333333333,0.07379712536869155,0.163,0.11069568805303732,0.33333333333333326,0.0,0.008000000000000004,0.01716101865179419,1.8,1.2712834523274565,13.54,1.019209438137167,1.1,0.9481507786158797,0.36,0.5777000724747867,16.38,2.436175177393755,6.7,4.154831676810296,3.62,2.436175177393755,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,31.0,31.0,100,26.55,2.2490177429448637,0.885,0.07496725809816214,0.1725,0.11245088714724316,0.33333333333333326,0.0,0.006333333333333331,0.015494106623724387,1.9,1.243163121016122,13.45,1.085952544678141,1.19,1.0702119114238708,0.36,0.5599422769673258,16.26,2.414685708473687,6.78,4.20576804501685,3.74,2.414685708473687,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,32.0,32.0,100,26.39,2.215168096774981,0.8796666666666667,0.07383893655916603,0.1805,0.1107584048387491,0.33333333333333326,0.0,0.00533333333333333,0.013163906713248399,2.04,1.2465710545088848,13.43,1.084835787973777,1.19,1.0889249633273983,0.38,0.5993262210114948,16.11,2.3990528434060274,6.91,4.104924364760457,3.89,2.399052843406028,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
0.15,33.0,33.0,100,26.2,2.2247460415730487,0.8733333333333333,0.07415820138576827,0.19,0.11123730207865243,0.33333333333333326,0.0,0.006333333333333337,0.013142574813455422,2.07,1.2411708385653646,13.27,1.0811049342167849,1.43,1.1124184228404108,0.3,0.5412294272573257,16.1,2.245084417211085,6.87,4.172190278159868,3.9,2.245084417211086,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
