RunId,drone_type,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,quadcopter,0,0.3105833333333333,600.0,1.0,0.05,359.0,0,0,
1,fixed_wing,0,0.5859166666666666,600.0,9.0,0.45,,0,0,
2,quadcopter,1,0.22300000000000003,600.0,1.0,0.05,306.0,0,0,
3,fixed_wing,1,0.5079166666666667,600.0,9.0,0.45,,0,0,
4,quadcopter,2,0.29525,600.0,1.0,0.05,408.0,0,0,
5,fixed_wing,2,0.42833333333333334,600.0,10.0,0.5,,0,0,
6,quadcopter,3,0.29533333333333334,600.0,2.0,0.1,482.0,0,0,
7,fixed_wing,3,0.50175,600.0,6.0,0.3,,0,0,
8,quadcopter,4,0.2446666666666667,600.0,0.0,0.0,249.0,0,0,
9,fixed_wing,4,0.5824166666666667,600.0,8.0,0.4,,0,0,
10,quadcopter,5,0.3365,600.0,3.0,0.15,,0,0,
11,fixed_wing,5,0.6206666666666666,600.0,11.0,0.55,,0,0,
12,quadcopter,6,0.27666666666666667,600.0,2.0,0.1,448.0,0,0,
13,fixed_wing,6,0.5641666666666667,600.0,10.0,0.5,,0,0,
14,quadcopter,7,0.3394166666666667,600.0,3.0,0.15,,0,0,
15,fixed_wing,7,0.5353333333333333,600.0,9.0,0.45,,0,0,
16,quadcopter,8,0.29383333333333334,600.0,2.0,0.1,509.0,0,0,
17,fixed_wing,8,0.5064166666666667,600.0,8.0,0.4,,0,0,
18,quadcopter,9,0.28441666666666665,600.0,2.0,0.1,314.0,0,0,
19,fixed_wing,9,0.5705833333333333,600.0,10.0,0.5,,0,0,
20,quadcopter,10,0.32133333333333336,600.0,2.0,0.1,486.0,0,0,
21,fixed_wing,10,0.48675,600.0,7.0,0.35,,0,0,
22,quadcopter,11,0.29875,600.0,0.0,0.0,436.0,0,0,
23,fixed_wing,11,0.48291666666666666,600.0,7.0,0.35,,0,0,
24,quadcopter,12,0.20450000000000002,600.0,0.0,0.0,201.0,0,0,
25,fixed_wing,12,0.48850000000000005,600.0,10.0,0.5,,0,0,
26,quadcopter,13,0.27699999999999997,600.0,1.0,0.05,454.0,0,0,
27,fixed_wing,13,0.5266666666666666,600.0,8.0,0.4,335.0,0,0,
28,quadcopter,14,0.2585,600.0,1.0,0.05,272.0,0,0,
29,fixed_wing,14,0.5874166666666667,600.0,10.0,0.5,,0,0,
30,quadcopter,15,0.24908333333333332,600.0,1.0,0.05,232.0,0,0,
31,fixed_wing,15,0.5554166666666667,600.0,9.0,0.45,,0,0,
32,quadcopter,16,0.15108333333333335,600.0,0.0,0.0,180.0,0,0,
33,fixed_wing,16,0.5310833333333332,600.0,10.0,0.5,,0,0,
34,quadcopter,17,0.34349999999999997,600.0,3.0,0.15,,0,0,
35,fixed_wing,17,0.5180833333333333,600.0,12.0,0.6,,0,0,
36,quadcopter,18,0.31275000000000003,600.0,0.0,0.0,336.0,0,0,
37,fixed_wing,18,0.4930833333333334,600.0,5.0,0.25,,0,0,
38,quadcopter,19,0.3790833333333333,600.0,2.0,0.1,560.0,0,0,
39,fixed_wing,19,0.5080833333333333,600.0,10.0,0.5,,0,0,
40,quadcopter,20,0.23908333333333331,600.0,2.0,0.1,289.0,0,0,
41,fixed_wing,20,0.5219166666666666,600.0,10.0,0.5,,0,0,
42,quadcopter,21,0.3244166666666667,600.0,1.0,0.05,436.0,0,0,
43,fixed_wing,21,0.5685,600.0,10.0,0.5,,0,0,
44,quadcopter,22,0.19608333333333333,600.0,1.0,0.05,267.0,0,0,
45,fixed_wing,22,0.4876666666666667,600.0,12.0,0.6,343.0,0,0,
46,quadcopter,23,0.23483333333333334,600.0,1.0,0.05,306.0,0,0,
47,fixed_wing,23,0.4340833333333333,600.0,8.0,0.4,,0,0,
48,quadcopter,24,0.2940833333333333,600.0,1.0,0.05,456.0,0,0,
49,fixed_wing,24,0.5440833333333334,600.0,5.0,0.25,,0,0,
50,quadcopter,25,0.18691666666666668,600.0,0.0,0.0,351.0,0,0,
51,fixed_wing,25,0.5408333333333334,600.0,11.0,0.55,,0,0,
52,quadcopter,26,0.376,600.0,3.0,0.15,,0,0,
53,fixed_wing,26,0.5043333333333334,600.0,9.0,0.45,,0,0,
54,quadcopter,27,0.22241666666666665,600.0,1.0,0.05,204.0,0,0,
55,fixed_wing,27,0.507,600.0,12.0,0.6,,0,0,
56,quadcopter,28,0.29475,600.0,0.0,0.0,324.0,0,0,
57,fixed_wing,28,0.604,600.0,10.0,0.5,,0,0,
58,quadcopter,29,0.2535,600.0,1.0,0.05,337.0,0,0,
59,fixed_wing,29,0.5445833333333333,600.0,8.0,0.4,,0,0,
60,quadcopter,30,0.2790833333333333,600.0,2.0,0.1,419.0,0,0,
61,fixed_wing,30,0.5106666666666666,600.0,11.0,0.55,,0,0,
62,quadcopter,31,0.3071666666666667,600.0,2.0,0.1,404.0,0,0,
63,fixed_wing,31,0.5580833333333334,600.0,9.0,0.45,,0,0,
64,quadcopter,32,0.24908333333333332,600.0,2.0,0.1,281.0,0,0,
65,fixed_wing,32,0.5535,600.0,11.0,0.55,,0,0,
66,quadcopter,33,0.30324999999999996,600.0,2.0,0.1,579.0,0,0,
67,fixed_wing,33,0.5027499999999999,600.0,10.0,0.5,,0,0,
68,quadcopter,34,0.38316666666666666,600.0,3.0,0.15,,0,0,
69,fixed_wing,34,0.6119166666666667,600.0,10.0,0.5,,0,0,
70,quadcopter,35,0.345,600.0,3.0,0.15,,0,0,
71,fixed_wing,35,0.5898333333333333,600.0,10.0,0.5,,0,0,
72,quadcopter,36,0.22483333333333333,600.0,2.0,0.1,391.0,0,0,
73,fixed_wing,36,0.5929166666666666,600.0,9.0,0.45,,0,0,
74,quadcopter,37,0.23508333333333334,600.0,1.0,0.05,411.0,0,0,
75,fixed_wing,37,0.5020833333333333,600.0,10.0,0.5,,0,0,
76,quadcopter,38,0.24058333333333332,600.0,1.0,0.05,316.0,0,0,
77,fixed_wing,38,0.5347500000000001,600.0,13.0,0.65,,0,0,
78,quadcopter,39,0.22933333333333333,600.0,0.0,0.0,325.0,0,0,
79,fixed_wing,39,0.5138333333333334,600.0,7.0,0.35,322.0,0,0,
80,quadcopter,40,0.3109166666666667,600.0,2.0,0.1,586.0,0,0,
81,fixed_wing,40,0.5194166666666666,600.0,6.0,0.3,,0,0,
82,quadcopter,41,0.24908333333333332,600.0,0.0,0.0,255.0,0,0,
83,fixed_wing,41,0.526,600.0,9.0,0.45,,0,0,
84,quadcopter,42,0.3035,600.0,3.0,0.15,,0,0,
85,fixed_wing,42,0.5049166666666667,600.0,11.0,0.55,,0,0,
86,quadcopter,43,0.2529166666666667,600.0,0.0,0.0,255.0,0,0,
87,fixed_wing,43,0.5554166666666667,600.0,12.0,0.6,,0,0,
88,quadcopter,44,0.2321666666666667,600.0,1.0,0.05,250.0,0,0,
89,fixed_wing,44,0.5091666666666667,600.0,9.0,0.45,,0,0,
90,quadcopter,45,0.35233333333333333,600.0,2.0,0.1,531.0,0,0,
91,fixed_wing,45,0.503,600.0,11.0,0.55,,0,0,
92,quadcopter,46,0.3334166666666667,600.0,0.0,0.0,429.0,0,0,
93,fixed_wing,46,0.5050833333333333,600.0,8.0,0.4,,0,0,
94,quadcopter,47,0.26,600.0,2.0,0.1,295.0,0,0,
95,fixed_wing,47,0.39875,600.0,9.0,0.45,361.0,0,0,
96,quadcopter,48,0.32966666666666666,600.0,1.0,0.05,425.0,0,0,
97,fixed_wing,48,0.4845,600.0,6.0,0.3,,0,0,
98,quadcopter,49,0.2574166666666666,600.0,1.0,0.05,350.0,0,0,
99,fixed_wing,49,0.5514166666666667,600.0,8.0,0.4,,0,0,
100,quadcopter,50,0.18475,600.0,0.0,0.0,244.0,0,0,
101,fixed_wing,50,0.5895,600.0,9.0,0.45,,0,0,
102,quadcopter,51,0.31875,600.0,1.0,0.05,482.0,0,0,
103,fixed_wing,51,0.5295833333333333,600.0,12.0,0.6,,0,0,
104,quadcopter,52,0.27525,600.0,1.0,0.05,317.0,0,0,
105,fixed_wing,52,0.60625,600.0,13.0,0.65,,0,0,
106,quadcopter,53,0.28650000000000003,600.0,2.0,0.1,448.0,0,0,
107,fixed_wing,53,0.5710000000000001,600.0,13.0,0.65,,0,0,
108,quadcopter,54,0.29766666666666663,600.0,4.0,0.2,,0,0,
109,fixed_wing,54,0.52975,600.0,8.0,0.4,,0,0,
110,quadcopter,55,0.2669166666666667,600.0,1.0,0.05,498.0,0,0,
111,fixed_wing,55,0.59575,600.0,9.0,0.45,,0,0,
112,quadcopter,56,0.33199999999999996,600.0,3.0,0.15,,0,0,
113,fixed_wing,56,0.5702499999999999,600.0,12.0,0.6,,0,0,
114,quadcopter,57,0.22025,600.0,1.0,0.05,166.0,0,0,
115,fixed_wing,57,0.5064166666666667,600.0,7.0,0.35,,0,0,
116,quadcopter,58,0.16766666666666666,600.0,0.0,0.0,170.0,0,0,
117,fixed_wing,58,0.49125,600.0,7.0,0.35,,0,0,
118,quadcopter,59,0.19591666666666666,600.0,1.0,0.05,171.0,0,0,
119,fixed_wing,59,0.5231666666666667,600.0,8.0,0.4,,0,0,
120,quadcopter,60,0.3109166666666667,600.0,2.0,0.1,466.0,0,0,
121,fixed_wing,60,0.5555833333333333,600.0,11.0,0.55,,0,0,
