RunId,seed,event_index,event_step,event_time_s,event_types,next_event_step,coverage_threshold,threshold_reached,time_to_90_percent_nominal_service_after_event_s
0,0,1,600,600.0,change_priority_range,,0.9,True,217.0
1,1,1,600,600.0,change_priority_range,,0.9,True,139.0
2,2,1,600,600.0,change_priority_range,,0.9,True,33.0
3,3,1,600,600.0,change_priority_range,,0.9,True,158.0
4,4,1,600,600.0,change_priority_range,,0.9,True,53.0
5,5,1,600,600.0,change_priority_range,,0.9,True,346.0
6,6,1,600,600.0,change_priority_range,,0.9,True,168.0
7,7,1,600,600.0,change_priority_range,,0.9,True,381.0
8,8,1,600,600.0,change_priority_range,,0.9,True,78.0
9,9,1,600,600.0,change_priority_range,,0.9,True,104.0
10,10,1,600,600.0,change_priority_range,,0.9,True,377.0
11,11,1,600,600.0,change_priority_range,,0.9,True,205.0
12,12,1,600,600.0,change_priority_range,,0.9,True,221.0
13,13,1,600,600.0,change_priority_range,,0.9,True,367.0
14,14,1,600,600.0,change_priority_range,,0.9,False,
15,15,1,600,600.0,change_priority_range,,0.9,True,119.0
16,16,1,600,600.0,change_priority_range,,0.9,True,122.0
17,17,1,600,600.0,change_priority_range,,0.9,True,98.0
18,18,1,600,600.0,change_priority_range,,0.9,True,62.0
19,19,1,600,600.0,change_priority_range,,0.9,True,135.0
20,20,1,600,600.0,change_priority_range,,0.9,True,168.0
21,21,1,600,600.0,change_priority_range,,0.9,True,84.0
22,22,1,600,600.0,change_priority_range,,0.9,True,232.0
23,23,1,600,600.0,change_priority_range,,0.9,True,177.0
24,24,1,600,600.0,change_priority_range,,0.9,True,225.0
25,25,1,600,600.0,change_priority_range,,0.9,True,306.0
26,26,1,600,600.0,change_priority_range,,0.9,True,391.0
27,27,1,600,600.0,change_priority_range,,0.9,True,193.0
28,28,1,600,600.0,change_priority_range,,0.9,True,59.0
29,29,1,600,600.0,change_priority_range,,0.9,True,177.0
30,30,1,600,600.0,change_priority_range,,0.9,True,325.0
31,31,1,600,600.0,change_priority_range,,0.9,True,188.0
32,32,1,600,600.0,change_priority_range,,0.9,True,195.0
33,33,1,600,600.0,change_priority_range,,0.9,True,232.0
34,34,1,600,600.0,change_priority_range,,0.9,True,285.0
35,35,1,600,600.0,change_priority_range,,0.9,False,
36,36,1,600,600.0,change_priority_range,,0.9,True,125.0
37,37,1,600,600.0,change_priority_range,,0.9,True,115.0
38,38,1,600,600.0,change_priority_range,,0.9,True,155.0
39,39,1,600,600.0,change_priority_range,,0.9,True,74.0
40,40,1,600,600.0,change_priority_range,,0.9,True,325.0
41,41,1,600,600.0,change_priority_range,,0.9,True,40.0
42,42,1,600,600.0,change_priority_range,,0.9,True,61.0
43,43,1,600,600.0,change_priority_range,,0.9,True,55.0
44,44,1,600,600.0,change_priority_range,,0.9,True,165.0
45,45,1,600,600.0,change_priority_range,,0.9,True,255.0
46,46,1,600,600.0,change_priority_range,,0.9,True,192.0
47,47,1,600,600.0,change_priority_range,,0.9,True,285.0
48,48,1,600,600.0,change_priority_range,,0.9,True,69.0
49,49,1,600,600.0,change_priority_range,,0.9,True,124.0
50,50,1,600,600.0,change_priority_range,,0.9,True,62.0
51,51,1,600,600.0,change_priority_range,,0.9,True,175.0
52,52,1,600,600.0,change_priority_range,,0.9,True,207.0
53,53,1,600,600.0,change_priority_range,,0.9,True,231.0
54,54,1,600,600.0,change_priority_range,,0.9,True,124.0
55,55,1,600,600.0,change_priority_range,,0.9,True,145.0
56,56,1,600,600.0,change_priority_range,,0.9,True,118.0
57,57,1,600,600.0,change_priority_range,,0.9,True,329.0
58,58,1,600,600.0,change_priority_range,,0.9,True,66.0
59,59,1,600,600.0,change_priority_range,,0.9,True,169.0
60,60,1,600,600.0,change_priority_range,,0.9,True,222.0
61,61,1,600,600.0,change_priority_range,,0.9,True,376.0
62,62,1,600,600.0,change_priority_range,,0.9,True,133.0
63,63,1,600,600.0,change_priority_range,,0.9,True,348.0
64,64,1,600,600.0,change_priority_range,,0.9,True,122.0
65,65,1,600,600.0,change_priority_range,,0.9,True,181.0
66,66,1,600,600.0,change_priority_range,,0.9,True,125.0
67,67,1,600,600.0,change_priority_range,,0.9,True,112.0
68,68,1,600,600.0,change_priority_range,,0.9,True,79.0
69,69,1,600,600.0,change_priority_range,,0.9,True,65.0
70,70,1,600,600.0,change_priority_range,,0.9,True,76.0
71,71,1,600,600.0,change_priority_range,,0.9,True,98.0
72,72,1,600,600.0,change_priority_range,,0.9,True,162.0
73,73,1,600,600.0,change_priority_range,,0.9,True,150.0
74,74,1,600,600.0,change_priority_range,,0.9,True,351.0
75,75,1,600,600.0,change_priority_range,,0.9,True,126.0
76,76,1,600,600.0,change_priority_range,,0.9,True,96.0
77,77,1,600,600.0,change_priority_range,,0.9,True,157.0
78,78,1,600,600.0,change_priority_range,,0.9,True,44.0
79,79,1,600,600.0,change_priority_range,,0.9,True,181.0
80,80,1,600,600.0,change_priority_range,,0.9,True,126.0
81,81,1,600,600.0,change_priority_range,,0.9,True,194.0
82,82,1,600,600.0,change_priority_range,,0.9,True,233.0
83,83,1,600,600.0,change_priority_range,,0.9,True,305.0
84,84,1,600,600.0,change_priority_range,,0.9,True,181.0
85,85,1,600,600.0,change_priority_range,,0.9,True,100.0
86,86,1,600,600.0,change_priority_range,,0.9,True,63.0
87,87,1,600,600.0,change_priority_range,,0.9,True,275.0
88,88,1,600,600.0,change_priority_range,,0.9,True,136.0
89,89,1,600,600.0,change_priority_range,,0.9,True,166.0
90,90,1,600,600.0,change_priority_range,,0.9,True,308.0
91,91,1,600,600.0,change_priority_range,,0.9,True,86.0
92,92,1,600,600.0,change_priority_range,,0.9,True,43.0
93,93,1,600,600.0,change_priority_range,,0.9,True,379.0
94,94,1,600,600.0,change_priority_range,,0.9,True,192.0
95,95,1,600,600.0,change_priority_range,,0.9,True,306.0
96,96,1,600,600.0,change_priority_range,,0.9,True,134.0
97,97,1,600,600.0,change_priority_range,,0.9,True,56.0
98,98,1,600,600.0,change_priority_range,,0.9,True,28.0
99,99,1,600,600.0,change_priority_range,,0.9,True,157.0
