RunId,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,0,0.143125,1200.0,1.0,0.05,188.0,1,1,217.0
1,1,0.09170833333333334,1200.0,0.0,0.0,176.0,1,1,139.0
2,2,0.108125,1200.0,0.0,0.0,198.0,1,1,33.0
3,3,0.13470833333333335,1200.0,0.0,0.0,234.0,1,1,158.0
4,4,0.12375,1200.0,0.0,0.0,126.0,1,1,53.0
5,5,0.1575,1200.0,2.0,0.1,198.0,1,1,346.0
6,6,0.13179166666666667,1200.0,1.0,0.05,180.0,1,1,168.0
7,7,0.14945833333333333,1200.0,1.0,0.05,150.0,1,1,381.0
8,8,0.09029166666666667,1200.0,0.0,0.0,160.0,1,1,78.0
9,9,0.09604166666666666,1200.0,0.0,0.0,156.0,1,1,104.0
10,10,0.18604166666666666,1200.0,2.0,0.1,198.0,1,1,377.0
11,11,0.14425,1200.0,1.0,0.05,262.0,1,1,205.0
12,12,0.12266666666666666,1200.0,0.0,0.0,132.0,1,1,221.0
13,13,0.1574583333333333,1200.0,1.0,0.05,183.0,1,1,367.0
14,14,0.18941666666666668,1200.0,3.0,0.15,137.0,1,0,
15,15,0.10575000000000001,1200.0,0.0,0.0,152.0,1,1,119.0
16,16,0.13295833333333335,1200.0,0.0,0.0,172.0,1,1,122.0
17,17,0.16070833333333334,1200.0,1.0,0.05,282.0,1,1,98.0
18,18,0.168125,1200.0,1.0,0.05,246.0,1,1,62.0
19,19,0.12837500000000002,1200.0,1.0,0.05,150.0,1,1,135.0
20,20,0.096125,1200.0,0.0,0.0,134.0,1,1,168.0
21,21,0.15225,1200.0,0.0,0.0,209.0,1,1,84.0
22,22,0.13866666666666666,1200.0,1.0,0.05,198.0,1,1,232.0
23,23,0.13216666666666665,1200.0,1.0,0.05,154.0,1,1,177.0
24,24,0.13229166666666667,1200.0,0.0,0.0,134.0,1,1,225.0
25,25,0.10854166666666666,1200.0,0.0,0.0,143.0,1,1,306.0
26,26,0.153875,1200.0,2.0,0.1,185.0,1,1,391.0
27,27,0.12766666666666665,1200.0,1.0,0.05,172.0,1,1,193.0
28,28,0.13099999999999998,1200.0,0.0,0.0,216.0,1,1,59.0
29,29,0.1345,1200.0,1.0,0.05,138.0,1,1,177.0
30,30,0.141,1200.0,1.0,0.05,142.0,1,1,325.0
31,31,0.18391666666666667,1200.0,2.0,0.1,235.0,1,1,188.0
32,32,0.10275,1200.0,0.0,0.0,121.0,1,1,195.0
33,33,0.14041666666666666,1200.0,1.0,0.05,170.0,1,1,232.0
34,34,0.19204166666666667,1200.0,2.0,0.1,279.0,1,1,285.0
35,35,0.18783333333333332,1200.0,3.0,0.15,147.0,1,0,
36,36,0.10266666666666667,1200.0,1.0,0.05,119.0,1,1,125.0
37,37,0.097,1200.0,0.0,0.0,125.0,1,1,115.0
38,38,0.10370833333333333,1200.0,0.0,0.0,198.0,1,1,155.0
39,39,0.09841666666666667,1200.0,0.0,0.0,207.0,1,1,74.0
40,40,0.17379166666666668,1200.0,1.0,0.05,172.0,1,1,325.0
41,41,0.11491666666666667,1200.0,0.0,0.0,163.0,1,1,40.0
42,42,0.14208333333333334,1200.0,1.0,0.05,214.0,1,1,61.0
43,43,0.109875,1200.0,0.0,0.0,226.0,1,1,55.0
44,44,0.126125,1200.0,1.0,0.05,169.0,1,1,165.0
45,45,0.19658333333333333,1200.0,0.0,0.0,336.0,1,1,255.0
46,46,0.171625,1200.0,1.0,0.05,240.0,1,1,192.0
47,47,0.147,1200.0,0.0,0.0,174.0,1,1,285.0
48,48,0.12104166666666667,1200.0,0.0,0.0,175.0,1,1,69.0
49,49,0.105875,1200.0,0.0,0.0,154.0,1,1,124.0
50,50,0.09058333333333334,1200.0,0.0,0.0,134.0,1,1,62.0
51,51,0.12570833333333334,1200.0,0.0,0.0,168.0,1,1,175.0
52,52,0.14454166666666668,1200.0,0.0,0.0,232.0,1,1,207.0
53,53,0.13304166666666667,1200.0,0.0,0.0,185.0,1,1,231.0
54,54,0.14145833333333332,1200.0,2.0,0.1,103.0,1,1,124.0
55,55,0.12633333333333333,1200.0,1.0,0.05,146.0,1,1,145.0
56,56,0.11391666666666665,1200.0,0.0,0.0,180.0,1,1,118.0
