Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
0.0,0.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
1.0,1.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.65,1.0576799462440747,0.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
2.0,2.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.47,1.266945742781243,0.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
3.0,3.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.27,1.549551906555929,0.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
4.0,4.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.06,1.7397317800933187,0.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
5.0,5.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,18.72,2.0747641949499855,0.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
6.0,6.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,18.47,2.2131608183954476,0.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
7.0,7.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,18.26,2.3639549124894126,0.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
8.0,8.0,100,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,17.93,2.6977543972494566,0.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
9.0,9.0,100,9.97,0.17144660799776498,0.997,0.017144660799776536,0.0030000000000000005,0.017144660799776532,0.0,0.0,0.002999999999999999,0.017144660799776525,0.03,0.17144660799776532,9.97,0.17144660799776498,0.03,0.17144660799776532,0.0,0.0,19.97,0.171446607997766,17.74,2.7546837982394337,0.03,0.17144660799776532,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
