RunId,seed,event_index,event_step,event_time_s,event_types,next_event_step,coverage_threshold,threshold_reached,time_to_90_percent_nominal_service_after_event_s
0,0,1,600,600.0,reconfigure,,0.9,True,231.0
1,1,1,600,600.0,reconfigure,,0.9,True,213.0
2,2,1,600,600.0,reconfigure,,0.9,True,500.0
3,3,1,600,600.0,reconfigure,,0.9,True,478.0
4,4,1,600,600.0,reconfigure,,0.9,True,297.0
5,5,1,600,600.0,reconfigure,,0.9,True,104.0
6,6,1,600,600.0,reconfigure,,0.9,True,394.0
7,7,1,600,600.0,reconfigure,,0.9,True,126.0
8,8,1,600,600.0,reconfigure,,0.9,True,320.0
9,9,1,600,600.0,reconfigure,,0.9,True,309.0
10,10,1,600,600.0,reconfigure,,0.9,True,220.0
11,11,1,600,600.0,reconfigure,,0.9,False,
12,12,1,600,600.0,reconfigure,,0.9,True,352.0
13,13,1,600,600.0,reconfigure,,0.9,True,429.0
14,14,1,600,600.0,reconfigure,,0.9,True,265.0
15,15,1,600,600.0,reconfigure,,0.9,True,587.0
16,16,1,600,600.0,reconfigure,,0.9,True,280.0
17,17,1,600,600.0,reconfigure,,0.9,True,162.0
18,18,1,600,600.0,reconfigure,,0.9,True,245.0
19,19,1,600,600.0,reconfigure,,0.9,True,104.0
20,20,1,600,600.0,reconfigure,,0.9,True,262.0
21,21,1,600,600.0,reconfigure,,0.9,True,177.0
22,22,1,600,600.0,reconfigure,,0.9,True,196.0
23,23,1,600,600.0,reconfigure,,0.9,True,91.0
24,24,1,600,600.0,reconfigure,,0.9,True,386.0
25,25,1,600,600.0,reconfigure,,0.9,True,243.0
26,26,1,600,600.0,reconfigure,,0.9,True,145.0
27,27,1,600,600.0,reconfigure,,0.9,True,193.0
28,28,1,600,600.0,reconfigure,,0.9,True,510.0
29,29,1,600,600.0,reconfigure,,0.9,True,297.0
30,30,1,600,600.0,reconfigure,,0.9,True,130.0
31,31,1,600,600.0,reconfigure,,0.9,True,292.0
32,32,1,600,600.0,reconfigure,,0.9,True,112.0
33,33,1,600,600.0,reconfigure,,0.9,True,237.0
34,34,1,600,600.0,reconfigure,,0.9,True,535.0
35,35,1,600,600.0,reconfigure,,0.9,True,126.0
36,36,1,600,600.0,reconfigure,,0.9,True,562.0
37,37,1,600,600.0,reconfigure,,0.9,True,182.0
38,38,1,600,600.0,reconfigure,,0.9,True,514.0
39,39,1,600,600.0,reconfigure,,0.9,True,215.0
40,40,1,600,600.0,reconfigure,,0.9,True,256.0
41,41,1,600,600.0,reconfigure,,0.9,True,216.0
42,42,1,600,600.0,reconfigure,,0.9,True,272.0
43,43,1,600,600.0,reconfigure,,0.9,True,248.0
44,44,1,600,600.0,reconfigure,,0.9,True,457.0
45,45,1,600,600.0,reconfigure,,0.9,True,225.0
46,46,1,600,600.0,reconfigure,,0.9,True,395.0
47,47,1,600,600.0,reconfigure,,0.9,True,92.0
48,48,1,600,600.0,reconfigure,,0.9,True,363.0
49,49,1,600,600.0,reconfigure,,0.9,True,221.0
50,50,1,600,600.0,reconfigure,,0.9,True,201.0
51,51,1,600,600.0,reconfigure,,0.9,True,354.0
52,52,1,600,600.0,reconfigure,,0.9,True,361.0
53,53,1,600,600.0,reconfigure,,0.9,True,313.0
54,54,1,600,600.0,reconfigure,,0.9,True,218.0
55,55,1,600,600.0,reconfigure,,0.9,True,156.0
56,56,1,600,600.0,reconfigure,,0.9,True,314.0
57,57,1,600,600.0,reconfigure,,0.9,True,197.0
58,58,1,600,600.0,reconfigure,,0.9,True,136.0
59,59,1,600,600.0,reconfigure,,0.9,True,522.0
60,60,1,600,600.0,reconfigure,,0.9,True,267.0
61,61,1,600,600.0,reconfigure,,0.9,True,455.0
62,62,1,600,600.0,reconfigure,,0.9,False,
63,63,1,600,600.0,reconfigure,,0.9,True,234.0
64,64,1,600,600.0,reconfigure,,0.9,True,258.0
