RunId,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,0,0.23425,1200.0,1.0,0.05,359.0,1,1,231.0
1,1,0.20225,1200.0,2.0,0.1,306.0,1,1,213.0
2,2,0.251625,1200.0,1.0,0.05,408.0,1,1,500.0
3,3,0.2582083333333334,1200.0,2.0,0.1,482.0,1,1,478.0
4,4,0.21420833333333333,1200.0,1.0,0.05,249.0,1,1,297.0
5,5,0.23195833333333335,1200.0,1.0,0.05,704.0,1,1,104.0
6,6,0.2334166666666667,1200.0,1.0,0.05,448.0,1,1,394.0
7,7,0.234375,1200.0,1.0,0.05,726.0,1,1,126.0
8,8,0.24012499999999998,1200.0,1.0,0.05,509.0,1,1,320.0
9,9,0.23770833333333333,1200.0,0.0,0.0,314.0,1,1,309.0
10,10,0.244375,1200.0,1.0,0.05,486.0,1,1,220.0
11,11,0.26079166666666664,1200.0,3.0,0.15,436.0,1,0,
12,12,0.206625,1200.0,2.0,0.1,201.0,1,1,352.0
13,13,0.24475,1200.0,2.0,0.1,454.0,1,1,429.0
14,14,0.22233333333333336,1200.0,1.0,0.05,272.0,1,1,265.0
15,15,0.22141666666666665,1200.0,2.0,0.1,232.0,1,1,587.0
16,16,0.17208333333333334,1200.0,1.0,0.05,180.0,1,1,280.0
17,17,0.25116666666666665,1200.0,1.0,0.05,762.0,1,1,162.0
18,18,0.23954166666666665,1200.0,1.0,0.05,336.0,1,1,245.0
19,19,0.2612083333333333,1200.0,1.0,0.05,560.0,1,1,104.0
20,20,0.21104166666666666,1200.0,1.0,0.05,289.0,1,1,262.0
21,21,0.22941666666666669,1200.0,1.0,0.05,436.0,1,1,177.0
22,22,0.18316666666666667,1200.0,2.0,0.1,267.0,1,1,196.0
23,23,0.19395833333333334,1200.0,1.0,0.05,306.0,1,1,91.0
24,24,0.26587500000000003,1200.0,2.0,0.1,456.0,1,1,386.0
25,25,0.16691666666666669,1200.0,0.0,0.0,351.0,1,1,243.0
26,26,0.23925000000000002,1200.0,0.0,0.0,745.0,1,1,145.0
27,27,0.174875,1200.0,0.0,0.0,204.0,1,1,193.0
28,28,0.2595,1200.0,2.0,0.1,324.0,1,1,510.0
29,29,0.20391666666666666,1200.0,1.0,0.05,337.0,1,1,297.0
30,30,0.16995833333333332,1200.0,0.0,0.0,419.0,1,1,130.0
31,31,0.233,1200.0,0.0,0.0,404.0,1,1,292.0
32,32,0.19916666666666666,1200.0,2.0,0.1,281.0,1,1,112.0
33,33,0.25112500000000004,1200.0,2.0,0.1,579.0,1,1,237.0
34,34,0.334375,1200.0,2.0,0.1,1135.0,1,1,535.0
35,35,0.258375,1200.0,1.0,0.05,726.0,1,1,126.0
36,36,0.20845833333333333,1200.0,2.0,0.1,391.0,1,1,562.0
37,37,0.18383333333333332,1200.0,1.0,0.05,411.0,1,1,182.0
38,38,0.22720833333333332,1200.0,1.0,0.05,316.0,1,1,514.0
39,39,0.18391666666666664,1200.0,0.0,0.0,325.0,1,1,215.0
40,40,0.24625,1200.0,0.0,0.0,586.0,1,1,256.0
41,41,0.2184583333333333,1200.0,2.0,0.1,255.0,1,1,216.0
42,42,0.254125,1200.0,1.0,0.05,872.0,1,1,272.0
43,43,0.21170833333333333,1200.0,1.0,0.05,255.0,1,1,248.0
44,44,0.23195833333333335,1200.0,2.0,0.1,250.0,1,1,457.0
45,45,0.26241666666666663,1200.0,1.0,0.05,531.0,1,1,225.0
46,46,0.28325,1200.0,1.0,0.05,429.0,1,1,395.0
47,47,0.18908333333333333,1200.0,1.0,0.05,295.0,1,1,92.0
48,48,0.2630416666666667,1200.0,2.0,0.1,425.0,1,1,363.0
49,49,0.20833333333333334,1200.0,1.0,0.05,350.0,1,1,221.0
50,50,0.16354166666666667,1200.0,0.0,0.0,244.0,1,1,201.0
51,51,0.23179166666666665,1200.0,1.0,0.05,482.0,1,1,354.0
52,52,0.24741666666666665,1200.0,1.0,0.05,317.0,1,1,361.0
53,53,0.23283333333333336,1200.0,0.0,0.0,448.0,1,1,313.0
54,54,0.233375,1200.0,1.0,0.05,818.0,1,1,218.0
55,55,0.203625,1200.0,1.0,0.05,498.0,1,1,156.0
56,56,0.25545833333333334,1200.0,1.0,0.05,914.0,1,1,314.0
57,57,0.17654166666666665,1200.0,1.0,0.05,166.0,1,1,197.0
58,58,0.14558333333333331,1200.0,1.0,0.05,170.0,1,1,136.0
59,59,0.21699999999999997,1200.0,2.0,0.1,171.0,1,1,522.0
60,60,0.22699999999999998,1200.0,0.0,0.0,466.0,1,1,267.0
61,61,0.28300000000000003,1200.0,1.0,0.05,1055.0,1,1,455.0
62,62,0.22887499999999997,1200.0,3.0,0.15,298.0,1,0,
63,63,0.17758333333333332,1200.0,1.0,0.05,243.0,1,1,234.0
64,64,0.2559166666666667,1200.0,1.0,0.05,338.0,1,1,258.0
65,65,0.2512083333333333,1200.0,1.0,0.05,458.0,1,1,209.0
66,66,0.207625,1200.0,1.0,0.05,436.0,1,1,238.0
67,67,0.20075,1200.0,1.0,0.05,236.0,1,1,148.0
68,68,0.22987500000000002,1200.0,1.0,0.05,484.0,1,1,212.0
69,69,0.26858333333333334,1200.0,1.0,0.05,447.0,1,1,397.0
70,70,0.19108333333333336,1200.0,1.0,0.05,293.0,1,1,271.0
71,71,0.27129166666666665,1200.0,2.0,0.1,568.0,1,1,376.0
72,72,0.2534166666666667,1200.0,0.0,0.0,840.0,1,1,240.0
73,73,0.23224999999999998,1200.0,1.0,0.05,862.0,1,1,262.0
74,74,0.26375,1200.0,2.0,0.1,522.0,1,1,549.0
75,75,0.22875,1200.0,0.0,0.0,854.0,1,1,254.0
76,76,0.24208333333333334,1200.0,0.0,0.0,341.0,1,1,348.0
77,77,0.21404166666666669,1200.0,1.0,0.05,294.0,1,1,203.0
78,78,0.18737499999999999,1200.0,0.0,0.0,201.0,1,1,298.0
79,79,0.2577916666666667,1200.0,1.0,0.05,320.0,1,1,511.0
80,80,0.215,1200.0,1.0,0.05,365.0,1,1,276.0
81,81,0.21241666666666667,1200.0,0.0,0.0,325.0,1,1,259.0
82,82,0.27679166666666666,1200.0,1.0,0.05,378.0,1,1,511.0
83,83,0.27729166666666666,1200.0,1.0,0.05,578.0,1,1,291.0
84,84,0.22270833333333334,1200.0,1.0,0.05,320.0,1,1,312.0
