RunId,seed,event_index,event_step,event_time_s,event_types,next_event_step,coverage_threshold,threshold_reached,time_to_90_percent_nominal_service_after_event_s
0,0,1,600,600.0,reconfigure,,0.9,True,40.0
1,1,1,600,600.0,reconfigure,,0.9,True,223.0
2,2,1,600,600.0,reconfigure,,0.9,True,51.0
3,3,1,600,600.0,reconfigure,,0.9,True,184.0
4,4,1,600,600.0,reconfigure,,0.9,True,113.0
5,5,1,600,600.0,reconfigure,,0.9,True,46.0
6,6,1,600,600.0,reconfigure,,0.9,True,60.0
7,7,1,600,600.0,reconfigure,,0.9,True,171.0
8,8,1,600,600.0,reconfigure,,0.9,True,78.0
9,9,1,600,600.0,reconfigure,,0.9,True,135.0
10,10,1,600,600.0,reconfigure,,0.9,True,163.0
11,11,1,600,600.0,reconfigure,,0.9,True,71.0
12,12,1,600,600.0,reconfigure,,0.9,True,159.0
13,13,1,600,600.0,reconfigure,,0.9,True,100.0
14,14,1,600,600.0,reconfigure,,0.9,True,353.0
15,15,1,600,600.0,reconfigure,,0.9,True,250.0
16,16,1,600,600.0,reconfigure,,0.9,True,162.0
17,17,1,600,600.0,reconfigure,,0.9,True,179.0
18,18,1,600,600.0,reconfigure,,0.9,True,53.0
19,19,1,600,600.0,reconfigure,,0.9,True,228.0
20,20,1,600,600.0,reconfigure,,0.9,True,78.0
21,21,1,600,600.0,reconfigure,,0.9,True,85.0
22,22,1,600,600.0,reconfigure,,0.9,True,185.0
23,23,1,600,600.0,reconfigure,,0.9,True,102.0
24,24,1,600,600.0,reconfigure,,0.9,True,141.0
25,25,1,600,600.0,reconfigure,,0.9,True,109.0
26,26,1,600,600.0,reconfigure,,0.9,True,485.0
27,27,1,600,600.0,reconfigure,,0.9,True,166.0
28,28,1,600,600.0,reconfigure,,0.9,True,163.0
29,29,1,600,600.0,reconfigure,,0.9,True,85.0
30,30,1,600,600.0,reconfigure,,0.9,True,132.0
31,31,1,600,600.0,reconfigure,,0.9,True,156.0
32,32,1,600,600.0,reconfigure,,0.9,True,180.0
33,33,1,600,600.0,reconfigure,,0.9,True,120.0
34,34,1,600,600.0,reconfigure,,0.9,True,286.0
35,35,1,600,600.0,reconfigure,,0.9,True,500.0
36,36,1,600,600.0,reconfigure,,0.9,True,42.0
37,37,1,600,600.0,reconfigure,,0.9,True,228.0
38,38,1,600,600.0,reconfigure,,0.9,True,102.0
39,39,1,600,600.0,reconfigure,,0.9,True,172.0
40,40,1,600,600.0,reconfigure,,0.9,True,181.0
41,41,1,600,600.0,reconfigure,,0.9,True,265.0
42,42,1,600,600.0,reconfigure,,0.9,True,134.0
43,43,1,600,600.0,reconfigure,,0.9,True,143.0
44,44,1,600,600.0,reconfigure,,0.9,True,141.0
45,45,1,600,600.0,reconfigure,,0.9,True,72.0
46,46,1,600,600.0,reconfigure,,0.9,True,103.0
47,47,1,600,600.0,reconfigure,,0.9,True,77.0
48,48,1,600,600.0,reconfigure,,0.9,True,165.0
49,49,1,600,600.0,reconfigure,,0.9,True,98.0
50,50,1,600,600.0,reconfigure,,0.9,True,172.0
51,51,1,600,600.0,reconfigure,,0.9,True,100.0
52,52,1,600,600.0,reconfigure,,0.9,True,72.0
53,53,1,600,600.0,reconfigure,,0.9,True,211.0
54,54,1,600,600.0,reconfigure,,0.9,True,83.0
55,55,1,600,600.0,reconfigure,,0.9,True,322.0
56,56,1,600,600.0,reconfigure,,0.9,True,123.0
57,57,1,600,600.0,reconfigure,,0.9,True,211.0
58,58,1,600,600.0,reconfigure,,0.9,True,118.0
59,59,1,600,600.0,reconfigure,,0.9,True,112.0
60,60,1,600,600.0,reconfigure,,0.9,True,226.0
61,61,1,600,600.0,reconfigure,,0.9,True,83.0
62,62,1,600,600.0,reconfigure,,0.9,True,256.0
63,63,1,600,600.0,reconfigure,,0.9,True,116.0
64,64,1,600,600.0,reconfigure,,0.9,True,105.0
65,65,1,600,600.0,reconfigure,,0.9,True,101.0
66,66,1,600,600.0,reconfigure,,0.9,True,65.0
67,67,1,600,600.0,reconfigure,,0.9,True,243.0
68,68,1,600,600.0,reconfigure,,0.9,True,155.0
69,69,1,600,600.0,reconfigure,,0.9,True,143.0
70,70,1,600,600.0,reconfigure,,0.9,True,115.0
71,71,1,600,600.0,reconfigure,,0.9,True,209.0
72,72,1,600,600.0,reconfigure,,0.9,True,33.0
73,73,1,600,600.0,reconfigure,,0.9,True,121.0
74,74,1,600,600.0,reconfigure,,0.9,True,152.0
75,75,1,600,600.0,reconfigure,,0.9,True,128.0
76,76,1,600,600.0,reconfigure,,0.9,True,421.0
77,77,1,600,600.0,reconfigure,,0.9,True,99.0
78,78,1,600,600.0,reconfigure,,0.9,True,185.0
79,79,1,600,600.0,reconfigure,,0.9,True,200.0
80,80,1,600,600.0,reconfigure,,0.9,True,52.0
81,81,1,600,600.0,reconfigure,,0.9,True,448.0
82,82,1,600,600.0,reconfigure,,0.9,True,139.0
83,83,1,600,600.0,reconfigure,,0.9,True,300.0
84,84,1,600,600.0,reconfigure,,0.9,True,105.0
85,85,1,600,600.0,reconfigure,,0.9,True,216.0
86,86,1,600,600.0,reconfigure,,0.9,True,213.0
87,87,1,600,600.0,reconfigure,,0.9,True,106.0
88,88,1,600,600.0,reconfigure,,0.9,True,164.0
89,89,1,600,600.0,reconfigure,,0.9,True,163.0
90,90,1,600,600.0,reconfigure,,0.9,True,139.0
91,91,1,600,600.0,reconfigure,,0.9,True,148.0
92,92,1,600,600.0,reconfigure,,0.9,True,78.0
93,93,1,600,600.0,reconfigure,,0.9,True,154.0
94,94,1,600,600.0,reconfigure,,0.9,True,89.0
95,95,1,600,600.0,reconfigure,,0.9,True,321.0
96,96,1,600,600.0,reconfigure,,0.9,True,138.0
97,97,1,600,600.0,reconfigure,,0.9,True,165.0
98,98,1,600,600.0,reconfigure,,0.9,True,29.0
99,99,1,600,600.0,reconfigure,,0.9,True,179.0
