RunId,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,0,0.19391666666666668,1200.0,0.0,0.0,359.0,1,1,75.0
1,1,0.13304166666666667,1200.0,0.0,0.0,306.0,1,1,131.0
2,2,0.19474999999999998,1200.0,0.0,0.0,408.0,1,1,206.0
3,3,0.20195833333333332,1200.0,1.0,0.05,482.0,1,1,189.0
4,4,0.18820833333333334,1200.0,1.0,0.05,249.0,1,1,475.0
5,5,0.250125,1200.0,2.0,0.1,935.0,1,1,335.0
6,6,0.20291666666666666,1200.0,0.0,0.0,448.0,1,1,188.0
7,7,0.22129166666666666,1200.0,1.0,0.05,809.0,1,1,209.0
8,8,0.19729166666666667,1200.0,1.0,0.05,509.0,1,1,195.0
9,9,0.18716666666666668,1200.0,1.0,0.05,314.0,1,1,182.0
10,10,0.25429166666666664,1200.0,3.0,0.15,486.0,1,0,
11,11,0.18316666666666667,1200.0,0.0,0.0,436.0,1,1,36.0
12,12,0.143625,1200.0,1.0,0.05,201.0,1,1,149.0
13,13,0.192875,1200.0,2.0,0.1,454.0,1,1,67.0
14,14,0.18079166666666668,1200.0,1.0,0.05,272.0,1,1,196.0
15,15,0.17858333333333334,1200.0,1.0,0.05,232.0,1,1,98.0
16,16,0.10920833333333334,1200.0,0.0,0.0,180.0,1,1,195.0
17,17,0.22199999999999998,1200.0,0.0,0.0,790.0,1,1,190.0
18,18,0.18479166666666666,1200.0,0.0,0.0,336.0,1,1,64.0
19,19,0.24866666666666665,1200.0,0.0,0.0,560.0,1,1,255.0
20,20,0.15945833333333334,1200.0,0.0,0.0,289.0,1,1,121.0
21,21,0.205375,1200.0,1.0,0.05,436.0,1,1,147.0
22,22,0.15729166666666666,1200.0,1.0,0.05,267.0,1,1,234.0
23,23,0.13325,1200.0,0.0,0.0,306.0,1,1,35.0
24,24,0.19608333333333333,1200.0,0.0,0.0,456.0,1,1,61.0
25,25,0.150625,1200.0,0.0,0.0,351.0,1,1,270.0
26,26,0.22591666666666668,1200.0,0.0,0.0,749.0,1,1,149.0
27,27,0.18620833333333334,1200.0,2.0,0.1,204.0,1,1,405.0
28,28,0.18420833333333334,1200.0,1.0,0.05,324.0,1,1,91.0
29,29,0.18891666666666665,1200.0,0.0,0.0,337.0,1,1,306.0
30,30,0.22449999999999998,1200.0,0.0,0.0,419.0,1,1,470.0
31,31,0.19262500000000002,1200.0,1.0,0.05,404.0,1,1,83.0
32,32,0.175375,1200.0,0.0,0.0,281.0,1,1,125.0
33,33,0.23633333333333334,1200.0,1.0,0.05,579.0,1,1,479.0
34,34,0.2684583333333333,1200.0,1.0,0.05,856.0,1,1,256.0
35,35,0.21633333333333335,1200.0,0.0,0.0,733.0,1,1,133.0
36,36,0.19012500000000002,1200.0,2.0,0.1,391.0,1,1,316.0
37,37,0.17620833333333333,1200.0,0.0,0.0,411.0,1,1,277.0
38,38,0.15637500000000001,1200.0,0.0,0.0,316.0,1,1,158.0
39,39,0.122625,1200.0,0.0,0.0,325.0,1,1,49.0
40,40,0.20691666666666667,1200.0,1.0,0.05,586.0,1,1,234.0
41,41,0.16495833333333332,1200.0,1.0,0.05,255.0,1,1,85.0
42,42,0.24783333333333332,1200.0,2.0,0.1,1065.0,1,1,465.0
43,43,0.16745833333333335,1200.0,1.0,0.05,255.0,1,1,98.0
44,44,0.17650000000000002,1200.0,2.0,0.1,250.0,1,1,128.0
45,45,0.26466666666666666,1200.0,0.0,0.0,531.0,1,1,422.0
46,46,0.20029166666666667,1200.0,1.0,0.05,429.0,1,1,68.0
47,47,0.17195833333333332,1200.0,0.0,0.0,295.0,1,1,139.0
48,48,0.20945833333333333,1200.0,0.0,0.0,425.0,1,1,94.0
49,49,0.19570833333333332,1200.0,0.0,0.0,350.0,1,1,257.0
50,50,0.12287499999999998,1200.0,0.0,0.0,244.0,1,1,122.0
51,51,0.21025000000000002,1200.0,1.0,0.05,482.0,1,1,259.0
52,52,0.22804166666666664,1200.0,2.0,0.1,317.0,1,1,438.0
53,53,0.1895416666666667,1200.0,1.0,0.05,448.0,1,1,131.0
54,54,0.20745833333333336,1200.0,1.0,0.05,810.0,1,1,210.0
55,55,0.20054166666666667,1200.0,1.0,0.05,498.0,1,1,273.0
56,56,0.18045833333333333,1200.0,0.0,0.0,647.0,1,1,47.0
57,57,0.16575,1200.0,0.0,0.0,166.0,1,1,296.0
58,58,0.12941666666666668,1200.0,0.0,0.0,170.0,1,1,111.0
59,59,0.15466666666666667,1200.0,2.0,0.1,171.0,1,1,83.0
60,60,0.22666666666666666,1200.0,1.0,0.05,466.0,1,1,292.0
61,61,0.29029166666666667,1200.0,1.0,0.05,973.0,1,1,373.0
62,62,0.15662500000000001,1200.0,1.0,0.05,298.0,1,1,80.0
63,63,0.12520833333333334,1200.0,0.0,0.0,243.0,1,1,137.0
64,64,0.16008333333333333,1200.0,0.0,0.0,338.0,1,1,19.0
65,65,0.19354166666666667,1200.0,0.0,0.0,458.0,1,1,152.0
66,66,0.2197083333333333,1200.0,3.0,0.15,436.0,1,0,
67,67,0.18866666666666668,1200.0,0.0,0.0,236.0,1,1,286.0
68,68,0.202125,1200.0,1.0,0.05,484.0,1,1,133.0
69,69,0.19033333333333333,1200.0,0.0,0.0,447.0,1,1,122.0
70,70,0.133125,1200.0,0.0,0.0,293.0,1,1,87.0
71,71,0.22116666666666665,1200.0,0.0,0.0,568.0,1,1,94.0
72,72,0.22987500000000002,1200.0,1.0,0.05,835.0,1,1,235.0
73,73,0.20441666666666666,1200.0,0.0,0.0,814.0,1,1,214.0
74,74,0.18145833333333333,1200.0,0.0,0.0,522.0,1,1,200.0
75,75,0.19883333333333333,1200.0,0.0,0.0,773.0,1,1,173.0
76,76,0.18541666666666667,1200.0,1.0,0.05,341.0,1,1,109.0
77,77,0.19895833333333332,1200.0,1.0,0.05,294.0,1,1,186.0
78,78,0.12175,1200.0,0.0,0.0,201.0,1,1,73.0
79,79,0.13545833333333335,1200.0,0.0,0.0,320.0,1,1,64.0
80,80,0.1495,1200.0,0.0,0.0,365.0,1,1,88.0
