RunId,seed,event_index,event_step,event_time_s,event_types,next_event_step,coverage_threshold,threshold_reached,time_to_90_percent_nominal_service_after_event_s
0,0,1,600,600.0,add_points,,0.9,True,0.0
1,1,1,600,600.0,add_points,,0.9,True,105.0
2,2,1,600,600.0,add_points,,0.9,True,78.0
3,3,1,600,600.0,add_points,,0.9,True,148.0
4,4,1,600,600.0,add_points,,0.9,True,281.0
5,5,1,600,600.0,add_points,,0.9,True,168.0
6,6,1,600,600.0,add_points,,0.9,True,159.0
7,7,1,600,600.0,add_points,,0.9,True,283.0
8,8,1,600,600.0,add_points,,0.9,True,290.0
9,9,1,600,600.0,add_points,,0.9,True,93.0
10,10,1,600,600.0,add_points,,0.9,True,219.0
11,11,1,600,600.0,add_points,,0.9,True,285.0
12,12,1,600,600.0,add_points,,0.9,False,
13,13,1,600,600.0,add_points,,0.9,True,171.0
14,14,1,600,600.0,add_points,,0.9,True,345.0
15,15,1,600,600.0,add_points,,0.9,True,129.0
16,16,1,600,600.0,add_points,,0.9,True,410.0
17,17,1,600,600.0,add_points,,0.9,True,379.0
18,18,1,600,600.0,add_points,,0.9,True,225.0
19,19,1,600,600.0,add_points,,0.9,True,210.0
20,20,1,600,600.0,add_points,,0.9,True,91.0
21,21,1,600,600.0,add_points,,0.9,True,247.0
22,22,1,600,600.0,add_points,,0.9,True,239.0
23,23,1,600,600.0,add_points,,0.9,True,415.0
24,24,1,600,600.0,add_points,,0.9,True,113.0
25,25,1,600,600.0,add_points,,0.9,True,141.0
26,26,1,600,600.0,add_points,,0.9,True,184.0
27,27,1,600,600.0,add_points,,0.9,True,184.0
28,28,1,600,600.0,add_points,,0.9,True,162.0
29,29,1,600,600.0,add_points,,0.9,True,93.0
30,30,1,600,600.0,add_points,,0.9,True,258.0
31,31,1,600,600.0,add_points,,0.9,True,105.0
32,32,1,600,600.0,add_points,,0.9,True,255.0
33,33,1,600,600.0,add_points,,0.9,True,130.0
34,34,1,600,600.0,add_points,,0.9,True,152.0
35,35,1,600,600.0,add_points,,0.9,True,16.0
36,36,1,600,600.0,add_points,,0.9,True,276.0
37,37,1,600,600.0,add_points,,0.9,True,268.0
38,38,1,600,600.0,add_points,,0.9,True,272.0
39,39,1,600,600.0,add_points,,0.9,True,228.0
40,40,1,600,600.0,add_points,,0.9,True,201.0
41,41,1,600,600.0,add_points,,0.9,False,
42,42,1,600,600.0,add_points,,0.9,True,284.0
43,43,1,600,600.0,add_points,,0.9,True,240.0
44,44,1,600,600.0,add_points,,0.9,True,380.0
45,45,1,600,600.0,add_points,,0.9,False,
46,46,1,600,600.0,add_points,,0.9,True,153.0
47,47,1,600,600.0,add_points,,0.9,True,197.0
48,48,1,600,600.0,add_points,,0.9,True,174.0
49,49,1,600,600.0,add_points,,0.9,True,217.0
50,50,1,600,600.0,add_points,,0.9,True,230.0
51,51,1,600,600.0,add_points,,0.9,True,149.0
52,52,1,600,600.0,add_points,,0.9,True,84.0
53,53,1,600,600.0,add_points,,0.9,True,259.0
54,54,1,600,600.0,add_points,,0.9,True,193.0
55,55,1,600,600.0,add_points,,0.9,True,303.0
56,56,1,600,600.0,add_points,,0.9,True,451.0
57,57,1,600,600.0,add_points,,0.9,True,370.0
58,58,1,600,600.0,add_points,,0.9,True,255.0
59,59,1,600,600.0,add_points,,0.9,True,172.0
60,60,1,600,600.0,add_points,,0.9,True,413.0
61,61,1,600,600.0,add_points,,0.9,True,110.0
62,62,1,600,600.0,add_points,,0.9,True,59.0
63,63,1,600,600.0,add_points,,0.9,True,76.0
64,64,1,600,600.0,add_points,,0.9,True,109.0
65,65,1,600,600.0,add_points,,0.9,True,118.0
66,66,1,600,600.0,add_points,,0.9,True,233.0
67,67,1,600,600.0,add_points,,0.9,True,100.0
68,68,1,600,600.0,add_points,,0.9,True,83.0
69,69,1,600,600.0,add_points,,0.9,True,333.0
70,70,1,600,600.0,add_points,,0.9,True,196.0
71,71,1,600,600.0,add_points,,0.9,True,234.0
72,72,1,600,600.0,add_points,,0.9,True,191.0
73,73,1,600,600.0,add_points,,0.9,False,
74,74,1,600,600.0,add_points,,0.9,True,260.0
75,75,1,600,600.0,add_points,,0.9,True,122.0
76,76,1,600,600.0,add_points,,0.9,True,110.0
77,77,1,600,600.0,add_points,,0.9,True,177.0
78,78,1,600,600.0,add_points,,0.9,True,77.0
79,79,1,600,600.0,add_points,,0.9,True,155.0
80,80,1,600,600.0,add_points,,0.9,True,95.0
81,81,1,600,600.0,add_points,,0.9,True,117.0
82,82,1,600,600.0,add_points,,0.9,True,218.0
83,83,1,600,600.0,add_points,,0.9,True,135.0
84,84,1,600,600.0,add_points,,0.9,True,24.0
85,85,1,600,600.0,add_points,,0.9,True,82.0
86,86,1,600,600.0,add_points,,0.9,True,523.0
87,87,1,600,600.0,add_points,,0.9,True,101.0
88,88,1,600,600.0,add_points,,0.9,True,410.0
89,89,1,600,600.0,add_points,,0.9,True,157.0
90,90,1,600,600.0,add_points,,0.9,True,187.0
91,91,1,600,600.0,add_points,,0.9,True,109.0
92,92,1,600,600.0,add_points,,0.9,True,544.0
93,93,1,600,600.0,add_points,,0.9,True,343.0
94,94,1,600,600.0,add_points,,0.9,True,227.0
95,95,1,600,600.0,add_points,,0.9,True,105.0
96,96,1,600,600.0,add_points,,0.9,True,280.0
97,97,1,600,600.0,add_points,,0.9,True,159.0
98,98,1,600,600.0,add_points,,0.9,True,141.0
99,99,1,600,600.0,add_points,,0.9,True,145.0
