RunId,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,0,0.10308333333333333,1200.0,0.0,0.0,194.0,1,1,0.0
1,1,0.11379166666666668,1200.0,0.0,0.0,142.0,1,1,105.0
2,2,0.12991666666666668,1200.0,0.0,0.0,381.0,1,1,78.0
3,3,0.15641666666666665,1200.0,1.0,0.05,186.0,1,1,148.0
4,4,0.213625,1200.0,1.0,0.05,315.0,1,1,281.0
5,5,0.11883333333333333,1200.0,0.0,0.0,183.0,1,1,168.0
6,6,0.1689166666666667,1200.0,0.0,0.0,194.0,1,1,159.0
7,7,0.15366666666666667,1200.0,1.0,0.05,196.0,1,1,283.0
8,8,0.12533333333333332,1200.0,1.0,0.05,129.0,1,1,290.0
9,9,0.09183333333333334,1200.0,0.0,0.0,108.0,1,1,93.0
10,10,0.17925,1200.0,1.0,0.05,222.0,1,1,219.0
11,11,0.188625,1200.0,2.0,0.1,290.0,1,1,285.0
12,12,0.1965,1200.0,3.0,0.15,256.0,1,0,
13,13,0.14379166666666668,1200.0,0.0,0.0,141.0,1,1,171.0
14,14,0.155875,1200.0,1.0,0.05,111.0,1,1,345.0
15,15,0.09945833333333334,1200.0,0.0,0.0,106.0,1,1,129.0
16,16,0.19470833333333334,1200.0,1.0,0.05,264.0,1,1,410.0
17,17,0.15595833333333334,1200.0,0.0,0.0,110.0,1,1,379.0
18,18,0.15554166666666666,1200.0,2.0,0.1,178.0,1,1,225.0
19,19,0.18391666666666667,1200.0,1.0,0.05,244.0,1,1,210.0
20,20,0.13170833333333334,1200.0,2.0,0.1,187.0,1,1,91.0
21,21,0.16554166666666667,1200.0,1.0,0.05,151.0,1,1,247.0
22,22,0.13708333333333333,1200.0,1.0,0.05,190.0,1,1,239.0
23,23,0.13166666666666665,1200.0,1.0,0.05,103.0,1,1,415.0
24,24,0.10558333333333333,1200.0,0.0,0.0,112.0,1,1,113.0
25,25,0.07379166666666666,1200.0,0.0,0.0,120.0,1,1,141.0
26,26,0.190625,1200.0,0.0,0.0,373.0,1,1,184.0
27,27,0.11558333333333333,1200.0,0.0,0.0,155.0,1,1,184.0
28,28,0.12116666666666667,1200.0,0.0,0.0,143.0,1,1,162.0
29,29,0.08495833333333333,1200.0,0.0,0.0,97.0,1,1,93.0
30,30,0.14608333333333334,1200.0,1.0,0.05,219.0,1,1,258.0
31,31,0.19758333333333333,1200.0,1.0,0.05,380.0,1,1,105.0
32,32,0.12341666666666666,1200.0,0.0,0.0,126.0,1,1,255.0
33,33,0.12975,1200.0,1.0,0.05,154.0,1,1,130.0
