RunId,point_sensing_radius,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,mean_excess_service_units,final_excess_service_units,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,10.0,10.0,0,0.4503333333333333,600.0,11.0,0.3666666666666666,0.0016666666666666668,0.0,244.0,0,0,
1,25.0,10.0,0,0.6638888888888889,600.0,19.0,0.6333333333333333,0.0016666666666666668,0.0,,0,0,
2,10.0,25.0,0,0.42116666666666663,600.0,10.0,0.3333333333333333,0.0,0.0,124.0,0,0,
3,25.0,25.0,0,0.4348333333333333,600.0,10.0,0.3333333333333333,0.0016666666666666668,0.0,152.0,0,0,
4,10.0,10.0,1,0.4387222222222222,600.0,10.0,0.3333333333333333,0.0016666666666666668,0.0,201.0,0,0,
5,25.0,10.0,1,0.5346666666666667,600.0,15.0,0.5,0.008333333333333333,0.0,,0,0,
6,10.0,25.0,1,0.39994444444444444,600.0,10.0,0.3333333333333333,0.0033333333333333335,0.0,86.0,0,0,
7,25.0,25.0,1,0.4188333333333333,600.0,10.0,0.3333333333333333,0.005,0.0,172.0,0,0,
8,10.0,10.0,2,0.4319444444444444,600.0,10.0,0.3333333333333333,0.0016666666666666668,0.0,260.0,0,0,
9,25.0,10.0,2,0.5303333333333333,600.0,15.0,0.5,0.005,0.0,,0,0,
10,10.0,25.0,2,0.3894444444444444,600.0,10.0,0.3333333333333333,0.0016666666666666668,0.0,83.0,0,0,
11,25.0,25.0,2,0.3990555555555555,600.0,10.0,0.3333333333333333,0.01,0.0,115.0,0,0,
12,10.0,10.0,3,0.5323333333333333,600.0,10.0,0.3333333333333333,0.0,0.0,320.0,0,0,
13,25.0,10.0,3,0.5185000000000001,600.0,14.0,0.4666666666666667,0.0,0.0,,0,0,
14,10.0,25.0,3,0.4345,600.0,10.0,0.3333333333333333,0.0,0.0,185.0,0,0,
15,25.0,25.0,3,0.44305555555555554,600.0,10.0,0.3333333333333333,0.0,0.0,273.0,0,0,
16,10.0,10.0,4,0.5381111111111111,600.0,9.0,0.3,0.0,0.0,353.0,0,0,
17,25.0,10.0,4,0.6058333333333333,600.0,13.0,0.4333333333333333,0.0,0.0,,0,0,
18,10.0,25.0,4,0.4663333333333334,600.0,9.0,0.3,0.0,0.0,204.0,0,0,
19,25.0,25.0,4,0.39266666666666666,600.0,7.0,0.2333333333333333,0.0033333333333333335,0.0,144.0,0,0,
20,10.0,10.0,5,0.40688888888888886,600.0,10.0,0.3333333333333333,0.0016666666666666668,0.0,149.0,0,0,
21,25.0,10.0,5,0.5207222222222222,600.0,15.0,0.5,0.01,0.0,,0,0,
22,10.0,25.0,5,0.43444444444444436,600.0,10.0,0.3333333333333333,0.0016666666666666668,0.0,316.0,0,0,
23,25.0,25.0,5,0.38616666666666666,600.0,10.0,0.3333333333333333,0.01,0.0,118.0,0,0,
24,10.0,10.0,6,0.5215555555555556,600.0,11.0,0.3666666666666666,0.0,0.0,403.0,0,0,
