RunId,point_sensing_radius,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,mean_excess_service_units,final_excess_service_units,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,10.0,10.0,0,0.44822222222222224,600.0,7.0,0.2333333333333333,0.005,0.0,235.0,0,0,
1,25.0,10.0,0,0.6945,600.0,20.0,0.6666666666666666,0.013333333333333334,0.0,,0,0,
2,10.0,25.0,0,0.3643888888888889,600.0,7.0,0.2333333333333333,0.008333333333333333,0.0,114.0,0,0,
3,25.0,25.0,0,0.4264444444444444,600.0,8.0,0.2666666666666666,0.021666666666666667,0.0,258.0,0,0,
4,10.0,10.0,1,0.3169444444444444,600.0,5.0,0.1666666666666666,0.015,0.0,77.0,0,0,
5,25.0,10.0,1,0.6252222222222222,600.0,18.0,0.6,0.07666666666666666,0.0,,0,0,
6,10.0,25.0,1,0.45088888888888884,600.0,6.0,0.2,0.013333333333333334,0.0,364.0,0,0,
7,25.0,25.0,1,0.41566666666666663,600.0,7.0,0.2333333333333333,0.08333333333333333,0.0,208.0,0,0,
8,10.0,10.0,2,0.4103333333333333,600.0,8.0,0.2666666666666666,0.9466666666666667,3.0,207.0,0,0,
9,25.0,10.0,2,0.44966666666666666,600.0,12.0,0.4,0.04,0.0,69.0,0,0,
10,10.0,25.0,2,0.35716666666666663,600.0,7.0,0.2333333333333333,0.02,0.0,93.0,0,0,
11,25.0,25.0,2,0.2982222222222222,600.0,6.0,0.2,2.6433333333333335,3.0,69.0,0,0,
12,10.0,10.0,3,0.4236111111111111,600.0,10.0,0.3333333333333333,0.028333333333333332,0.0,202.0,0,0,
13,25.0,10.0,3,0.7403888888888889,600.0,22.0,0.7333333333333333,0.03333333333333333,0.0,,0,0,
14,10.0,25.0,3,0.4748333333333333,600.0,11.0,0.3666666666666666,0.035,0.0,242.0,0,0,
15,25.0,25.0,3,0.46127777777777773,600.0,10.0,0.3333333333333333,0.028333333333333332,0.0,313.0,0,0,
16,10.0,10.0,4,0.4450555555555555,600.0,8.0,0.2666666666666666,0.0033333333333333335,0.0,129.0,0,0,
17,25.0,10.0,4,0.7563888888888889,600.0,22.0,0.7333333333333333,0.028333333333333332,0.0,,0,0,
18,10.0,25.0,4,0.5558888888888889,600.0,11.0,0.3666666666666666,0.011666666666666667,0.0,547.0,0,0,
19,25.0,25.0,4,0.5477222222222222,600.0,12.0,0.4,0.04,0.0,270.0,0,0,
20,10.0,10.0,5,0.4022222222222222,600.0,8.0,0.2666666666666666,0.01,0.0,169.0,0,0,
21,25.0,10.0,5,0.7775000000000001,600.0,23.0,0.7666666666666667,0.03166666666666667,0.0,,0,0,
22,10.0,25.0,5,0.5080555555555555,600.0,9.0,0.3,0.01,0.0,299.0,0,0,
23,25.0,25.0,5,0.43633333333333335,600.0,9.0,0.3,0.7433333333333333,1.0,184.0,0,0,
24,10.0,10.0,6,0.3824444444444444,600.0,7.0,0.2333333333333333,0.043333333333333335,0.0,167.0,0,0,
25,25.0,10.0,6,0.614111111111111,600.0,18.0,0.6,0.06833333333333333,0.0,,0,0,
26,10.0,25.0,6,0.3703888888888889,600.0,5.0,0.1666666666666666,0.043333333333333335,0.0,210.0,0,0,
27,25.0,25.0,6,0.32655555555555554,600.0,6.0,0.2,0.05,0.0,155.0,0,0,
28,10.0,10.0,7,0.4843333333333334,600.0,11.0,0.3666666666666666,0.006666666666666667,0.0,274.0,0,0,
29,25.0,10.0,7,0.745611111111111,600.0,22.0,0.7333333333333333,0.056666666666666664,0.0,,0,0,
30,10.0,25.0,7,0.4568888888888889,600.0,10.0,0.3333333333333333,0.01,0.0,254.0,0,0,
31,25.0,25.0,7,0.4355,600.0,10.0,0.3333333333333333,0.058333333333333334,0.0,148.0,0,0,
32,10.0,10.0,8,0.42433333333333334,600.0,9.0,0.3,0.006666666666666667,0.0,225.0,0,0,
33,25.0,10.0,8,0.655,600.0,19.0,0.6333333333333333,0.04,0.0,,0,0,
34,10.0,25.0,8,0.3500555555555555,600.0,7.0,0.2333333333333333,0.008333333333333333,0.0,105.0,0,0,
35,25.0,25.0,8,0.35577777777777775,600.0,8.0,0.2666666666666666,0.06666666666666667,0.0,97.0,0,0,
36,10.0,10.0,9,0.4006111111111111,600.0,8.0,0.2666666666666666,0.9366666666666666,1.0,211.0,0,0,
37,25.0,10.0,9,0.8096666666666666,600.0,24.0,0.8,0.016666666666666666,0.0,,0,0,
38,10.0,25.0,9,0.4528888888888889,600.0,8.0,0.2666666666666666,0.8916666666666667,1.0,241.0,0,0,
39,25.0,25.0,9,0.43711111111111106,600.0,6.0,0.2,0.915,1.0,250.0,0,0,
40,10.0,10.0,10,0.5002222222222222,600.0,11.0,0.3666666666666666,0.011666666666666667,0.0,317.0,0,0,
41,25.0,10.0,10,0.6904999999999999,600.0,20.0,0.6666666666666666,0.016666666666666666,0.0,,0,0,
42,10.0,25.0,10,0.5827222222222223,600.0,14.0,0.4666666666666667,0.01,0.0,,0,0,
43,25.0,25.0,10,0.39649999999999996,600.0,8.0,0.2666666666666666,0.023333333333333334,0.0,109.0,0,0,
44,10.0,10.0,11,0.4606666666666666,600.0,10.0,0.3333333333333333,0.016666666666666666,0.0,250.0,0,0,
45,25.0,10.0,11,0.6825,600.0,20.0,0.6666666666666666,0.03,0.0,,0,0,
46,10.0,25.0,11,0.5639444444444445,600.0,11.0,0.3666666666666666,0.021666666666666667,0.0,560.0,0,0,
47,25.0,25.0,11,0.48899999999999993,600.0,7.0,0.2333333333333333,0.058333333333333334,0.0,365.0,0,0,
48,10.0,10.0,12,0.3332777777777778,600.0,6.0,0.2,0.01,0.0,177.0,0,0,
