RunId,seed,radius_profile,event_index,event_step,event_time_s,event_types,next_event_step,coverage_threshold,threshold_reached,time_to_90_percent_nominal_service_after_event_s
1,0,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,75.0
1,0,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
1,0,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
1,0,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,178.0
2,1,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,131.0
2,1,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,217.0
2,1,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
2,1,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,140.0
3,2,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,206.0
3,2,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,239.0
3,2,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
3,2,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,105.0
4,3,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,189.0
4,3,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
4,3,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
4,3,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,152.0
5,4,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,False,
5,4,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
5,4,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
5,4,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,51.0
6,5,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,False,
6,5,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
6,5,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
6,5,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,123.0
7,6,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,188.0
7,6,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
7,6,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
7,6,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,154.0
8,7,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,209.0
8,7,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,201.0
8,7,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
8,7,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,168.0
9,8,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,195.0
9,8,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
9,8,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
9,8,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,181.0
10,9,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,182.0
10,9,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
10,9,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,8.0
10,9,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,236.0
11,10,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,False,
11,10,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
11,10,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
11,10,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,259.0
12,11,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,36.0
12,11,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,299.0
12,11,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
12,11,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,76.0
13,12,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,149.0
13,12,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,220.0
13,12,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
13,12,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,False,
14,13,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,67.0
14,13,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
14,13,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
14,13,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,64.0
15,14,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,196.0
15,14,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
15,14,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,23.0
15,14,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,77.0
16,15,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,98.0
16,15,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
16,15,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,96.0
16,15,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,False,
17,16,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,195.0
17,16,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,272.0
17,16,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
17,16,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,189.0
18,17,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,190.0
18,17,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
18,17,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
18,17,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,288.0
19,18,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,64.0
19,18,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
19,18,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
19,18,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,160.0
20,19,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,255.0
20,19,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
20,19,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
20,19,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,236.0
21,20,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,121.0
21,20,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
21,20,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
21,20,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,113.0
22,21,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,147.0
22,21,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,279.0
22,21,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
22,21,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,135.0
23,22,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,234.0
23,22,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
23,22,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
23,22,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,220.0
24,23,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,35.0
24,23,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
24,23,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
24,23,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,153.0
25,24,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,61.0
25,24,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,248.0
25,24,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
25,24,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,55.0
26,25,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,270.0
26,25,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
26,25,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,24.0
26,25,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,91.0
27,26,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,149.0
27,26,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,185.0
27,26,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
27,26,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,117.0
28,27,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,False,
28,27,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,195.0
28,27,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
28,27,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,10.0
29,28,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,91.0
29,28,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
29,28,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
29,28,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,101.0
30,29,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,False,
30,29,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,209.0
30,29,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
30,29,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,250.0
31,30,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,False,
31,30,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
31,30,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
31,30,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,239.0
32,31,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,83.0
32,31,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,283.0
32,31,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
32,31,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,39.0
33,32,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,125.0
33,32,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,243.0
33,32,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
33,32,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,137.0
34,33,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,False,
34,33,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,181.0
34,33,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
34,33,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,55.0
35,34,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,256.0
35,34,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
35,34,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,108.0
35,34,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,137.0
36,35,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,133.0
36,35,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
