RunId,radius_profile,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,mean_excess_service_units,final_excess_service_units,J_delta_dynamic,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
1,rd10_rp10_nominal,0,0.2456851851851852,1800.0,2.0,0.1,0.16722222222222222,0.0,0.21306944444444445,359.0,4,3,84.33333333333333
2,rd10_rp10_nominal,1,0.2120648148148148,1800.0,2.0,0.1,0.2611111111111111,0.0,0.20643055555555556,306.0,4,4,122.0
3,rd10_rp10_nominal,2,0.25028703703703703,1800.0,2.0,0.1,0.17166666666666666,0.0,0.22763888888888892,408.0,4,4,137.5
4,rd10_rp10_nominal,3,0.24651851851851853,1800.0,1.0,0.05,0.24666666666666667,0.0,0.22194444444444442,482.0,4,3,113.66666666666667
5,rd10_rp10_nominal,4,0.2276111111111111,1800.0,1.0,0.05,0.33611111111111114,0.0,0.218875,249.0,4,2,25.5
6,rd10_rp10_nominal,5,0.2622962962962963,1800.0,1.0,0.05,0.008333333333333333,0.0,0.22498611111111108,1200.0,4,2,61.5
7,rd10_rp10_nominal,6,0.23746296296296296,1800.0,1.0,0.05,0.008333333333333333,0.0,0.21765277777777778,448.0,4,3,114.0
8,rd10_rp10_nominal,7,0.26183333333333336,1800.0,2.0,0.1,0.007222222222222222,0.0,0.22291666666666668,809.0,4,4,144.5
9,rd10_rp10_nominal,8,0.24641666666666667,1800.0,2.0,0.1,0.23722222222222222,0.0,0.22254166666666667,509.0,4,3,125.33333333333333
10,rd10_rp10_nominal,9,0.25249074074074074,1800.0,2.0,0.1,0.31,0.0,0.2363611111111111,314.0,4,3,142.0
11,rd10_rp10_nominal,10,0.27049999999999996,1800.0,1.0,0.05,0.0044444444444444444,0.0,0.24491666666666664,486.0,4,2,129.5
12,rd10_rp10_nominal,11,0.24387962962962964,1800.0,1.0,0.05,0.16777777777777778,0.0,0.21623611111111113,436.0,4,4,102.75
13,rd10_rp10_nominal,12,0.2222407407407407,1800.0,3.0,0.15,0.006666666666666667,0.0,0.23090277777777776,201.0,4,3,123.0
14,rd10_rp10_nominal,13,0.23432407407407405,1800.0,1.0,0.05,0.0038888888888888888,0.0,0.21281944444444445,454.0,4,3,43.666666666666664
15,rd10_rp10_nominal,14,0.24062962962962964,1800.0,1.0,0.05,0.005555555555555556,0.0,0.23152777777777775,272.0,4,3,98.66666666666667
16,rd10_rp10_nominal,15,0.26373148148148146,1800.0,3.0,0.15,0.4816666666666667,0.0,0.2708472222222222,232.0,4,2,97.0
17,rd10_rp10_nominal,16,0.19653703703703704,1800.0,0.0,0.0,0.17444444444444446,0.0,0.21905555555555556,180.0,4,4,164.0
18,rd10_rp10_nominal,17,0.2949629629629629,1800.0,2.0,0.1,0.0077777777777777776,0.0,0.27052777777777776,790.0,4,3,159.33333333333334
19,rd10_rp10_nominal,18,0.24262962962962964,1800.0,2.0,0.1,0.005,0.0,0.2073611111111111,336.0,4,3,74.66666666666667
