RunId,seed,radius_profile,event_index,event_step,event_time_s,event_types,next_event_step,coverage_threshold,threshold_reached,time_to_90_percent_nominal_service_after_event_s
1,0,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,75.0
1,0,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
1,0,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,36.0
1,0,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
2,1,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,131.0
2,1,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
2,1,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,49.0
2,1,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,82.0
3,2,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
3,2,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
3,2,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,4.0
3,2,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,100.0
4,3,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
4,3,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
4,3,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,6.0
4,3,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,147.0
5,4,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
5,4,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
5,4,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,19.0
5,4,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
6,5,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
6,5,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
6,5,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,45.0
6,5,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,120.0
7,6,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
7,6,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
7,6,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,87.0
7,6,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,143.0
8,7,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
8,7,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
8,7,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
8,7,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
9,8,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
9,8,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
9,8,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
9,8,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,57.0
10,9,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
10,9,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,True,141.0
10,9,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
10,9,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,81.0
11,10,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
11,10,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
11,10,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,27.0
11,10,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,131.0
12,11,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,36.0
12,11,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
