RunId,radius_profile,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,mean_excess_service_units,final_excess_service_units,J_delta_dynamic,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
1,rd10_rp10_nominal,0,0.30556944444444445,1200.0,3.0,0.15,0.008333333333333333,0.0,0.3002222222222222,359.0,4,2,55.5
2,rd10_rp10_nominal,1,0.25554166666666667,1200.0,2.0,0.1,0.14166666666666666,0.0,0.28775,306.0,4,3,87.33333333333333
3,rd10_rp10_nominal,2,0.29483333333333334,1200.0,2.0,0.1,0.24916666666666668,0.0,0.2940833333333333,408.0,4,2,52.0
4,rd10_rp10_nominal,3,0.28531944444444446,1200.0,2.0,0.1,0.13166666666666665,0.0,0.2749722222222222,482.0,4,2,76.5
5,rd10_rp10_nominal,4,0.26945833333333336,1200.0,3.0,0.15,0.25333333333333335,0.0,0.2938333333333333,249.0,4,1,19.0
6,rd10_rp10_nominal,5,0.33829166666666666,1200.0,2.0,0.1,0.059166666666666666,0.0,0.3396666666666667,945.0,4,2,82.5
7,rd10_rp10_nominal,6,0.2917222222222222,1200.0,1.0,0.05,0.014166666666666666,0.0,0.3063611111111111,448.0,4,2,115.0
8,rd10_rp10_nominal,7,0.30601388888888886,1200.0,3.0,0.15,0.13166666666666665,0.0,0.2723611111111111,900.0,4,1,0.0
9,rd10_rp10_nominal,8,0.26491666666666663,1200.0,2.0,0.1,0.1275,0.0,0.23566666666666666,509.0,4,2,28.5
10,rd10_rp10_nominal,9,0.2630138888888889,1200.0,2.0,0.1,0.21583333333333332,0.0,0.24127777777777776,314.0,4,3,74.0
11,rd10_rp10_nominal,10,0.30474999999999997,1200.0,2.0,0.1,0.005,0.0,0.28783333333333333,486.0,4,2,79.0
12,rd10_rp10_nominal,11,0.3180277777777778,1200.0,3.0,0.15,0.0175,0.0,0.33688888888888885,436.0,4,2,21.5
13,rd10_rp10_nominal,12,0.23168055555555556,1200.0,2.0,0.1,0.1225,0.0,0.2584444444444444,201.0,4,3,70.0
14,rd10_rp10_nominal,13,0.28269444444444447,1200.0,2.0,0.1,0.005833333333333334,0.0,0.28805555555555556,454.0,4,3,75.33333333333333
15,rd10_rp10_nominal,14,0.2734861111111111,1200.0,1.0,0.05,0.005,0.0,0.2881388888888889,272.0,4,2,76.5
16,rd10_rp10_nominal,15,0.2648611111111111,1200.0,3.0,0.15,0.4116666666666667,0.0,0.2802222222222222,232.0,4,2,49.5
17,rd10_rp10_nominal,16,0.20762499999999998,1200.0,2.0,0.1,0.13666666666666666,0.0,0.26375,180.0,4,2,66.0
18,rd10_rp10_nominal,17,0.32472222222222225,1200.0,2.0,0.1,0.009166666666666667,0.0,0.3056111111111111,948.0,4,2,50.5
19,rd10_rp10_nominal,18,0.29297222222222224,1200.0,3.0,0.15,0.006666666666666667,0.0,0.2727777777777778,336.0,4,2,32.0
20,rd10_rp10_nominal,19,0.35912499999999997,1200.0,3.0,0.15,0.12333333333333334,0.0,0.33875,560.0,4,1,60.0
21,rd10_rp10_nominal,20,0.28123611111111113,1200.0,2.0,0.1,0.20166666666666666,0.0,0.3229722222222222,289.0,4,3,101.66666666666667
22,rd10_rp10_nominal,21,0.30712500000000004,1200.0,2.0,0.1,0.1125,0.0,0.2895,436.0,4,3,91.0
23,rd10_rp10_nominal,22,0.24658333333333332,1200.0,3.0,0.15,0.013333333333333334,0.0,0.2966666666666667,267.0,4,1,55.0
24,rd10_rp10_nominal,23,0.2538888888888889,1200.0,2.0,0.1,0.01,0.0,0.2726111111111111,306.0,4,3,44.333333333333336
25,rd10_rp10_nominal,24,0.2714722222222222,1200.0,2.0,0.1,0.33916666666666667,0.0,0.2485277777777778,456.0,4,3,27.666666666666668
26,rd10_rp10_nominal,25,0.2520138888888889,1200.0,2.0,0.1,0.0075,0.0,0.31669444444444445,351.0,4,2,135.0
27,rd10_rp10_nominal,26,0.3331944444444444,1200.0,4.0,0.2,0.005833333333333334,0.0,0.29005555555555557,749.0,4,2,75.5
28,rd10_rp10_nominal,27,0.23422222222222222,1200.0,2.0,0.1,0.25666666666666665,0.0,0.2456111111111111,204.0,4,3,51.666666666666664
29,rd10_rp10_nominal,28,0.29527777777777775,1200.0,3.0,0.15,0.30083333333333334,0.0,0.29538888888888887,324.0,4,2,45.5
30,rd10_rp10_nominal,29,0.24911111111111112,1200.0,1.0,0.05,0.0075,0.0,0.24430555555555553,337.0,4,3,48.0
31,rd10_rp10_nominal,30,0.28633333333333333,1200.0,2.0,0.1,0.005,0.0,0.29324999999999996,419.0,4,2,68.5
32,rd10_rp10_nominal,31,0.28855555555555557,1200.0,2.0,0.1,0.0,0.0,0.26961111111111113,404.0,4,3,70.66666666666667
33,rd10_rp10_nominal,32,0.2546111111111111,1200.0,1.0,0.05,0.004166666666666667,0.0,0.2598888888888889,281.0,4,3,78.0
34,rd10_rp10_nominal,33,0.32881944444444444,1200.0,2.0,0.1,0.115,0.0,0.3539722222222222,579.0,4,2,98.0
35,rd10_rp10_nominal,34,0.37252777777777774,1200.0,5.0,0.25,0.06333333333333334,0.0,0.3614722222222222,935.0,4,1,35.0
36,rd10_rp10_nominal,35,0.346,1200.0,2.0,0.1,0.0175,0.0,0.34650000000000003,733.0,4,3,96.66666666666667
37,rd10_rp10_nominal,36,0.261875,1200.0,3.0,0.15,0.1325,0.0,0.2985,391.0,4,1,107.0
38,rd10_rp10_nominal,37,0.2734027777777778,1200.0,1.0,0.05,0.25833333333333336,0.0,0.31130555555555556,411.0,4,2,76.0
39,rd10_rp10_nominal,38,0.253625,1200.0,2.0,0.1,0.2625,0.0,0.2663333333333333,316.0,4,2,71.5
40,rd10_rp10_nominal,39,0.237875,1200.0,3.0,0.15,0.7075,0.0,0.24608333333333335,325.0,4,2,34.0
41,rd10_rp10_nominal,40,0.2901111111111111,1200.0,2.0,0.1,0.013333333333333334,0.0,0.26905555555555555,586.0,4,2,36.0
42,rd10_rp10_nominal,41,0.25998611111111114,1200.0,2.0,0.1,0.005,0.0,0.2704722222222222,255.0,4,3,70.0
43,rd10_rp10_nominal,42,0.2866527777777778,1200.0,1.0,0.05,0.0033333333333333335,0.0,0.2693888888888889,903.0,4,2,29.5
44,rd10_rp10_nominal,43,0.28883333333333333,1200.0,3.0,0.15,0.11083333333333334,0.0,0.3243333333333333,255.0,4,2,74.0
45,rd10_rp10_nominal,44,0.24708333333333332,1200.0,2.0,0.1,0.0033333333333333335,0.0,0.26166666666666666,250.0,4,4,91.0
46,rd10_rp10_nominal,45,0.3465972222222222,1200.0,3.0,0.15,0.13166666666666665,0.0,0.34044444444444444,531.0,4,1,63.0
47,rd10_rp10_nominal,46,0.3015555555555556,1200.0,2.0,0.1,0.26416666666666666,0.0,0.2692777777777778,429.0,4,3,76.66666666666667
48,rd10_rp10_nominal,47,0.26141666666666663,1200.0,2.0,0.1,0.3016666666666667,0.0,0.2625,295.0,4,3,64.33333333333333
49,rd10_rp10_nominal,48,0.2920138888888889,1200.0,2.0,0.1,0.006666666666666667,0.0,0.25402777777777774,425.0,4,3,49.666666666666664
50,rd10_rp10_nominal,49,0.269125,1200.0,2.0,0.1,0.2275,0.0,0.28041666666666665,350.0,4,2,28.5
51,rd10_rp10_nominal,50,0.2348472222222222,1200.0,2.0,0.1,0.01,0.0,0.28452777777777777,244.0,4,3,70.0
52,rd10_rp10_nominal,51,0.3262777777777778,1200.0,4.0,0.2,0.004166666666666667,0.0,0.3334722222222222,482.0,4,1,103.0
53,rd10_rp10_nominal,52,0.2984305555555556,1200.0,2.0,0.1,0.006666666666666667,0.0,0.32119444444444445,317.0,4,2,55.0
54,rd10_rp10_nominal,53,0.3037777777777778,1200.0,2.0,0.1,0.355,0.0,0.32072222222222224,448.0,4,3,87.33333333333333
55,rd10_rp10_nominal,54,0.28445833333333337,1200.0,2.0,0.1,0.009166666666666667,0.0,0.27099999999999996,900.0,4,2,5.5
56,rd10_rp10_nominal,55,0.28854166666666664,1200.0,2.0,0.1,0.006666666666666667,0.0,0.30974999999999997,498.0,4,2,78.0
57,rd10_rp10_nominal,56,0.324,1200.0,4.0,0.2,0.010833333333333334,0.0,0.31583333333333335,647.0,4,2,79.0
58,rd10_rp10_nominal,57,0.2579027777777778,1200.0,4.0,0.2,0.0025,0.0,0.29513888888888884,166.0,4,1,0.0
59,rd10_rp10_nominal,58,0.21688888888888888,1200.0,3.0,0.15,0.03916666666666667,0.0,0.26569444444444446,170.0,4,2,60.5
60,rd10_rp10_nominal,59,0.22955555555555554,1200.0,1.0,0.05,0.2633333333333333,0.0,0.2628611111111111,171.0,4,3,55.666666666666664
61,rd10_rp10_nominal,60,0.31538888888888894,1200.0,3.0,0.15,0.07916666666666666,0.0,0.3195277777777778,466.0,4,1,60.0
62,rd10_rp10_nominal,61,0.3647638888888889,1200.0,4.0,0.2,0.006666666666666667,0.0,0.3601111111111111,,4,0,
63,rd10_rp10_nominal,62,0.24819444444444444,1200.0,3.0,0.15,0.255,0.0,0.2594722222222222,298.0,4,2,41.0
64,rd10_rp10_nominal,63,0.25445833333333334,1200.0,4.0,0.2,0.12833333333333333,0.0,0.33308333333333334,243.0,4,1,137.0
65,rd10_rp10_nominal,64,0.2934861111111111,1200.0,3.0,0.15,0.31666666666666665,0.0,0.29005555555555557,338.0,4,2,14.0
66,rd10_rp10_nominal,65,0.28297222222222224,1200.0,2.0,0.1,0.12416666666666666,0.0,0.23852777777777778,458.0,4,2,32.0
67,rd10_rp10_nominal,66,0.2876388888888889,1200.0,3.0,0.15,0.25666666666666665,0.0,0.31852777777777774,436.0,4,1,8.0
68,rd10_rp10_nominal,67,0.3074861111111111,1200.0,3.0,0.15,0.12916666666666668,0.0,0.3556388888888889,236.0,4,1,65.0
69,rd10_rp10_nominal,68,0.29427777777777775,1200.0,2.0,0.1,0.014166666666666666,0.0,0.2766388888888889,484.0,4,3,65.0
70,rd10_rp10_nominal,69,0.29648611111111106,1200.0,1.0,0.05,0.45666666666666667,0.0,0.28788888888888886,447.0,4,3,72.0
71,rd10_rp10_nominal,70,0.26156944444444447,1200.0,3.0,0.15,0.2225,0.0,0.2971388888888889,293.0,4,2,56.0
72,rd10_rp10_nominal,71,0.3325,1200.0,3.0,0.15,0.1225,0.0,0.3105833333333333,568.0,4,2,89.0
73,rd10_rp10_nominal,72,0.3273888888888889,1200.0,1.0,0.05,0.005,0.0,0.3266944444444444,965.0,4,2,56.5
74,rd10_rp10_nominal,73,0.29230555555555554,1200.0,2.0,0.1,0.006666666666666667,0.0,0.2915277777777778,900.0,4,2,60.5
75,rd10_rp10_nominal,74,0.31656944444444446,1200.0,4.0,0.2,0.006666666666666667,0.0,0.35280555555555554,522.0,4,1,58.0
76,rd10_rp10_nominal,75,0.3279861111111111,1200.0,3.0,0.15,0.004166666666666667,0.0,0.35297222222222224,992.0,4,1,92.0
77,rd10_rp10_nominal,76,0.28825,1200.0,2.0,0.1,0.0125,0.0,0.29424999999999996,341.0,4,3,78.33333333333333
78,rd10_rp10_nominal,77,0.2881944444444444,1200.0,2.0,0.1,0.1525,0.0,0.29838888888888887,294.0,4,2,77.5
79,rd10_rp10_nominal,78,0.23394444444444445,1200.0,2.0,0.1,0.18083333333333335,0.0,0.2688888888888889,201.0,4,3,45.0
80,rd10_rp10_nominal,79,0.2710416666666667,1200.0,2.0,0.1,0.18833333333333332,0.0,0.29616666666666663,320.0,4,3,59.666666666666664
81,rd10_rp10_nominal,80,0.2465416666666667,1200.0,3.0,0.15,1.0283333333333333,0.0,0.23550000000000001,365.0,4,2,44.0
82,rd10_rp10_nominal,81,0.2552638888888889,1200.0,1.0,0.05,0.11333333333333333,0.0,0.23194444444444443,325.0,4,3,54.666666666666664
83,rd10_rp10_nominal,82,0.2866666666666667,1200.0,3.0,0.15,0.0075,0.0,0.2768333333333333,378.0,4,3,85.0
84,rd10_rp10_nominal,83,0.31406944444444446,1200.0,2.0,0.1,0.006666666666666667,0.0,0.29030555555555554,578.0,4,2,45.0
85,rd10_rp10_nominal,84,0.2578611111111111,1200.0,3.0,0.15,0.25583333333333336,0.0,0.23405555555555557,320.0,4,2,48.0
86,rd10_rp10_nominal,85,0.20475,1200.0,1.0,0.05,0.36583333333333334,0.0,0.24608333333333335,227.0,4,3,73.33333333333333
87,rd10_rp10_nominal,86,0.28905555555555557,1200.0,2.0,0.1,0.2575,0.0,0.27844444444444444,454.0,4,2,65.0
88,rd10_rp10_nominal,87,0.35965277777777777,1200.0,1.0,0.05,0.0075,0.0,0.3293055555555556,977.0,4,2,101.0
89,rd10_rp10_nominal,88,0.28229166666666666,1200.0,3.0,0.15,0.006666666666666667,0.0,0.2553333333333333,414.0,4,2,68.0
90,rd10_rp10_nominal,89,0.2801666666666667,1200.0,2.0,0.1,0.21,0.0,0.25675000000000003,384.0,4,3,52.333333333333336
91,rd10_rp10_nominal,90,0.32084722222222223,1200.0,2.0,0.1,0.12166666666666667,0.0,0.3030277777777778,589.0,4,3,66.0
92,rd10_rp10_nominal,91,0.29188888888888886,1200.0,4.0,0.2,0.3441666666666667,0.0,0.29394444444444445,386.0,4,2,33.5
93,rd10_rp10_nominal,92,0.28729166666666667,1200.0,3.0,0.15,0.3825,0.0,0.31916666666666665,302.0,4,2,80.5
94,rd10_rp10_nominal,93,0.31319444444444444,1200.0,1.0,0.05,0.0025,0.0,0.30930555555555556,492.0,4,3,86.0
95,rd10_rp10_nominal,94,0.27661111111111114,1200.0,4.0,0.2,0.13333333333333333,0.0,0.26822222222222225,475.0,4,2,27.5
96,rd10_rp10_nominal,95,0.26375,1200.0,3.0,0.15,0.005833333333333334,0.0,0.25416666666666665,346.0,4,2,60.5
97,rd10_rp10_nominal,96,0.2760972222222222,1200.0,2.0,0.1,0.005833333333333334,0.0,0.28302777777777777,271.0,4,2,61.5
98,rd10_rp10_nominal,97,0.24226388888888886,1200.0,5.0,0.25,0.14333333333333334,0.0,0.3245277777777778,168.0,4,2,77.0
99,rd10_rp10_nominal,98,0.20952777777777779,1200.0,1.0,0.05,0.38666666666666666,0.0,0.2628888888888889,171.0,4,2,38.0
100,rd10_rp10_nominal,99,0.25245833333333334,1200.0,2.0,0.1,0.4575,0.0,0.2355833333333333,298.0,4,4,70.75
101,rd25_rp25_potenziato,0,0.23670833333333335,1200.0,2.0,0.1,0.3475,0.0,0.18516666666666665,309.0,4,4,52.75
102,rd25_rp25_potenziato,1,0.20702777777777778,1200.0,1.0,0.05,0.2725,0.0,0.17380555555555555,394.0,4,4,34.0
103,rd25_rp25_potenziato,2,0.24636111111111111,1200.0,2.0,0.1,0.26916666666666667,0.0,0.1932222222222222,523.0,4,4,55.75
104,rd25_rp25_potenziato,3,0.21502777777777776,1200.0,0.0,0.0,0.14,0.0,0.17955555555555555,390.0,4,4,26.75
105,rd25_rp25_potenziato,4,0.32409722222222226,1200.0,1.0,0.05,0.6841666666666667,0.0,0.20619444444444446,525.0,4,4,39.25
106,rd25_rp25_potenziato,5,0.25481944444444443,1200.0,2.0,0.1,0.1375,0.0,0.24047222222222223,456.0,4,3,32.333333333333336
107,rd25_rp25_potenziato,6,0.23418055555555553,1200.0,1.0,0.05,0.1325,0.0,0.17594444444444443,520.0,4,4,21.0
108,rd25_rp25_potenziato,7,0.20255555555555554,1200.0,0.0,0.0,0.12666666666666668,0.0,0.1711111111111111,294.0,4,4,22.25
109,rd25_rp25_potenziato,8,0.1721388888888889,1200.0,1.0,0.05,0.27416666666666667,0.0,0.15836111111111112,196.0,4,4,28.5
110,rd25_rp25_potenziato,9,0.22087500000000002,1200.0,2.0,0.1,0.2225,0.0,0.21616666666666665,308.0,4,3,52.0
111,rd25_rp25_potenziato,10,0.25051388888888887,1200.0,2.0,0.1,0.015833333333333335,0.0,0.23027777777777778,297.0,4,3,80.33333333333333
112,rd25_rp25_potenziato,11,0.2515,1200.0,1.0,0.05,0.03666666666666667,0.0,0.20208333333333334,456.0,4,4,43.5
113,rd25_rp25_potenziato,12,0.24395833333333333,1200.0,2.0,0.1,0.14416666666666667,0.0,0.24475,308.0,4,3,55.666666666666664
114,rd25_rp25_potenziato,13,0.193625,1200.0,1.0,0.05,0.03,0.0,0.16591666666666666,219.0,4,4,24.75
115,rd25_rp25_potenziato,14,0.26322222222222225,1200.0,3.0,0.15,0.5258333333333334,0.0,0.23469444444444443,297.0,4,2,38.0
116,rd25_rp25_potenziato,15,0.19894444444444442,1200.0,2.0,0.1,0.5058333333333334,0.0,0.18488888888888888,212.0,4,4,23.25
117,rd25_rp25_potenziato,16,0.17047222222222222,1200.0,0.0,0.0,0.2625,0.0,0.18536111111111112,188.0,4,4,51.0
118,rd25_rp25_potenziato,17,0.2801111111111111,1200.0,1.0,0.05,0.09333333333333334,0.0,0.19505555555555557,660.0,4,4,31.5
119,rd25_rp25_potenziato,18,0.26987500000000003,1200.0,1.0,0.05,0.36583333333333334,0.0,0.18375,364.0,4,4,35.75
120,rd25_rp25_potenziato,19,0.28780555555555554,1200.0,1.0,0.05,0.0225,0.0,0.2505277777777778,855.0,4,3,42.0
121,rd25_rp25_potenziato,20,0.20441666666666666,1200.0,1.0,0.05,1.1891666666666667,0.0,0.20483333333333334,284.0,4,3,13.333333333333334
122,rd25_rp25_potenziato,21,0.31304166666666666,1200.0,1.0,0.05,0.24333333333333335,0.0,0.19025,670.0,4,4,48.5
123,rd25_rp25_potenziato,22,0.23856944444444447,1200.0,2.0,0.1,0.2708333333333333,0.0,0.23155555555555557,303.0,4,4,93.75
124,rd25_rp25_potenziato,23,0.20393055555555556,1200.0,1.0,0.05,0.14583333333333334,0.0,0.19402777777777777,296.0,4,3,28.333333333333332
125,rd25_rp25_potenziato,24,0.20565277777777777,1200.0,0.0,0.0,0.3233333333333333,0.0,0.18480555555555556,248.0,4,3,39.0
126,rd25_rp25_potenziato,25,0.172625,1200.0,0.0,0.0,0.020833333333333332,0.0,0.19158333333333333,215.0,4,4,25.0
127,rd25_rp25_potenziato,26,0.275125,1200.0,1.0,0.05,0.013333333333333334,0.0,0.20916666666666667,807.0,4,3,22.666666666666668
128,rd25_rp25_potenziato,27,0.2575,1200.0,0.0,0.0,0.2675,0.0,0.20933333333333332,346.0,4,3,41.0
129,rd25_rp25_potenziato,28,0.24841666666666665,1200.0,1.0,0.05,0.355,0.0,0.1855,396.0,4,4,44.5
130,rd25_rp25_potenziato,29,0.21459722222222222,1200.0,2.0,0.1,0.02,0.0,0.21852777777777774,304.0,4,3,36.333333333333336
131,rd25_rp25_potenziato,30,0.2461388888888889,1200.0,1.0,0.05,0.018333333333333333,0.0,0.21652777777777776,473.0,4,3,55.0
132,rd25_rp25_potenziato,31,0.2602916666666667,1200.0,0.0,0.0,0.013333333333333334,0.0,0.18899999999999997,355.0,4,4,24.0
133,rd25_rp25_potenziato,32,0.19158333333333333,1200.0,1.0,0.05,0.015,0.0,0.18208333333333335,284.0,4,4,38.5
134,rd25_rp25_potenziato,33,0.3101805555555555,1200.0,1.0,0.05,0.019166666666666665,0.0,0.24336111111111108,810.0,4,3,25.0
135,rd25_rp25_potenziato,34,0.34547222222222224,1200.0,0.0,0.0,0.0125,0.0,0.27394444444444443,904.0,4,2,14.0
136,rd25_rp25_potenziato,35,0.23281944444444444,1200.0,2.0,0.1,0.02666666666666667,0.0,0.19955555555555554,474.0,4,4,55.75
137,rd25_rp25_potenziato,36,0.19384722222222223,1200.0,2.0,0.1,0.018333333333333333,0.0,0.19536111111111112,246.0,4,4,24.0
138,rd25_rp25_potenziato,37,0.24055555555555558,1200.0,2.0,0.1,0.28833333333333333,0.0,0.19802777777777777,434.0,4,4,30.75
139,rd25_rp25_potenziato,38,0.223125,1200.0,2.0,0.1,1.2325,0.0,0.21116666666666664,327.0,4,3,29.0
140,rd25_rp25_potenziato,39,0.16563888888888886,1200.0,1.0,0.05,0.6141666666666666,0.0,0.16094444444444445,254.0,4,4,26.25
141,rd25_rp25_potenziato,40,0.2553888888888889,1200.0,2.0,0.1,0.0725,0.0,0.21494444444444444,344.0,4,2,40.5
142,rd25_rp25_potenziato,41,0.2820694444444445,1200.0,1.0,0.05,0.013333333333333334,0.0,0.24072222222222223,398.0,4,2,33.5
143,rd25_rp25_potenziato,42,0.2633888888888889,1200.0,0.0,0.0,0.010833333333333334,0.0,0.18486111111111111,675.0,4,4,34.5
144,rd25_rp25_potenziato,43,0.27531944444444445,1200.0,0.0,0.0,0.0175,0.0,0.20513888888888887,697.0,4,4,42.5
145,rd25_rp25_potenziato,44,0.2419861111111111,1200.0,0.0,0.0,0.14333333333333334,0.0,0.17030555555555557,740.0,4,4,48.5
146,rd25_rp25_potenziato,45,0.2578888888888889,1200.0,4.0,0.2,0.36333333333333334,0.0,0.2856944444444444,294.0,4,2,99.0
147,rd25_rp25_potenziato,46,0.24294444444444446,1200.0,1.0,0.05,0.5841666666666666,0.0,0.19455555555555556,282.0,4,4,56.25
148,rd25_rp25_potenziato,47,0.22793055555555555,1200.0,2.0,0.1,0.4116666666666667,0.0,0.18586111111111112,356.0,4,4,35.0
149,rd25_rp25_potenziato,48,0.30495833333333333,1200.0,1.0,0.05,0.015,0.0,0.20241666666666666,637.0,4,4,33.0
150,rd25_rp25_potenziato,49,0.1927361111111111,1200.0,0.0,0.0,0.36666666666666664,0.0,0.16380555555555557,290.0,4,4,21.75
151,rd25_rp25_potenziato,50,0.2055,1200.0,0.0,0.0,0.25916666666666666,0.0,0.1743333333333333,331.0,4,4,36.0
152,rd25_rp25_potenziato,51,0.3162916666666667,1200.0,1.0,0.05,0.01,0.0,0.23166666666666666,564.0,4,3,42.0
153,rd25_rp25_potenziato,52,0.26587500000000003,1200.0,0.0,0.0,0.025,0.0,0.23366666666666666,297.0,4,3,61.666666666666664
154,rd25_rp25_potenziato,53,0.20677777777777778,1200.0,0.0,0.0,0.3875,0.0,0.22188888888888889,227.0,4,3,17.666666666666668
155,rd25_rp25_potenziato,54,0.20141666666666666,1200.0,1.0,0.05,0.13083333333333333,0.0,0.19125,256.0,4,4,35.25
156,rd25_rp25_potenziato,55,0.22191666666666668,1200.0,0.0,0.0,0.020833333333333332,0.0,0.19116666666666665,250.0,4,3,13.333333333333334
157,rd25_rp25_potenziato,56,0.2513333333333333,1200.0,1.0,0.05,0.011666666666666667,0.0,0.1745,667.0,4,4,33.25
158,rd25_rp25_potenziato,57,0.22802777777777777,1200.0,1.0,0.05,0.014166666666666666,0.0,0.2164722222222222,293.0,4,3,23.333333333333332
159,rd25_rp25_potenziato,58,0.30495833333333333,1200.0,2.0,0.1,0.020833333333333332,0.0,0.26125,706.0,4,3,75.33333333333333
160,rd25_rp25_potenziato,59,0.1585138888888889,1200.0,0.0,0.0,0.26666666666666666,0.0,0.1918611111111111,199.0,4,4,43.25
161,rd25_rp25_potenziato,60,0.2854027777777778,1200.0,1.0,0.05,0.015,0.0,0.22788888888888886,822.0,4,3,30.0
162,rd25_rp25_potenziato,61,0.2647777777777778,1200.0,2.0,0.1,0.15416666666666667,0.0,0.26155555555555554,395.0,4,3,47.333333333333336
163,rd25_rp25_potenziato,62,0.21930555555555556,1200.0,1.0,0.05,0.1425,0.0,0.20644444444444443,292.0,4,3,52.666666666666664
164,rd25_rp25_potenziato,63,0.22370833333333331,1200.0,1.0,0.05,0.01,0.0,0.20733333333333331,411.0,4,3,45.0
165,rd25_rp25_potenziato,64,0.25708333333333333,1200.0,0.0,0.0,0.44583333333333336,0.0,0.17533333333333334,706.0,4,4,41.75
166,rd25_rp25_potenziato,65,0.196375,1200.0,2.0,0.1,0.024166666666666666,0.0,0.19399999999999998,253.0,4,4,30.25
167,rd25_rp25_potenziato,66,0.18879166666666666,1200.0,2.0,0.1,0.39416666666666667,0.0,0.23099999999999998,204.0,4,3,46.333333333333336
168,rd25_rp25_potenziato,67,0.2715138888888889,1200.0,2.0,0.1,0.25833333333333336,0.0,0.2534444444444444,474.0,4,3,41.333333333333336
169,rd25_rp25_potenziato,68,0.24912499999999999,1200.0,1.0,0.05,0.0175,0.0,0.16924999999999998,517.0,4,4,28.25
170,rd25_rp25_potenziato,69,0.2197777777777778,1200.0,0.0,0.0,0.7491666666666666,0.0,0.1746388888888889,286.0,4,4,44.25
